功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,74.86362589569887,173.56776127589967,0.6418833336679762,0.27020321049467005,207.2766987951911,207.2766987951911,174.4798478200623,1.1879692777411839,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,47.421384315159564,208.7123100155929,0.8411388985985511,0.35608171473140837,215.26414002351234,215.26414002351234,209.90953062892285,1.0255091294737606,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,-5.8945632503678,168.38662495178465,0.9607533694822525,0.411347148675815,121.79738729900485,121.79738729900485,169.75872546994273,0.7174735022416868,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-1.0375837274541635,-86.26963457320555,0.9361740350184939,0.4005291851959426,-128.03729000101538,128.03729000101538,84.93293135299112,-1.5075105493401322,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,38.18674633070405,-109.24189783637254,1.466929317477916,0.6491582124120006,-111.00583889634865,111.00583889634865,107.12581030648262,-1.036219362810563,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,767.6415414051813,84.80167309503366,1.0169201532767567,0.4355855103556751,575.2607000990533,575.2607000990533,767.6415414051813,0.7493871410945642,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,452.4913011826141,447.21490662562906,2.6863453967208724,1.4440447529259868,625.2015778930959,625.2015778930959,452.4913011826141,1.3816875070506167,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,29.64889858337483,1524.6744368449804,4.318247224853,2.7166154730398486,1282.7231780614538,1282.7231780614538,1531.7092995428732,0.8374455769409199,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,1.0526890078492763,1508.2229955107412,4.559826362183583,3.0067478976542996,1238.2072387136343,1238.2072387136343,1515.7895697705792,0.8168727793139795,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,51.24732402102178,1368.31927624114,4.9847128565993755,3.134971514580258,1149.0512645685471,1149.0512645685471,1376.4389606123195,0.8348000147114281,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1985.2865957165507,40.113201626620764,1.7512492130304644,0.902034955040358,1470.4771012004135,1470.4771012004135,1985.2865957165507,0.7406875684211596,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,982.8321277400506,566.2413779350861,5.715129533693273,5.138078950142878,1002.350733848144,1002.350733848144,982.8321277400506,1.019859552366257,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,50.679112999846396,2145.8218673106076,9.285193657287376,11.465359069895129,1659.6755527268074,1659.6755527268074,2166.57242003779,0.7660374226945338,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,100.0,64,557.5759803108289,-5.82277868883435,2306.041987679706,9.681891521601143,13.100937952047621,1765.4260581536917,1765.4260581536917,2328.824817153355,0.758075938194297,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,200.0,64,557.5759803108289,83.76032637914504,2758.342262118397,10.221878356051246,11.341877246221394,2306.0903637889855,2306.0903637889855,2779.9060177206693,0.8295569523173377,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,202.6439336567419,215.25391284767102,0.6480794123139583,0.2666331735438114,330.70178689300394,330.70178689300394,216.1686254335288,1.5298324917863426,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,136.48682283639727,327.6255403501797,1.1421988940638654,0.49131524513962815,377.63510512851366,377.63510512851366,329.2590544893832,1.1469239797039215,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,1.460483392382372,516.6085455424436,1.5717668772753002,0.7099665799923847,432.2399901948269,432.2399901948269,518.8902789997113,0.8330084560999598,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,0.2532880294532349,297.4726974152894,1.596330696004389,0.729838460769215,211.94138240424945,211.94138240424945,299.798866572063,0.7069452424140665,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,39.121048522585234,234.54396860401988,2.125445810228162,0.9926324927492447,188.6723232323157,188.6723232323157,237.6620469069973,0.7938681236139803,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,879.0130553865728,42.733567402492426,1.094430113381808,0.47619821761481074,615.0825185202484,615.0825185202484,879.0130553865728,0.6997421878446927,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,502.228711712659,431.1022037344284,2.9581473565421392,1.6665722818010793,629.7209024856171,629.7209024856171,502.228711712659,1.2538528518972856,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,32.95409827610752,1600.4484984242922,4.775217060095796,3.20096283352324,1333.1440439942053,1333.1440439942053,1608.4246783179112,0.8288507767664979,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,-0.2496058953639888,1600.5178564825746,5.042600549458876,3.565991334828647,1300.6421098716846,1300.6421098716846,1609.1264483668622,0.8082908034926247,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,54.99278773550838,1484.4703034859072,5.452972049773312,3.6185152823854505,1240.2998459537607,1240.2998459537607,1493.541790818066,0.8304420094428053,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,1629.3114996996567,-33.13930124613077,1.6433202327641803,0.8065609860918546,1116.3838689920285,1116.3838689920285,1629.3114996996567,0.6851874974170501,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,818.1405042417739,446.5489985779729,4.839287615321738,3.731659886537861,791.022239641253,791.022239641253,818.1405042417739,0.9668537806649077,inner_autodiff_at_R_minus_epsilon,1e-6
