功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,964.9035563721687,267.7005601795667,513.2734611432479,183.92953504935412,183.9295350493544,2.8421709430404007e-13,199.3490118781719,702.7285647999669,62.82597969403003,2.61430623612182
55.0,10.0,961.2419324765732,325.4295605834097,436.47108031237804,199.34129158078548,199.3412915807853,-1.7053025658242404e-13,225.9771918033902,691.5882177011904,43.6765229719925,2.1987589606757183
55.0,50.0,938.1855476451564,320.30147370660995,468.3647003939468,149.5193735445996,149.51937354459918,-4.263256414560601e-13,248.45747043653802,605.9375233553824,83.79055385323605,1.157328954228376
55.0,100.0,698.5754400227629,247.74515790470554,544.0678730679574,-93.23759094990004,-93.23759094990046,-4.263256414560601e-13,251.96483865898608,347.4323753254814,99.1782260382954,2.764739149936588
55.0,200.0,499.52299191574286,1.471148721825557,527.3376669759039,-29.28582378198655,-29.285823781984476,2.0747847884194925e-12,95.21321472829453,267.2194313034461,137.0903458840023,7.7002409408942185
115.2,1.0,815.9614542009222,311.2985151325911,202.31295382509188,302.3499852432392,302.3499852432399,7.389644451905042e-13,209.5930380884053,577.8031428724765,28.565273240040316,1.8800908917452261
115.2,10.0,742.7628922975315,383.0731603499004,14.716485729346914,344.9732462182842,344.97324621828454,3.410605131648481e-13,253.99948344697827,521.9186060468917,-33.15519719633845,1.6560378470844057
115.2,50.0,891.2411053403746,319.0835567564099,127.50557582333408,444.6519727606306,444.65197276063054,-5.684341886080802e-14,318.7894962548959,532.5099205856616,39.94168849981708,1.6476969005491355
115.2,100.0,703.2050420200669,252.16883905564583,228.51424901722623,222.52195394719485,222.52195394719493,8.526512829121202e-14,325.79404415556974,333.9392557380711,43.47174212642602,2.0679415758827986
115.2,200.0,400.8085586558224,51.39598111670057,112.33622544962583,237.07635208949603,237.0763520894995,3.467448550509289e-12,213.9144927711841,140.9644182560346,45.92964762860372,7.13383639937399
364.3,1.0,509.5265055028232,601.0975145829345,-697.8551206313555,606.2841115512442,606.2841115512451,9.094947017729282e-13,261.0300321851147,329.7714908740445,-81.27501755633595,1.1091716631976851
364.3,10.0,510.21952925245796,585.7147432725009,-653.4032255993477,577.9080115793048,577.9080115793056,7.958078640513122e-13,552.984049019819,45.40297826872052,-88.16749803608158,1.0153326732362302
364.3,50.0,1536.7502860142513,148.37399017618282,206.77064202184647,1181.605653816222,1181.6056538162215,-4.547473508864641e-13,778.6084781177848,749.8904993910558,8.251308505410734,2.4591082076211137
364.3,100.0,1334.7824355471503,210.1524167184907,100.8591381028723,1023.7708807257873,1023.7708807257854,-1.8189894035458565e-12,837.0740845350745,507.4877564276875,-9.779405415611535,1.1658626732977382
364.3,200.0,596.79632486877,-98.03979302290804,-296.9761161296294,991.8122340213074,991.8122340213147,7.275957614183426e-12,701.9361848785264,-164.87170844688347,59.7318484371269,7.305049466880803
403.0,1.0,506.9913112275015,638.453104619815,-777.6704954596244,646.2087020673108,646.2087020673121,1.2505552149377763e-12,266.7126132417758,351.73457211635275,-111.45587413062702,1.0212886088352207
403.0,10.0,528.956892308895,613.8339430006477,-654.5788967567523,569.7018460649997,569.7018460650003,5.684341886080801e-13,610.0476930347729,-2.1802700815556477,-78.91053064432225,1.2086075260197617
403.0,50.0,1558.3152854522768,100.57962370279165,268.6453989187778,1189.0902628307074,1189.090262830705,-2.5011104298755527e-12,886.2493534547559,697.1094359899515,-25.043503992430573,2.355211601003873
403.0,100.0,1335.6655326501736,193.34337370675894,124.00612696153257,1018.3160319818821,1018.3160319818727,-9.43600753089413e-12,969.8892917423228,394.107676982267,-28.331436074416217,1.2518088026572514
403.0,200.0,673.1487294742427,-131.7150345350251,-259.180433669839,1064.0441976791067,1064.0441976791135,6.821210263296962e-12,770.2667751873203,-162.38992026401948,65.27187455094193,7.549277653731281
630.5,1.0,1079.5180750891286,692.6939858094655,-682.0536504433794,1068.8777397230424,1068.877739723043,6.821210263296962e-13,-131.5655007806999,1383.2741385099075,-172.19056264007884,2.6606950419090367
