运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
S0,115.2,顶部,绝对温度,全部合法观测,2.2079077215064618,1.8563598346561117,-1.6263008694154264,5.367431640625,,实际观测
S0,115.2,顶部,绝对温度,"[0,30]秒",2.291369605571454,1.9937597595819152,-1.97275711915674,5.367431640625,,实际观测
S0,115.2,顶部,绝对温度,"(30,100]秒",2.168303583822885,1.792944484690356,-1.4663979849194355,4.23858642578125,,实际观测
S0,115.2,顶部,绝对温度,"(100,200]秒",,,,,,无数据
S0,115.2,热端,绝对温度,全部合法观测,1.417641804511927,1.2164578247070312,-1.2101852416992187,2.133026123046875,100,实际观测
S0,115.2,热端,绝对温度,"[0,30]秒",0.3204665684300272,0.2506968180338542,-0.2297882080078125,0.690216064453125,30,实际观测
S0,115.2,热端,绝对温度,"(30,100]秒",1.6813679122562413,1.6303553989955357,-1.6303553989955357,2.133026123046875,70,实际观测
S0,115.2,热端,绝对温度,"(100,200]秒",,,,,0,无数据
S0,115.2,热端,真实首时刻温升,全部合法观测,1.2188558066462134,1.0273355102539063,-0.9697677612304687,1.892608642578125,100,实际观测
S0,115.2,热端,真实首时刻温升,"[0,30]秒",0.22362732922190978,0.18126322428385416,0.0106292724609375,0.449798583984375,30,实际观测
S0,115.2,热端,真实首时刻温升,"(30,100]秒",1.449436699787056,1.3899379185267857,-1.3899379185267857,1.892608642578125,70,实际观测
S0,115.2,热端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
S0,115.2,冷端,绝对温度,全部合法观测,0.6509523431425494,0.5768609619140626,-0.425977783203125,1.013946533203125,100,实际观测
S0,115.2,冷端,绝对温度,"[0,30]秒",0.3148202423520479,0.2681498209635417,0.23479410807291667,0.449371337890625,30,实际观测
S0,115.2,冷端,绝对温度,"(30,100]秒",0.7502432153683751,0.7091657366071429,-0.7091657366071429,1.013946533203125,70,实际观测
S0,115.2,冷端,绝对温度,"(100,200]秒",,,,,0,无数据
S0,115.2,冷端,真实首时刻温升,全部合法观测,1.0042499514860468,0.87534912109375,-0.87534912109375,1.46331787109375,100,实际观测
S0,115.2,冷端,真实首时刻温升,"[0,30]秒",0.30004482892575796,0.21457722981770833,-0.21457722981770833,0.580322265625,30,实际观测
S0,115.2,冷端,真实首时刻温升,"(30,100]秒",1.1841271017988624,1.1585370744977679,-1.1585370744977679,1.46331787109375,70,实际观测
S0,115.2,冷端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
S0,403.0,顶部,绝对温度,全部合法观测,2.485139225575037,1.840130497803207,0.7798911923442788,11.216522216796875,,实际观测
S0,403.0,顶部,绝对温度,"[0,30]秒",3.7877085496398037,3.401283843289114,3.014208450569178,11.216522216796875,,实际观测
S0,403.0,顶部,绝对温度,"(30,100]秒",1.7812445427973564,1.277453912079562,-0.07421981774445033,8.4718017578125,,实际观测
S0,403.0,顶部,绝对温度,"(100,200]秒",2.1048715552075965,1.467768328243634,0.41780355611999076,9.3172607421875,,实际观测
S0,403.0,热端,绝对温度,全部合法观测,1.0598663373339594,1.0384056454613095,1.0384056454613095,1.4730224609375,126,实际观测
S0,403.0,热端,绝对温度,"[0,30]秒",1.2423795829591644,1.2389658610026042,1.2389658610026042,1.410919189453125,30,实际观测
S0,403.0,热端,绝对温度,"(30,100]秒",0.9640479551756274,0.9440926688058036,0.9440926688058036,1.355377197265625,70,实际观测
S0,403.0,热端,绝对温度,"(100,200]秒",1.0773095984483274,1.0609095646784856,1.0609095646784856,1.4730224609375,26,实际观测
S0,403.0,热端,真实首时刻温升,全部合法观测,0.2247532255229541,0.2022307865203373,-0.07405162992931548,0.360565185546875,126,实际观测
S0,403.0,热端,真实首时刻温升,"[0,30]秒",0.1564450243932553,0.13125712076822918,0.12650858561197917,0.2984619140625,30,实际观测
S0,403.0,热端,真实首时刻温升,"(30,100]秒",0.2577287980337188,0.24373866489955356,-0.16836460658482144,0.327362060546875,70,实际观测
S0,403.0,热端,真实首时刻温升,"(100,200]秒",0.1942267565560032,0.17237149752103365,-0.05154771071213942,0.360565185546875,26,实际观测
S0,403.0,冷端,绝对温度,全部合法观测,0.5456118460728342,0.4763149685329861,0.4763149685329861,0.99725341796875,126,实际观测
S0,403.0,冷端,绝对温度,"[0,30]秒",0.7110616379081561,0.6709574381510417,0.6709574381510417,0.99725341796875,30,实际观测
S0,403.0,冷端,绝对温度,"(30,100]秒",0.3119046606002763,0.285845947265625,0.285845947265625,0.56671142578125,70,实际观测
S0,403.0,冷端,绝对温度,"(100,200]秒",0.7728830220479614,0.7645287146935096,0.7645287146935096,0.94635009765625,26,实际观测
S0,403.0,冷端,真实首时刻温升,全部合法观测,0.3179081174010092,0.2794344463045635,-0.1739230685763889,0.537078857421875,126,实际观测
S0,403.0,冷端,真实首时刻温升,"[0,30]秒",0.2363346412905781,0.20981648763020833,0.020719401041666665,0.37054443359375,30,实际观测
S0,403.0,冷端,真实首时刻温升,"(30,100]秒",0.3851729570941951,0.36439208984375,-0.36439208984375,0.537078857421875,70,实际观测
S0,403.0,冷端,真实首时刻温升,"(100,200]秒",0.16095455620056381,0.13103074293870193,0.11429067758413461,0.296112060546875,26,实际观测
S0,630.5,顶部,绝对温度,全部合法观测,7.235381849032456,5.411405252842307,2.244695381130894,30.47113037109375,,实际观测
S0,630.5,顶部,绝对温度,"[0,30]秒",11.7162231265575,10.921494120120885,10.224692268884711,20.8681640625,,实际观测
S0,630.5,顶部,绝对温度,"(30,100]秒",4.5191605879432935,3.637589746951943,1.7296045731252259,15.6639404296875,,实际观测
S0,630.5,顶部,绝对温度,"(100,200]秒",6.738224916560135,4.497281159032441,-2.274050383039446,30.47113037109375,,实际观测
S0,630.5,热端,绝对温度,全部合法观测,1.0782209781556162,0.8294488525390625,0.1343865966796875,4.312255859375,150,实际观测
S0,630.5,热端,绝对温度,"[0,30]秒",0.7241504901158865,0.6762939453125,0.6762939453125,1.195220947265625,30,实际观测
S0,630.5,热端,绝对温度,"(30,100]秒",0.6331492525608817,0.5518144880022321,-0.06714390345982142,1.061553955078125,70,实际观测
S0,630.5,热端,绝对温度,"(100,200]秒",1.6161113536442189,1.3100299072265624,0.0913848876953125,4.312255859375,50,实际观测
S0,630.5,热端,真实首时刻温升,全部合法观测,1.2530719332153908,0.9943711344401042,-0.6524481201171874,3.525421142578125,150,实际观测
S0,630.5,热端,真实首时刻温升,"[0,30]秒",0.28149546005058906,0.2261962890625,-0.110540771484375,0.560760498046875,30,实际观测
S0,630.5,热端,真实首时刻温升,"(30,100]秒",1.0609661427689916,0.8930097307477679,-0.8539786202566965,1.848388671875,70,实际观测
S0,630.5,热端,真实首时刻温升,"(100,200]秒",1.7570188315655748,1.5971820068359375,-0.6954498291015625,3.525421142578125,50,实际观测
S0,630.5,冷端,绝对温度,全部合法观测,0.5684421671105966,0.48401997884114584,-0.06615010579427083,1.075469970703125,150,实际观测
S0,630.5,冷端,绝对温度,"[0,30]秒",0.7679739603822758,0.7079538981119792,0.7079538981119792,1.075469970703125,30,实际观测
S0,630.5,冷端,绝对温度,"(30,100]秒",0.3047744093422573,0.266839599609375,0.01737060546875,0.64727783203125,70,实际观测
S0,630.5,冷端,绝对温度,"(100,200]秒",0.6967543849357112,0.653712158203125,-0.64754150390625,0.8580322265625,50,实际观测
S0,630.5,冷端,真实首时刻温升,全部合法观测,0.9369123340655955,0.8083892822265625,-0.7476991780598958,1.539581298828125,150,实际观测
S0,630.5,冷端,真实首时刻温升,"[0,30]秒",0.2988017684038484,0.2770456949869792,0.026404825846354167,0.3939208984375,30,实际观测
S0,630.5,冷端,真实首时刻温升,"(30,100]秒",0.7305605645066112,0.664178466796875,-0.664178466796875,1.328826904296875,70,实际观测
S0,630.5,冷端,真实首时刻温升,"(100,200]秒",1.3537497676139634,1.329090576171875,-1.329090576171875,1.539581298828125,50,实际观测
S1,115.2,顶部,绝对温度,全部合法观测,2.936040333513185,2.4554171579588573,-2.290404112529109,6.634613037109375,,实际观测
S1,115.2,顶部,绝对温度,"[0,30]秒",3.192975518693622,2.8533178650506654,-2.8533178650506654,6.634613037109375,,实际观测
S1,115.2,顶部,绝对温度,"(30,100]秒",2.809540997037488,2.271770677762638,-2.030597765211467,5.6513671875,,实际观测
S1,115.2,顶部,绝对温度,"(100,200]秒",,,,,,无数据
S1,115.2,热端,绝对温度,全部合法观测,2.000535041121999,1.9427630615234375,-1.9427630615234375,2.363555908203125,100,实际观测
S1,115.2,热端,绝对温度,"[0,30]秒",1.3067892555508351,1.2789937337239583,-1.2789937337239583,1.762847900390625,30,实际观测
S1,115.2,热端,绝对温度,"(30,100]秒",2.232817247729253,2.227235630580357,-2.227235630580357,2.363555908203125,70,实际观测
S1,115.2,热端,绝对温度,"(100,200]秒",,,,,0,无数据
S1,115.2,热端,真实首时刻温升,全部合法观测,1.1157419961050306,1.008773193359375,-1.0084979248046875,1.429290771484375,100,实际观测
S1,115.2,热端,真实首时刻温升,"[0,30]秒",0.4367046978349713,0.34564615885416666,-0.34472859700520836,0.828582763671875,30,实际观测
S1,115.2,热端,真实首时刻温升,"(30,100]秒",1.302561708951742,1.2929704938616071,-1.2929704938616071,1.429290771484375,70,实际观测
S1,115.2,热端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
S1,115.2,冷端,绝对温度,全部合法观测,0.9956175203936295,0.9353775024414063,-0.9353775024414063,1.255859375,100,实际观测
S1,115.2,冷端,绝对温度,"[0,30]秒",0.5008304655265667,0.4617869059244792,-0.4617869059244792,0.7879638671875,30,实际观测
S1,115.2,冷端,绝对温度,"(30,100]秒",1.1439311295171652,1.1383449009486608,-1.1383449009486608,1.255859375,70,实际观测
S1,115.2,冷端,绝对温度,"(100,200]秒",,,,,0,无数据
S1,115.2,冷端,真实首时刻温升,全部合法观测,0.7641014391183448,0.6837600708007813,-0.6837600708007813,1.004241943359375,100,实际观测
S1,115.2,冷端,真实首时刻温升,"[0,30]秒",0.28592869152466216,0.21016947428385416,-0.21016947428385416,0.536346435546875,30,实际观测
S1,115.2,冷端,真实首时刻温升,"(30,100]秒",0.893887532292533,0.8867274693080357,-0.8867274693080357,1.004241943359375,70,实际观测
S1,115.2,冷端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
S1,403.0,顶部,绝对温度,全部合法观测,2.351483428646921,1.6974755589273063,0.75320170366652,9.310272216796875,,实际观测
S1,403.0,顶部,绝对温度,"[0,30]秒",3.6858821820950665,3.163883624690594,2.8835928636808994,9.310272216796875,,实际观测
S1,403.0,顶部,绝对温度,"(30,100]秒",1.6056155185820518,1.1528238012660892,-0.0959799279192045,7.7833251953125,,实际观测
S1,403.0,顶部,绝对温度,"(100,200]秒",1.9430001256491496,1.404144424272856,0.529750406063424,8.01177978515625,,实际观测
S1,403.0,热端,绝对温度,全部合法观测,0.553646853670832,0.4971805148654514,0.4971805148654514,0.996429443359375,126,实际观测
S1,403.0,热端,绝对温度,"[0,30]秒",0.7507461613997617,0.7310302734375,0.7310302734375,0.996429443359375,30,实际观测
S1,403.0,热端,绝对温度,"(30,100]秒",0.48662503631513515,0.4277247837611607,0.4277247837611607,0.897003173828125,70,实际观测
S1,403.0,热端,绝对温度,"(100,200]秒",0.4445075441744189,0.41435006948617786,0.41435006948617786,0.777618408203125,26,实际观测
S1,403.0,热端,真实首时刻温升,全部合法观测,0.24426101503096637,0.21421668643043154,0.018085055881076388,0.517333984375,126,实际观测
S1,403.0,热端,真实首时刻温升,"[0,30]秒",0.30444324414889135,0.2560506184895833,0.251934814453125,0.517333984375,30,实际观测
S1,403.0,热端,真实首时刻温升,"(30,100]秒",0.237685467788975,0.21800798688616072,-0.051370675223214285,0.41790771484375,70,实际观测
S1,403.0,热端,真实首时刻温升,"(100,200]秒",0.17347317431247333,0.15573941744290865,-0.06474538949819711,0.29852294921875,26,实际观测
S1,403.0,冷端,绝对温度,全部合法观测,0.3793612385854293,0.3280557299417163,-0.20307268415178573,0.6439208984375,126,实际观测
S1,403.0,冷端,绝对温度,"[0,30]秒",0.26545418396340975,0.21366780598958332,-0.17425740559895833,0.501007080078125,30,实际观测
S1,403.0,冷端,绝对温度,"(30,100]秒",0.43773665827141106,0.395166015625,-0.39461146763392857,0.6439208984375,70,实际观测
S1,403.0,冷端,绝对温度,"(100,200]秒",0.3166148572635826,0.27936025766225964,0.27936025766225964,0.523223876953125,26,实际观测
S1,403.0,冷端,真实首时刻温升,全部合法观测,0.32055783522036313,0.27266148158482145,0.008993966238839286,0.73529052734375,126,实际观测
