运行臂,功率_瓦,径向区域,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,合法顶面观测数,数据状态,指标权重
旧LF同源,115.19999694824219,"中心[0,8]毫米",3.2004150459710066,3.143939269216437,-3.143939269216437,608,实际观测,原HF顶部径向观测权重
旧LF同源,115.19999694824219,"中部(8,17]毫米",1.7658946104360258,1.604855766073305,-1.5730701915004797,684,实际观测,原HF顶部径向观测权重
旧LF同源,115.19999694824219,"外圈(17,25]毫米",1.2257071788834117,0.8547524402016088,-0.16605452487343236,608,实际观测,原HF顶部径向观测权重
旧LF同源,403.0,"中心[0,8]毫米",2.1205485365444976,1.4892060023593192,1.2898274096341542,768,实际观测,原HF顶部径向观测权重
旧LF同源,403.0,"中部(8,17]毫米",2.1320698877210997,1.595940922169438,0.7040699285201372,864,实际观测,原HF顶部径向观测权重
旧LF同源,403.0,"外圈(17,25]毫米",2.945887058604974,2.3540447503298494,0.5461739857582082,768,实际观测,原HF顶部径向观测权重
旧LF同源,630.5,"中心[0,8]毫米",6.2963433498207255,4.747728418552229,3.5653764426962886,928,实际观测,原HF顶部径向观测权重
旧LF同源,630.5,"中部(8,17]毫米",6.7799234942507995,5.088907152901005,4.320714613425311,1044,实际观测,原HF顶部径向观测权重
旧LF同源,630.5,"外圈(17,25]毫米",8.314200509124431,6.403138349043466,-1.2834153331454583,928,实际观测,原HF顶部径向观测权重
空间LF同源,115.19999694824219,"中心[0,8]毫米",3.8889528438694927,3.8428783918681897,-3.8428783918681897,608,实际观测,原HF顶部径向观测权重
空间LF同源,115.19999694824219,"中部(8,17]毫米",2.149758965720427,1.8497964067068713,-1.619240387141356,684,实际观测,原HF顶部径向观测权重
空间LF同源,115.19999694824219,"外圈(17,25]毫米",1.413718552168349,1.1557248768053556,0.3954273023103413,608,实际观测,原HF顶部径向观测权重
空间LF同源,403.0,"中心[0,8]毫米",2.426031953575455,1.5557418186437104,1.09430847784588,768,实际观测,原HF顶部径向观测权重
空间LF同源,403.0,"中部(8,17]毫米",2.2847639409473035,1.7362064605403067,0.08373642672730561,864,实际观测,原HF顶部径向观测权重
空间LF同源,403.0,"外圈(17,25]毫米",2.812413724441633,2.267042372404164,0.8836633750238256,768,实际观测,原HF顶部径向观测权重
空间LF同源,630.5,"中心[0,8]毫米",7.6766458794818355,5.315951958709153,4.73645381840006,928,实际观测,原HF顶部径向观测权重
空间LF同源,630.5,"中部(8,17]毫米",7.214221540582456,5.175436548249502,3.751329089561284,1044,实际观测,原HF顶部径向观测权重
空间LF同源,630.5,"外圈(17,25]毫米",7.818283719622569,5.998560442132256,-0.3886847631742282,928,实际观测,原HF顶部径向观测权重
拟合LF同源,115.19999694824219,"中心[0,8]毫米",3.8234585607459257,3.777915402462608,-3.777915402462608,608,实际观测,原HF顶部径向观测权重
拟合LF同源,115.19999694824219,"中部(8,17]毫米",2.125087162058244,1.828412507709704,-1.5963319477282072,684,实际观测,原HF顶部径向观测权重
拟合LF同源,115.19999694824219,"外圈(17,25]毫米",1.4376389161065555,1.181708436263235,0.43935108184814453,608,实际观测,原HF顶部径向观测权重
拟合LF同源,403.0,"中心[0,8]毫米",2.43422485502263,1.564948713504268,1.097033182657024,768,实际观测,原HF顶部径向观测权重
拟合LF同源,403.0,"中部(8,17]毫米",2.281778770237698,1.734514531630266,0.09615123158539171,864,实际观测,原HF顶部径向观测权重
拟合LF同源,403.0,"外圈(17,25]毫米",2.8279471595044625,2.2818365292417897,0.9385751450913953,768,实际观测,原HF顶部径向观测权重
拟合LF同源,630.5,"中心[0,8]毫米",7.6664899117989105,5.308754987967212,4.730825658995159,928,实际观测,原HF顶部径向观测权重
拟合LF同源,630.5,"中部(8,17]毫米",7.199917590552414,5.170906163884311,3.7388984774949656,1044,实际观测,原HF顶部径向观测权重
拟合LF同源,630.5,"外圈(17,25]毫米",7.805073666112917,5.991743855518016,-0.3461771140410722,928,实际观测,原HF顶部径向观测权重
