运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
旧LF同源,115.2,顶部,绝对温度,全部合法观测,2.2079077215064618,1.8563598346561117,-1.6263008694154264,5.367431640625,,实际观测
旧LF同源,115.2,顶部,绝对温度,"[0,30]秒",2.2913701796382573,1.993760363890393,-1.972757622747138,5.367431640625,,实际观测
旧LF同源,115.2,顶部,绝对温度,"(30,100]秒",2.168303559891805,1.7929446473887924,-1.4663987054410819,4.238555908203125,,实际观测
旧LF同源,115.2,顶部,绝对温度,"(100,200]秒",,,,,,无数据
旧LF同源,115.2,热端,绝对温度,全部合法观测,1.4176388804616846,1.2164553833007812,-1.2101828002929687,2.133026123046875,100,实际观测
旧LF同源,115.2,热端,绝对温度,"[0,30]秒",0.3204647978558021,0.25069580078125,-0.22978719075520834,0.690216064453125,30,实际观测
旧LF同源,115.2,热端,绝对温度,"(30,100]秒",1.6813645348760338,1.6303523472377233,-1.6303523472377233,2.133026123046875,70,实际观测
旧LF同源,115.2,热端,绝对温度,"(100,200]秒",,,,,0,无数据
旧LF同源,115.2,热端,真实首时刻温升,全部合法观测,1.2188528872696232,1.0273330688476563,-0.9697653198242188,1.892608642578125,100,实际观测
旧LF同源,115.2,热端,真实首时刻温升,"[0,30]秒",0.22362588555215032,0.18126220703125,0.010630289713541666,0.449798583984375,30,实际观测
旧LF同源,115.2,热端,真实首时刻温升,"(30,100]秒",1.4494332881700458,1.3899348667689733,-1.3899348667689733,1.892608642578125,70,实际观测
旧LF同源,115.2,热端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
旧LF同源,115.2,冷端,绝对温度,全部合法观测,0.6509468878166597,0.5768560791015624,-0.42597412109375,1.013946533203125,100,实际观测
旧LF同源,115.2,冷端,绝对温度,"[0,30]秒",0.3148166329981625,0.26814676920572916,0.2347930908203125,0.44940185546875,30,实际观测
旧LF同源,115.2,冷端,绝对温度,"(30,100]秒",0.7502371025544478,0.7091600690569196,-0.7091600690569196,1.013946533203125,70,实际观测
旧LF同源,115.2,冷端,绝对温度,"(100,200]秒",,,,,0,无数据
旧LF同源,115.2,冷端,真实首时刻温升,全部合法观测,1.0042713772976668,0.8753759765625,-0.8753759765625,1.463348388671875,100,实际观测
旧LF同源,115.2,冷端,真实首时刻温升,"[0,30]秒",0.30006439105510774,0.2146087646484375,-0.2146087646484375,0.580352783203125,30,实际观测
