功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,-726.7368504400605,-320.8848027424682,-549.7210735382855,143.8690258406932,143.86904158040747,0.000015739714257279047,-96.33826790351438,-582.634322583894,-47.76425995265203,2.4529489192329947
55.0,10.0,-524.4827396213745,-249.22600159876006,-529.2933121941476,254.0365741715331,254.03659500529807,0.00002083376497807876,-36.08604364182479,-462.004132247185,-26.392563732364767,1.9747856453197414
55.0,50.0,8.748319858605456,-99.86513878627636,-236.72622060305451,345.3396792479363,345.3396835233678,4.275431479072722e-6,101.28371453852846,-144.5697416896846,52.0343470097616,1.1363958088747381
55.0,100.0,75.12443634876045,-68.62790403790666,-124.30229178473974,268.05463217140687,268.05463572056914,3.5491622725203342e-6,169.2610371734969,-115.24873567068497,21.112134845948518,1.744594821697092
55.0,200.0,589.0531854936988,-257.9346647337726,286.8583139370778,560.1295362903936,560.1295366774021,3.870085265589296e-7,141.74110657845713,330.43392890663995,116.87815000860179,6.368320786233653
115.2,1.0,-935.5129186875131,-317.78884390449434,-741.9240612282704,124.19998644525162,124.20001008393987,0.000023638688247729078,-126.66194638581516,-723.6256615758664,-85.2253107258316,2.163504766402866
115.2,10.0,-745.494866266237,-251.4624462955611,-822.4453354720474,328.4129155013716,328.412943477918,0.000027976546448371664,-25.628664121151942,-638.3930484966359,-81.47315364844916,1.7125464274129172
115.2,50.0,-104.63316036754011,-100.14150581838038,-586.4399284915496,581.94827394239,581.9482797283082,5.785918233414122e-6,139.16095851096466,-262.81553715172464,19.021418273219858,0.708087988902605
115.2,100.0,83.73051624525833,-22.8979477215442,-460.5661461130327,567.1946100798352,567.1946148606575,4.780822223438008e-6,207.53424278685114,-86.78624851808327,-37.01747802350954,1.3167828784075937
115.2,200.0,664.9622375511618,-156.20886563309227,-57.398378572596584,878.5694817568507,878.5694831937018,1.4368511074280832e-6,257.06454289334056,383.1404273779773,24.75726727984398,6.093148956044331
364.3,1.0,-1353.00620166172,17.369623520076402,-1406.011829740643,35.63600455884648,35.6360535122559,0.000048953409418572846,27.153535424121543,-1231.5814205719728,-148.57831651386886,2.2474298765270646
364.3,10.0,-955.4456641697623,-289.5929521971259,-1119.5074732707546,453.6547612981183,453.65478821864195,0.000026920523680473707,402.9812723054574,-1235.8408228708627,-122.58611360435705,1.6484898972181554
364.3,50.0,808.4752621268452,-165.38977332371587,-327.7848550107324,1301.6498904612936,1301.6499041505733,0.000013689279739992344,742.0116939495292,44.39705334094475,22.066514836371347,0.12459876984934226
364.3,100.0,1157.6673571635765,148.06991860156563,-419.1508942521283,1428.748332814139,1428.748332457911,-3.562281563063152e-7,753.0886994284917,516.61783472448,-112.03917698939526,0.36345034985276925
364.3,200.0,1212.5018308040246,-195.679454308407,-452.5567728240883,1860.73805793652,1860.7380605432259,2.606705947982846e-6,687.070384340994,578.8371291297257,-53.40568266669492,5.571655461496277
403.0,1.0,-1321.4802106842985,86.10068769826114,-1463.652043960014,56.07114557745433,56.071202738309125,0.00005716085479434696,50.163793553206716,-1211.7523138213214,-159.89169041618374,2.453861303659096
403.0,10.0,-906.314096513022,-288.8993912569955,-1074.6231250566343,457.20841980060777,457.20844951352666,0.000029712918887980777,489.0200531841238,-1291.939872730154,-103.39427696699167,1.7954181747529105
403.0,50.0,889.8410838266891,-210.6085543933341,-234.48579430917448,1334.9354325291977,1334.9354479134806,0.000015384282960440032,872.6013110742792,16.41355600820873,0.8262167442010906,0.2346957411961057
403.0,100.0,1281.980578254469,147.6208028453675,-322.50162105211894,1456.8613964612205,1456.8613935195308,-2.941689672297798e-6,896.2675305783497,529.3386428573233,-143.62559518120418,0.47686904505491157
403.0,200.0,1333.7361876629525,-220.0407999954641,-397.6423497436308,1951.4193374020474,1951.4193400612414,2.6591940240905387e-6,742.2029355158804,658.0117555966018,-66.47850344952978,5.623131484432349
