运行臂,材料,时间窗,权重口径,逐功率等权宏RMSE_摄氏度,最差功率RMSE_摄氏度,验证功率数
原始LF_B0,Cu,"(100,200]秒",节点等权,3.293741713664551,5.837969695490973,10
原始LF_B0,Cu,"(100,200]秒",轴对称有限元集总真实体积,2.720643577134271,4.968847420196121,10
原始LF_B0,Cu,"(30,100]秒",节点等权,3.397527239498919,6.038912261049677,10
原始LF_B0,Cu,"(30,100]秒",轴对称有限元集总真实体积,2.7924418935590003,5.067269196607694,10
原始LF_B0,Cu,"[0,30]秒",节点等权,3.266581340079459,5.985231122092852,10
原始LF_B0,Cu,"[0,30]秒",轴对称有限元集总真实体积,3.1164073935707983,5.723929065778725,10
原始LF_B0,Cu,全时段,节点等权,3.327487394876308,5.931672429595544,10
原始LF_B0,Cu,全时段,轴对称有限元集总真实体积,2.812075453948512,5.129403354744105,10
原始LF_B0,SiC,"(100,200]秒",节点等权,9.679450997105283,16.984590044724676,10
原始LF_B0,SiC,"(100,200]秒",轴对称有限元集总真实体积,7.511243094622576,13.27458074842471,10
原始LF_B0,SiC,"(30,100]秒",节点等权,9.730749794655257,17.097023004357922,10
原始LF_B0,SiC,"(30,100]秒",轴对称有限元集总真实体积,8.208548091419704,14.40140747240952,10
原始LF_B0,SiC,"[0,30]秒",节点等权,7.254076299797269,13.166504203458992,10
原始LF_B0,SiC,"[0,30]秒",轴对称有限元集总真实体积,5.8766142884297015,10.700760690904596,10
原始LF_B0,SiC,全时段,节点等权,9.356307395999307,16.479303288048268,10
原始LF_B0,SiC,全时段,轴对称有限元集总真实体积,7.533927168970277,13.313375978215392,10
原采样接续,Cu,"(100,200]秒",节点等权,0.1787034847523124,0.3096170059076108,10
原采样接续,Cu,"(100,200]秒",轴对称有限元集总真实体积,0.12237889716503518,0.21006530489963016,10
原采样接续,Cu,"(30,100]秒",节点等权,0.16981978093087036,0.29577385266712103,10
原采样接续,Cu,"(30,100]秒",轴对称有限元集总真实体积,0.11671494188561884,0.20291803320831095,10
原采样接续,Cu,"[0,30]秒",节点等权,0.16742179723193246,0.277526278303113,10
原采样接续,Cu,"[0,30]秒",轴对称有限元集总真实体积,0.1275363227653785,0.21314253371485908,10
原采样接续,Cu,全时段,节点等权,0.17409091058072018,0.29995616671513825,10
原采样接续,Cu,全时段,轴对称有限元集总真实体积,0.12140026756483595,0.20811263938908175,10
原采样接续,SiC,"(100,200]秒",节点等权,0.10227869553642004,0.20888538850713265,10
原采样接续,SiC,"(100,200]秒",轴对称有限元集总真实体积,0.0938910359703145,0.19202161015989933,10
原采样接续,SiC,"(30,100]秒",节点等权,0.11228429604622983,0.19875329663911975,10
原采样接续,SiC,"(30,100]秒",轴对称有限元集总真实体积,0.1042401970913291,0.1841189873091113,10
原采样接续,SiC,"[0,30]秒",节点等权,0.1472859495630219,0.1901820168945512,10
原采样接续,SiC,"[0,30]秒",轴对称有限元集总真实体积,0.13556346380663423,0.18311677279419777,10
原采样接续,SiC,全时段,节点等权,0.11604258722947243,0.2015042850428162,10
原采样接续,SiC,全时段,轴对称有限元集总真实体积,0.1069641444732377,0.18580394956094326,10
空间平衡接续,Cu,"(100,200]秒",节点等权,0.1759406888259741,0.30252286220995794,10
空间平衡接续,Cu,"(100,200]秒",轴对称有限元集总真实体积,0.12472812270095349,0.20592480774545857,10
空间平衡接续,Cu,"(30,100]秒",节点等权,0.1670889015565702,0.2913583849309758,10
空间平衡接续,Cu,"(30,100]秒",轴对称有限元集总真实体积,0.11981993009633034,0.20179284059454838,10
空间平衡接续,Cu,"[0,30]秒",节点等权,0.16218826948303086,0.269148924828603,10
空间平衡接续,Cu,"[0,30]秒",轴对称有限元集总真实体积,0.12671128323622974,0.21105673461487798,10
空间平衡接续,Cu,全时段,节点等权,0.17094102920801488,0.29359840228412837,10
空间平衡接续,Cu,全时段,轴对称有限元集总真实体积,0.12345936534778948,0.20532955191626406,10
空间平衡接续,SiC,"(100,200]秒",节点等权,0.11202828743377906,0.25510931733588854,10
空间平衡接续,SiC,"(100,200]秒",轴对称有限元集总真实体积,0.10276989326943368,0.2200388005611117,10
空间平衡接续,SiC,"(30,100]秒",节点等权,0.11486658913413214,0.2544160887383623,10
空间平衡接续,SiC,"(30,100]秒",轴对称有限元集总真实体积,0.10776279907603903,0.22520465771324188,10
空间平衡接续,SiC,"[0,30]秒",节点等权,0.14314776830320614,0.20404598895205459,10
空间平衡接续,SiC,"[0,30]秒",轴对称有限元集总真实体积,0.1297540927597232,0.1901307163669364,10
空间平衡接续,SiC,全时段,节点等权,0.11962403209399042,0.24747554247815012,10
空间平衡接续,SiC,全时段,轴对称有限元集总真实体积,0.11007408032650505,0.21741843904854175,10
