功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,397.9973383203586,40.17313917327394,249.3067896509002,108.51740949618446,108.5174094961843,-1.5631940186722204e-13,181.8867827380658,181.60663360625688,34.50392197603595,3.4643598019811748
55.0,10.0,458.0113790842761,102.74867081130176,231.00699737454818,124.25571089842614,124.25571089842575,-3.979039320256561e-13,212.7277216756011,233.9937470844904,11.289910324184575,3.0489479091655767
55.0,50.0,596.999516151649,122.729266220277,391.89204134777503,82.37820858359697,82.37820858359723,2.5579538487363607e-13,234.96792626121643,326.12097738187583,35.91061250855677,1.9688798560654277
55.0,100.0,506.2634987550382,77.60901452935394,553.6392255093531,-124.98474128366882,-124.98474128366922,-3.979039320256561e-13,211.58894676220945,241.49984426370736,53.1747077291214,3.149808994361649
55.0,200.0,106.14966111813541,-161.99307623339735,301.6305632794394,-33.48782592790664,-33.48782592790593,7.105427357601002e-13,36.196942303428486,-27.46780717664035,97.42052599134728,7.556888371844252
115.2,1.0,163.93331277944839,63.55335314907836,-83.85869015016561,184.23864978053564,184.23864978053624,5.968558980384842e-13,173.7556371393082,-26.56061100356567,16.738286643705877,2.7101226521608623
115.2,10.0,188.2889731278393,133.48996107235286,-180.0455670755892,234.84457913107565,234.84457913107605,3.979039320256561e-13,220.99295811366773,19.296423244605762,-52.000408230434175,2.469561174153455
115.2,50.0,532.5116093970903,94.49953069321816,74.76739434899525,363.2446843548769,363.2446843548761,-7.958078640513122e-13,285.2858490727531,252.49809924207327,-5.2723389177361035,1.1918078825275416
115.2,100.0,480.5849597243417,58.062311442805935,239.13562974115501,183.38701854038072,183.38701854038027,-4.547473508864641e-13,269.5241081511077,213.1962175054917,-2.1353659322577414,2.265537508085572
115.2,200.0,-22.728524848786797,-108.54740944883542,-155.1779574825707,240.9968420826193,240.99684208262278,3.467448550509289e-12,148.91352960271985,-177.42410154960513,5.782047098098481,6.737245971347534
364.3,1.0,-306.2304833790871,392.7393768867961,-1111.2171490472992,412.24728878141605,412.2472887814165,4.547473508864641e-13,192.71078611385605,-421.94018054594824,-77.00108894699488,1.3467435935842786
364.3,10.0,-196.99313606655107,261.6061498843833,-879.2040384554259,420.60475250449156,420.6047525044919,3.410605131648481e-13,410.17916008192805,-490.4249795962713,-116.7473165522078,1.6143152101314513
364.3,50.0,983.8881743650476,-106.0932790840377,-22.7158029515806,1112.697256400666,1112.6972564006653,-6.821210263296962e-13,651.2201647263844,412.12655261930036,-79.45854298063719,1.6227660046498613
364.3,100.0,851.7607207917322,39.7081785338446,-173.8289041471537,985.8814464050413,985.8814464050414,1.1368683772161603e-13,754.0857955706142,185.80179852659282,-88.12687330547487,0.9278542590377015
364.3,200.0,62.23571973245282,-234.46387368369915,-791.8924202461233,1088.5920136622753,1088.5920136622815,6.139089236967266e-12,624.4449414034859,-595.373891699922,33.16467002888885,5.01666953322399
403.0,1.0,-316.0939928211017,446.96823786803384,-1219.197520164665,456.1352894755296,456.13528947553004,4.547473508864641e-13,197.80981849935935,-402.10136366382216,-111.80244765663893,1.395092185009105
