功率_W,材料,节点数,归一化RMSE
10.0,铜,32,0.0007870777670240664
10.0,碳化硅,32,0.00033399905012597344
20.0,铜,32,0.0008847418107382413
20.0,碳化硅,32,0.0003337929575721344
30.0,铜,32,0.000889154453873544
30.0,碳化硅,32,0.0003338959141484445
40.0,铜,32,0.0008792355523966376
40.0,碳化硅,32,0.00033394896152024893
60.0,铜,32,0.0008801619066874032
60.0,碳化硅,32,0.0003339212931716608
70.0,铜,32,0.001063224526430806
70.0,碳化硅,32,0.0002930896374703851
80.0,铜,32,0.0010616712060963133
80.0,碳化硅,32,0.00029312774329898444
100.0,铜,32,0.0010423878646681319
100.0,碳化硅,32,0.0003027405827682626
110.0,铜,32,0.0010429516974078549
110.0,碳化硅,32,0.0003027131870323373
120.0,铜,32,0.0010441838580357132
120.0,碳化硅,32,0.0003027329728843931
140.0,铜,32,0.0004372775380696116
140.0,碳化硅,32,0.0002787883857063948
150.0,铜,32,0.0007021641379270897
150.0,碳化硅,32,0.0004747646119094019
160.0,铜,32,0.0003646622278816999
160.0,碳化硅,32,0.00024839025749571195
180.0,铜,32,0.00045576775797542785
180.0,碳化硅,32,0.00029624256482997625
190.0,铜,32,0.00039585962335673936
190.0,碳化硅,32,0.0002707185438508937
200.0,铜,32,0.00039966149856781853
200.0,碳化硅,32,0.00027279271104866217
220.0,铜,32,0.0005684931775430707
220.0,碳化硅,32,0.00042137935742843835
230.0,铜,32,0.0005441585672568207
230.0,碳化硅,32,0.000435027088187208
240.0,铜,32,0.0003088367909978084
240.0,碳化硅,32,0.00021304998312981203
260.0,铜,32,0.00032791227113519836
260.0,碳化硅,32,0.00023292617959322847
270.0,铜,32,0.00033656971711335063
270.0,碳化硅,32,0.00026386881807047074
280.0,铜,32,0.0003606930757483608
280.0,碳化硅,32,0.0002730287020387001
300.0,铜,32,0.000393177295538569
300.0,碳化硅,32,0.0002833837930212402
310.0,铜,32,0.0003922126131467805
310.0,碳化硅,32,0.0002659392080126071
320.0,铜,32,0.00024661139319980625
320.0,碳化硅,32,0.0001857684698135699
340.0,铜,32,0.0004071358028910994
340.0,碳化硅,32,0.0002161138314949183
350.0,铜,32,0.0004549059042395325
350.0,碳化硅,32,0.00024369843661356216
360.0,铜,32,0.00038286397784365294
360.0,碳化硅,32,0.00025830431100698205
380.0,铜,32,0.0003279741327207523
380.0,碳化硅,32,0.00021844014896499957
390.0,铜,32,0.0004288931007999005
390.0,碳化硅,32,0.0002673806606725917
400.0,铜,32,0.0002505133493454785
400.0,碳化硅,32,0.00018450397504373193
420.0,铜,32,0.000593747266972803
420.0,碳化硅,32,0.0002721301380229853
430.0,铜,32,0.0002697393162801137
430.0,碳化硅,32,0.0001944392315182682
440.0,铜,32,0.000329837263944349
440.0,碳化硅,32,0.00021791252793266228
460.0,铜,32,0.00035017960312466766
460.0,碳化硅,32,0.000207327872698682
470.0,铜,32,0.0003176174014585903
470.0,碳化硅,32,0.00016319542966462561
480.0,铜,32,0.00037276069631435923
480.0,碳化硅,32,0.00021828722847556242
500.0,铜,32,0.0004799328375324912
500.0,碳化硅,32,0.00023686710091544677
510.0,铜,32,0.00039599268498689106
510.0,碳化硅,32,0.00023326376327975195
520.0,铜,32,0.0003532931775410582
520.0,碳化硅,32,0.00018211254041563843
540.0,铜,32,0.000513329932448749
540.0,碳化硅,32,0.0002571173274062801
550.0,铜,32,0.0004001991875223566
550.0,碳化硅,32,0.00020156947023510446
560.0,铜,32,0.00040932716215243413
560.0,碳化硅,32,0.00021731832264463362
580.0,铜,32,0.00042975108519761987
580.0,碳化硅,32,0.00022047331416010234
590.0,铜,32,0.000491214254558097
590.0,碳化硅,32,0.00027244125774506726
600.0,铜,32,0.000547708208706702
600.0,碳化硅,32,0.0002731027801341295
620.0,铜,32,0.0003890550019582775
620.0,碳化硅,32,0.00018334824392205698
630.0,铜,32,0.00045232577529894235
630.0,碳化硅,32,0.0001955993235685328
640.0,铜,32,0.00041623698410187617
640.0,碳化硅,32,0.00019412540722721534
660.0,铜,32,0.0004653560324813294
660.0,碳化硅,32,0.00019147620955148044
670.0,铜,32,0.0004784480198592633
670.0,碳化硅,32,0.00018149799357074488
680.0,铜,32,0.0004238548410735144
680.0,碳化硅,32,0.00020189981289825667
700.0,铜,32,0.00046958903841055796
700.0,碳化硅,32,0.0002299863102641101
710.0,铜,32,0.0004821344368838522
710.0,碳化硅,32,0.00022788321031788546
720.0,铜,32,0.00046733799349343126
720.0,碳化硅,32,0.00025634416867325243
740.0,铜,32,0.0004468589976747159
740.0,碳化硅,32,0.00018621606621900636
750.0,铜,32,0.0007279497891751559
750.0,碳化硅,32,0.00036598380705633025
760.0,铜,32,0.0006436805538626137
760.0,碳化硅,32,0.00031817849586849645
780.0,铜,32,0.0005858317104316644
780.0,碳化硅,32,0.0002730850258887439
790.0,铜,32,0.0004923483076675591
790.0,碳化硅,32,0.00020793680044483575
