功率_W,材料,节点数,归一化RMSE
90.0,铜,32,0.0010615945644979407
90.0,碳化硅,32,0.00029307487202757585
170.0,铜,32,0.0007021286871889502
170.0,碳化硅,32,0.0004747907547897012
250.0,铜,32,0.0002946496563895323
250.0,碳化硅,32,0.0002164450005429431
330.0,铜,32,0.0002674208826113098
330.0,碳化硅,32,0.00018054068127049594
410.0,铜,32,0.00027085189174785857
410.0,碳化硅,32,0.00019319365351717953
490.0,铜,32,0.0005362641308241782
490.0,碳化硅,32,0.00026763412617987665
570.0,铜,32,0.00040621985207669857
570.0,碳化硅,32,0.00022117691270082059
650.0,铜,32,0.0005051811429662106
650.0,碳化硅,32,0.0002375916754232963
730.0,铜,32,0.0004697250074106613
730.0,碳化硅,32,0.00025478976177840875
800.0,铜,32,0.000506562849348365
800.0,碳化硅,32,0.00020804721917515784
