种子,数据划分,功率_W,模态,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度
0,高保真合法验证,115.2,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,608,1.8989137906695512,1.598552804244192,-1.596630899529708,3.6139984130859375,4.343841552734375
0,高保真合法验证,115.2,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,684,0.7727856160105953,0.5849524157786229,-0.06354263930292856,1.6366134643554693,2.3751220703125
0,高保真合法验证,115.2,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,608,1.2671114045993348,1.0566147252133016,0.7987709045410156,2.4372222900390623,3.219024658203125
0,高保真合法验证,403.0,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,768,2.1117438213574737,1.614243653406704,1.52679485249249,4.194230651855468,6.88348388671875
0,高保真合法验证,403.0,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,864,2.5327005002543794,1.8750787025092477,0.8964538030119247,6.249716186523428,8.385040283203125
0,高保真合法验证,403.0,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,768,2.907709731217067,2.395751424809377,1.3913231639993289,5.180154418945312,7.703338623046875
0,高保真合法验证,630.5,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,928,7.362882035760957,5.756786993694538,5.116674108583007,17.635662841796876,19.7188720703125
0,高保真合法验证,630.5,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,1044,7.050586370780576,5.156907750852019,4.255690042834576,14.1136474609375,19.634552001953125
0,高保真合法验证,630.5,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,928,7.157189261587295,5.46327749407776,-1.106368422712774,12.946588134765623,27.58758544921875
1,高保真合法验证,115.2,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,608,2.7082294046426836,2.5823306033485816,-2.5823306033485816,5.1026565551757805,5.932098388671875
1,高保真合法验证,115.2,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.9027940448184761,1.5497057730691473,-1.4323553341871116,4.3197143554687525,5.919647216796875
1,高保真合法验证,115.2,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,608,1.4086846814001153,1.0259200648257605,0.3589240626284951,3.107421874999999,4.15216064453125
1,高保真合法验证,403.0,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,768,1.8862397039779204,1.5949621826716835,1.3312623019375573,3.139749145507812,4.3658447265625
1,高保真合法验证,403.0,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.6344602709063492,1.2178775404495639,0.8732020290172156,3.433845520019531,6.664337158203125
1,高保真合法验证,403.0,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,768,2.391638927880372,1.7024843953573532,0.2645615423981944,5.402030944824218,7.634124755859375
1,高保真合法验证,630.5,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,928,5.049274379922056,3.6345344154232966,3.050217758302429,12.77665100097656,14.916748046875
1,高保真合法验证,630.5,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.265503499402599,4.638060902052972,4.2558504095970235,13.563562011718744,17.607025146484375
1,高保真合法验证,630.5,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,928,7.4740136816920595,5.478925238322145,-0.6877153607089188,16.18563537597656,28.02984619140625
2,高保真合法验证,115.2,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,608,2.845349357791369,2.1726885343852795,-2.1726885343852795,6.260197448730468,7.337738037109375
2,高保真合法验证,115.2,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,684,2.0257092192039186,1.4314033999080547,-0.843247932300233,4.934468078613282,6.174591064453125
2,高保真合法验证,115.2,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,608,2.24238188180467,1.8653556422183386,0.6093527141370272,4.714421081542969,6.13592529296875
2,高保真合法验证,403.0,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,768,1.0127860944014653,0.7411864093906527,0.6172183278555503,2.37083740234375,2.751983642578125
2,高保真合法验证,403.0,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.4370867229832593,0.9589431658975388,0.5569736407323238,3.7753631591796792,4.8173828125
2,高保真合法验证,403.0,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,768,2.7303010145456423,2.159613123933057,0.24711673550582403,5.527250671386718,9.58056640625
2,高保真合法验证,630.5,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,928,5.50020037136327,3.7529708999675067,2.251371310907543,13.285098266601562,16.5831298828125
2,高保真合法验证,630.5,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.656496031348174,4.397581576411596,2.9008807843291295,15.125440979003892,18.4163818359375
2,高保真合法验证,630.5,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,928,7.345960602473735,5.274268997277307,-1.8856315446211878,14.91691741943359,29.34820556640625
3,高保真合法验证,115.2,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,608,3.978437950297916,3.9440253408331616,-3.9440253408331616,5.049636840820312,5.44061279296875
3,高保真合法验证,115.2,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,684,2.694657723372121,2.3654387178476792,-2.256254675792672,4.340534973144531,5.323699951171875
