time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.63651,25.82629
4,25.80627,25.83127
6,26.01288,25.84235
8,26.29303,25.89188
10,26.62103,26.02414
12,26.96539,26.25708
14,27.23193,26.51221
16,27.36078,26.74774
18,27.41751,26.96289
20,27.46591,27.08276
22,27.53238,27.11377
24,27.62125,27.10303
26,27.72861,27.08105
28,27.84821,27.05984
30,27.97318,27.04242
32,28.09698,27.02844
34,28.21408,27.017
36,28.32074,27.00757
38,28.41519,27.00012
40,28.49716,26.99478
42,28.56732,26.99158
44,28.62692,26.99036
46,28.67731,26.99091
48,28.71985,26.99277
50,28.75586,26.99564
52,28.78647,26.99915
54,28.81281,27.00302
56,28.83578,27.00705
58,28.8562,27.01111
60,28.87488,27.01501
62,28.89243,27.01855
64,28.90942,27.0217
66,28.92642,27.02429
68,28.94379,27.02612
70,28.96191,27.02713
72,28.98117,27.02722
74,29.00177,27.02628
76,29.02393,27.02429
78,29.04788,27.0213
80,29.07382,27.0173
82,29.10184,27.01245
84,29.13208,27.0069
86,29.1647,27.00076
88,29.19971,26.99435
90,29.23724,26.98773
92,29.27737,26.9812
94,29.32004,26.97485
96,29.36533,26.96884
98,29.41318,26.96332
100,29.46362,26.95837
102,29.51657,26.95407
104,29.57202,26.95041
106,29.62991,26.94751
108,29.69025,26.94534
110,29.75296,26.944
112,29.81805,26.94342
114,29.88553,26.94376
116,29.95544,26.94501
118,30.0278,26.9473
120,30.10275,26.95068
122,30.18033,26.95535
124,30.26065,26.96149
126,30.34396,26.96924
128,30.43045,26.97894
130,30.52032,26.99088
132,30.61395,27.00537
134,30.7117,27.02283
136,30.814,27.04367
138,30.92139,27.06842
140,31.03455,27.09763
142,31.15411,27.13174
144,31.28091,27.17154
146,31.41583,27.21759
148,31.55972,27.27063
150,31.71359,27.3313
152,31.87836,27.40039
154,32.05484,27.47858
156,32.24396,27.56656
158,32.44623,27.66492
160,32.66217,27.7742
162,32.89197,27.89481
164,33.13553,28.02695
166,33.39236,28.17065
168,33.66171,28.32578
170,33.94241,28.49182
172,34.23291,28.66809
174,34.53134,28.85367
176,34.83548,29.04721
178,35.14297,29.24734
180,35.4512,29.45236
182,35.75754,29.6604
184,36.05939,29.86954
186,36.35419,30.07779
188,36.63962,30.2832
190,36.9136,30.48389
192,37.17432,30.67816
194,37.42032,30.86438
196,37.65054,31.04126
198,37.8642,31.20764
200,38.06082,31.36273
