模型组,种子,数据划分,功率_W,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度
任07修复后E0,0,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,1.8989137906695512,1.598552804244192,-1.596630899529708,3.6139984130859375,4.343841552734375
任07修复后E0,0,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,0.7727856160105953,0.5849524157786229,-0.06354263930292856,1.6366134643554693,2.3751220703125
任07修复后E0,0,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.2642580705369832,1.0533148903976026,0.7581982285592355,2.437384033203125,3.219024658203125
任07修复后E0,0,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,2.1117438213574737,1.614243653406704,1.52679485249249,4.194230651855468,6.88348388671875
任07修复后E0,0,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,2.5327005002543794,1.8750787025092477,0.8964538030119247,6.249716186523428,8.385040283203125
任07修复后E0,0,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,2.9690526813499694,2.449295569927923,1.2227166627882111,5.395648193359374,7.703338623046875
任07修复后E0,0,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,7.362882035760957,5.756786993694538,5.116674108583007,17.635662841796876,19.7188720703125
任07修复后E0,0,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,7.050586370780576,5.156907750852019,4.255690042834576,14.1136474609375,19.634552001953125
任07修复后E0,0,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,957,7.768541431650437,5.906453154557046,-1.7923214497731361,13.48992919921875,28.5567626953125
任07修复后E0,1,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,2.7082294046426836,2.5823306033485816,-2.5823306033485816,5.1026565551757805,5.932098388671875
任07修复后E0,1,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.9027940448184761,1.5497057730691473,-1.4323553341871116,4.3197143554687525,5.919647216796875
任07修复后E0,1,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.4054677038952372,1.02636947510155,0.33906689024808123,3.081283569335937,4.15216064453125
任07修复后E0,1,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,1.8862397039779204,1.5949621826716835,1.3312623019375573,3.139749145507812,4.3658447265625
任07修复后E0,1,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.6344602709063492,1.2178775404495639,0.8732020290172156,3.433845520019531,6.664337158203125
任07修复后E0,1,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,2.5018563090812584,1.7810842928035084,0.12752056942861417,5.58954620361328,7.634124755859375
任07修复后E0,1,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.049274379922056,3.6345344154232966,3.050217758302429,12.77665100097656,14.916748046875
任07修复后E0,1,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.265503499402599,4.638060902052972,4.2558504095970235,13.563562011718744,17.607025146484375
任07修复后E0,1,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,957,7.9486798443276685,5.860787605327274,-1.3142583132396797,16.415283203125,29.01171875
任07修复后E0,2,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,2.845349357791369,2.1726885343852795,-2.1726885343852795,6.260197448730468,7.337738037109375
任07修复后E0,2,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,2.0257092192039186,1.4314033999080547,-0.843247932300233,4.934468078613282,6.174591064453125
任07修复后E0,2,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,2.2456630607508883,1.8668201209255382,0.5684322862153609,4.714437866210938,6.228851318359375
任07修复后E0,2,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,1.0127860944014653,0.7411864093906527,0.6172183278555503,2.37083740234375,2.751983642578125
任07修复后E0,2,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.4370867229832593,0.9589431658975388,0.5569736407323238,3.7753631591796792,4.8173828125
任07修复后E0,2,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,2.894739703088433,2.2629318036551647,0.07067459290719175,6.004687499999998,9.870513916015625
任07修复后E0,2,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.50020037136327,3.7529708999675067,2.251371310907543,13.285098266601562,16.5831298828125
任07修复后E0,2,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.656496031348174,4.397581576411596,2.9008807843291295,15.125440979003892,18.4163818359375
任07修复后E0,2,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,957,7.997464080773792,5.749938114004994,-2.5501236235862104,15.641040039062496,30.2872314453125
任07修复后E0,3,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,3.978437950297916,3.9440253408331616,-3.9440253408331616,5.049636840820312,5.44061279296875
任07修复后E0,3,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,2.694657723372121,2.3654387178476792,-2.256254675792672,4.340534973144531,5.323699951171875
任07修复后E0,3,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.729001490945355,1.4087717156661186,0.446557344622209,3.269598388671872,4.39471435546875
任07修复后E0,3,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,2.288009938245387,1.5511709031493526,1.4763080033371474,5.512028503417969,6.608184814453125
任07修复后E0,3,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,2.5234723318951082,1.7981722365336934,1.447289412010406,6.546351623535154,7.3839111328125
任07修复后E0,3,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,3.2934916616844356,2.794280946946786,2.1473967173274335,6.004908752441406,7.4017333984375
任07修复后E0,3,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.665015897094091,3.9141210237329895,3.333876536282313,15.914219665527343,18.96099853515625
任07修复后E0,3,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.563172380878195,5.083871952593373,4.902429718308989,13.72084503173828,15.95916748046875
任07修复后E0,3,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,957,6.908988440908815,5.547368308703411,1.3496141498159036,12.57403564453125,22.6710205078125
任07修复后E0,4,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,2.252006549036243,2.0523801100881474,-2.052041103965357,3.635522460937499,5.433929443359375
任07修复后E0,4,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.2864704260281505,0.9957207127621299,0.27962244044967566,2.6310089111328137,3.6597900390625
任07修复后E0,4,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.7066647429189674,1.3737569562556071,-0.004998214697343573,3.3152435302734315,4.386138916015625
任07修复后E0,4,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,2.1958327416551566,1.551646678549119,1.3525864410993695,5.1368164062499995,5.5240478515625
