功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,-139.85217009921652,23.216036543809878,-390.175737359969,227.1075307169426,227.1075307171235,1.809041805245215e-10,38.545039247677586,-171.54935469736913,-6.847854649524981,2.2812286016399526
55.0,10.0,96.95604635361684,-13.83959929770117,-130.52782436388128,241.3234700151993,241.32347001521578,1.6484591469634324e-11,97.61336607637926,-21.978601702166564,21.32128197940414,1.8217449185896157
55.0,50.0,130.27442150714097,-3.1054591939512193,4.988163772988742,128.39171692810345,128.3917169281029,-5.400124791776761e-13,135.35010985330433,-52.287099506351865,47.211411160188504,1.6086940303174515
55.0,100.0,-36.93947484065578,-18.56038979410107,41.85979033047384,-60.23887537702855,-60.23887537702751,1.0373923942097463e-12,43.265237528240256,-131.8464878920883,51.64177552319228,0.966127843316599
55.0,200.0,113.46214338948414,90.32322091804627,488.86129141378495,-465.7223689423471,-465.722368942344,3.069544618483633e-12,128.96887785721637,-50.26350266691904,34.75676819918681,1.0112829273968487
115.2,1.0,-448.61420819672435,106.1380082431175,-925.9487780820207,371.19656164217884,371.19656164236847,1.8962964531965554e-10,27.502846629985108,-452.20838306411565,-23.90867176259384,1.7502916783705587
115.2,10.0,-225.90791579149897,-12.258519335578853,-598.3296230521062,384.68022659618606,384.68022659619794,1.1880274541908875e-11,123.20477492713616,-308.36774124957867,-40.744949469056465,1.8005480372874558
115.2,50.0,-51.49382246574158,-82.85534375791173,-311.73771460504213,343.0992358972123,343.0992358972151,2.8421709430404007e-12,191.61311104867863,-221.29001267765693,-21.81692083676328,1.32085116892506
115.2,100.0,66.07846487094208,-67.88600621333524,-92.37585742733748,226.3403285116148,226.34032851161348,-1.3358203432289883e-12,142.4378303146599,-65.26169508884404,-11.097670354873769,0.745747579836916
115.2,200.0,124.05997173119235,88.66975173571399,262.26397334798014,-226.87375335250178,-226.87375335249283,8.952838470577262e-12,282.80645544628425,-148.93278132138244,-9.813702393709463,1.4530620895891388
364.3,1.0,-1027.5860797414643,126.36853045194891,-2399.023634246247,1245.0690240528338,1245.0690240530976,2.637534635141492e-10,29.765352304744024,-962.6590154969554,-94.69241654925302,1.2464166348881918
364.3,10.0,412.48979392389185,195.77766711125003,-724.3912300643295,941.1033568769714,941.1033568769831,1.1709744285326451e-11,674.0385697979096,-267.2407113151123,5.6919354410945004,0.6763810885050816
364.3,50.0,572.3133488830046,-305.71610840706217,-227.42476799577503,1105.4542252858419,1105.4542252858694,2.751221472863108e-11,609.5348882054651,-86.92766579682693,49.706126474366286,0.26227277820186146
364.3,100.0,101.62263166480338,-179.85094596981753,-808.1461181123293,1089.6196957469501,1089.619695746937,-1.318767317570746e-11,685.5284470789568,-586.6230643524999,2.7172489383465077,0.24277875716296649
364.3,200.0,-265.5922646630444,-289.75815023636756,-857.013056248147,881.1789418214702,881.1789418215146,4.445155354915187e-11,255.63874919623794,-433.11143777203074,-88.11957608725157,2.194010322645454
403.0,1.0,-983.0542731176909,62.79040379677997,-2449.4084623924073,1403.5637854779366,1403.563785478219,2.823981049004942e-10,12.490899109493977,-896.9567122985859,-98.58845992859897,1.1291646125488342
403.0,10.0,530.0621082247445,226.68509871835477,-680.3211053516344,983.6981148580242,983.6981148580328,8.640199666842818e-12,746.9966389595709,-254.21099855206165,37.276467817235286,0.5164646319286135
403.0,50.0,518.0156159761191,-350.98413875985693,-285.0141923473784,1154.0139470833544,1154.0139470833815,2.7057467377744615e-11,687.5290668561158,-227.8813150952337,58.367864215237,0.38246487476033053
403.0,100.0,-10.181566407233092,-214.22248342743364,-922.5370353251365,1126.577952345337,1126.577952345325,-1.2050804798491299e-11,770.5509079416593,-780.8442848287187,0.11181047982638859,0.32947011677327964
403.0,200.0,-323.22969123718434,-347.3185334805611,-1095.7587854166582,1119.847627660035,1119.847627660079,4.411049303598702e-11,281.97913669384354,-528.2143614500994,-76.99446648092845,1.9868224988395013
630.5,1.0,-1097.6229878485628,-47.72245157857731,-3155.2017002511134,2105.301163981128,2105.301163981201,7.321432349272072e-11,93.74244593405058,-1180.1978337053201,-11.16760007729306,2.7419627895040435
630.5,10.0,6.891753111029743,101.78875049691806,-1236.5860827566894,1141.689085370801,1141.68908537082,1.9099388737231493e-11,1104.6665459378094,-1019.6177128348942,-78.15707999188544,1.9050385680384352
