功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,-183.8222465623825,-4.503401206107384,-260.3846930752718,81.06584771899668,81.06584771899742,7.389644451905042e-13,-81.69446417331176,86.0262910478165,-188.15407343688724,2.8271840218570787
55.0,10.0,-97.4648005079142,-37.62891218467482,-173.7403332515555,113.90444492831612,113.90444492831575,-3.694822225952521e-13,3.029808240851718,71.08881341982536,-171.58342216859128,2.4621227753493713
55.0,50.0,522.8237151421743,-53.441060951887096,354.9088671599215,221.35590893413985,221.35590893413948,-3.694822225952521e-13,157.9798103662482,395.9901742907356,-31.146269514809518,1.7043397629341825
55.0,100.0,419.4322704376548,-145.59287829991644,392.643890040791,172.3812586967802,172.38125869678,-1.9895196601282805e-13,158.98315453792884,286.67842234444055,-26.2293064447146,1.4571756384681294
55.0,200.0,294.36955967657445,-138.36910891200438,202.41314439483244,230.3255241937464,230.32552419374625,-1.4210854715202004e-13,-2.910036540589107,407.2877290955212,-110.00813287835764,3.2923251016235326
115.2,1.0,-373.23389025205415,53.64363277916168,-555.1775057915522,128.29998276033638,128.2999827603374,1.0231815394945443e-12,-150.08618177587687,6.683151678609718,-229.83086015478702,2.9075260196740373
115.2,10.0,-351.8162246862271,-9.634640488248806,-529.492846694219,187.31126249624072,187.31126249624134,6.252776074688882e-13,38.89779250035631,-185.68240234500755,-205.03161484157582,2.2886029364612455
115.2,50.0,439.75042403870907,-87.71933268459583,46.60445216956157,480.86530455374333,480.86530455374316,-1.7053025658242404e-13,251.13997471182165,206.07809176713442,-17.467642440247033,1.1519707736846385
115.2,100.0,368.25052628591635,-126.25097780065136,5.523917278816839,488.97758680775087,488.97758680775087,0.0,218.1181443865491,166.2428070025646,-16.110425103197336,1.040248872698271
115.2,200.0,495.5132706033616,-88.71906972374376,55.915497394630506,528.3168429324749,528.3168429324747,-1.1368683772161603e-13,88.43773834410965,525.2608638560645,-118.18533159681255,2.8789202842183954
364.3,1.0,-797.011446061166,202.552933024332,-1505.5924529750298,506.0280738895318,506.0280738895334,1.5916157281026244e-12,-477.1742056298608,-160.3926946594862,-159.44454577181898,3.522049792173675
364.3,10.0,-792.5836750353383,-36.453596413808896,-1322.0586045412192,565.9285259196898,565.9285259196915,1.7053025658242404e-12,199.61028449783512,-946.5772860141476,-45.61667351902574,3.0153999710874473
364.3,50.0,701.2538150970767,-429.14226567799324,-145.93688981352602,1276.3329705885958,1276.332970588596,2.2737367544323206e-13,639.1354193453209,-8.52384610326052,70.64224185501634,0.36950168927126015
364.3,100.0,576.1638961921968,-136.12357792037278,-751.2487694608576,1463.536243573427,1463.536243573426,-1.1368683772161603e-12,663.91106979808,-83.45778480319194,-4.289388802691207,0.5556391590854446
364.3,200.0,558.280002011382,-163.57827866103844,-723.117496270692,1444.9757769431124,1444.9757769431133,9.094947017729282e-13,604.8088061098514,69.4951635009121,-116.02396759938152,2.102641036032651
403.0,1.0,-698.9139581131586,218.90935730868017,-1544.1718596982785,626.3485442764397,626.3485442764404,6.821210263296962e-13,-511.98637972553234,-55.13839785562402,-131.7891805320022,3.195687472399186
403.0,10.0,-705.5623713157768,-52.710546703875366,-1319.3419253878965,666.4901007759951,666.4901007759969,1.8189894035458565e-12,233.9130520138798,-934.0966979758971,-5.378725353759464,2.729010482784986
403.0,50.0,863.9044395898374,-485.51839796125705,-31.36267461633952,1380.7855121674338,1380.7855121674345,6.821210263296962e-13,737.796998881666,77.55164900578762,48.55579170238378,0.48000300430203424
403.0,100.0,648.2120005807226,-141.64796838890834,-746.9146481116147,1536.7746170812457,1536.7746170812427,-2.9558577807620168e-12,776.0204353361713,-116.29787550276654,-11.510559252682185,0.795453434360752
403.0,200.0,524.8309001482369,-216.01771584131552,-830.0915064971007,1570.940122486653,1570.9401224866538,6.821210263296962e-13,660.6538347471765,-62.84517626191365,-72.97775833702602,1.811732354041908
