seed,state,relative_output,manifest_sha256,source_stage_pt_sha256,physical_best_is_epoch0,abs_balance_macro_w,abs_balance_p95_w,absorbed_power_normalized_macro,absorbed_power_normalized_p95,divergence_gap16_macro_w,divergence_gap16_max_w,divergence_gap64_macro_w,divergence_gap64_max_w,neighbor_order_change_over_absorbed
0,best,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子0_观测最佳_20260916T054235+0800,1b7c92dba185f62d700169c88d2b2e159c2aa663d19af6752e4b6ef93a7a5529,81956a8427a70a13429e0bc8b4b52eb0a0de772a1437157f2f0b594760dbdc1e,false,2051.961433167957,4225.411524606567,8.147144096189924,15.613807494686261,16.272907757981717,54.09095600262185,2.1449864107125906e-11,6.411937647499144e-11,0.0005835290650530315
0,physical,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子0_物理最佳_20260916T054235+0800,91bc9f262058a0a495531ef95599d09dbed8fced9c578d9627cdf3f120a50df5,3e6120c6bc6526322fc7887e750924a2b849f33f8f0d45855adc06f2442e4888,true,3011.9443263426506,7103.468981272,9.959361684356871,13.061947498836505,0.03765733551834482,0.1790228666659459,4.561684363579843e-12,3.637978807091713e-11,6.828189415059098e-8
0,final,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子0_训练末_20260916T054235+0800,04be3bfc5ca8c17be21912a09afdea83ab994507e03dbf5cc44154408b82025d,d2270c87f676a80068b6e355016f0a15263978d2986dc48a233b7adeba57964d,false,2186.629939814244,4535.543989477019,8.743017915814029,17.866551176781204,102.2908066496398,284.13358494298245,2.831869968152508e-9,1.1287738743703812e-8,0.010700326656575884
1,best,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子1_观测最佳_20260916T054235+0800,7fcd630379b4f27ff88d9c4bc85d78fdaaaa80e1a6a75f82fcbfc8761a5bce9a,7d603b59069713c80b94eae772b798c0b86081eee8f138710ffbd172988f15a1,false,2550.412934310084,4061.378375367434,13.94308699376662,38.65711050175305,3.211099070756563,11.603923497872074,3.9797972325080384e-11,1.5779733075760305e-10,0.00007761731011474057
1,physical,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子1_物理最佳_20260916T054235+0800,32417799db62edf96a5dcf42be04cef481b1bc40b0ab552ff7d3d47517ddd3ae,300880a7dfe6d0e62bc1e1232a7fbf6d7b5dd2af3a4e5d6eb11ca067598a57b3,true,2745.108316120299,5897.114111510777,8.716343123154452,11.213146573821994,0.09001605617727079,0.3796327619402291,1.5333796454797267e-10,1.1996235116384923e-9,1.0967800590625879e-7
1,final,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子1_训练末_20260916T054235+0800,c5f167716df4356f4f386c0becfacc9545cef8d5061895422e532bf0fac188b0,e8305084d092688b2e2510435e4465674adcb316ed04ed689cca7bf22b0aefeb,false,2777.9500998801977,4468.510738335168,14.949976382941282,39.35013389932925,42.82309842316123,149.00222203128942,9.844181173927305e-10,1.3370481610763818e-8,0.0018718275658290218
2,best,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子2_观测最佳_20260916T054235+0800,2c332555c388cf24166148402d7ae68ef61d30a0f6eb8129866aad71e09a4112,b461c6cfe0a299c95573a9855bb130f76640e9c979b7116e9b6a94a801cf1194,false,2180.11558041535,4641.273373207278,8.981123711423031,16.157439775655114,58.11684898222801,144.34154424780354,8.141644987820958e-10,3.999502951046452e-9,0.0032559084426966767
2,physical,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子2_物理最佳_20260916T054235+0800,d51cb1508aa7dd9c1bba273d408014d38ca4a5d15d88c8d25ebbcaf6b7be36a2,23c1c9bf245f655b55af29437a5932fdaaad230a493c4ccb90007fc0c137c4e2,true,2833.302903873766,6426.000112370857,9.256647626077097,11.651585752179187,0.20062133054045905,0.9691765019279046,7.759126674500294e-13,3.183231456205249e-12,1.3760902313735317e-7
2,final,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子2_训练末_20260916T054235+0800,d9d2cc253e057a03a05cd28e45115090c5d03a0f5a61f9212aad55731d432c17,cc70ce1525313ce0d7860c49123ab5149ff94d8096a52a5730d133e490cc336b,false,2401.460736259179,4880.040626756923,9.44581131172822,14.487471422424099,184.8454500080874,522.781901045603,1.9029342486949948e-8,1.3879048310627695e-7,0.0014055837211079166
3,best,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子3_观测最佳_20260916T054235+0800,25e2fb9c4e34a8e961be7473fc400fe7a757f3b1e7cb75ff2e04813546afc953,3ea36adf484996cb60ec1c43656546df467e61a5a9c2c3c398ff945d1b84bb73,false,2215.4570580484124,4919.657981305069,8.66950025426612,14.083099534212037,2.4149973056289338,10.377694279598472,1.7238714159854376e-11,2.546585164964199e-11,0.000008963636534859448
3,physical,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子3_物理最佳_20260916T054235+0800,72c673bd81e7096bb9e8a62c3164c46984cb9f993d6f2a6525fb78bb6ed58c1d,d59ca02f7cc9f41d9f0425f1b899a8e22ec6ab5134a058615a6b808d9302a2be,true,2912.165135161606,6633.565123890214,9.52019000945547,12.238122579009199,0.056511636445841874,0.14014337562366563,5.561181145215717e-13,2.7284841053187847e-12,1.6070042950541764e-8
3,final,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子3_训练末_20260916T054235+0800,bc8a2b70f1e97140638e9dba97d2a85b38143388a70ba896798f9e8c21de3108,0e2f72a68f13cfcbbf54631a3365e69f72a0ed013735e957bce5063311521b9a,false,2374.7291170154326,5603.9781189299965,8.368480985107979,11.836374021423723,24.117647748509793,149.2714456955191,8.199663170671556e-11,6.120899342931807e-10,0.000013300129664558243
4,best,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子4_观测最佳_20260916T054235+0800,9484084a352c4531f69f598d0149e6ac61209593a48b0541c6d0dfb3880a8a77,b50aa2cd6fada175a9f1ed3be1e480d656c11939fb005ce3439fdc4186470f19,false,2030.6635566803334,4189.550114801022,8.812249838429917,17.084683448978122,13.042085676686812,38.29192764662946,8.287012557654331e-10,1.0244548320770264e-8,0.00027400729299088084
4,physical,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子4_物理最佳_20260916T054235+0800,e1fbf8e2067866bd6984eda749574892d454c78617d6f53404b90294901fc367,ced1b55322d439762006de2d2c72697dbb6283e534d5f78c3e73e24d4bfbb285,true,2825.718068262058,6530.329485388467,8.820961266510439,12.755238997918134,0.018660713203767897,0.07607235122850398,1.1238417603938917e-12,4.547473508864641e-12,5.0837727542086347e-8
4,final,研究记录/任务08_贡献消融/F2_独立能源最终合同_种子4_训练末_20260916T054235+0800,ca7422b655d97bdff310ee5e11145004bda3d8d5adda210a478b850948724f5b,1e68e007212b1f305a263cd0a21e21440797bcaa66f553e6dcb5d872ce720147,false,2368.5041263111484,4998.9226149747155,9.891842011111581,21.41813085403104,240.22195287879322,829.177619346599,0.000007134555895997134,0.00011330181769153569,0.002835086678533942
