功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,97.62339026701211,1749.799055218814,1.5926416220903017,0.6100515817106482,1807.5583637690568,1807.5583637690568,1752.0017484226148,1.0317103652416222,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,65.17117373393413,1734.3034490898822,1.7616886803421965,0.6842647443366527,1759.8538013279249,1759.8538013279249,1736.7494025145609,1.0133032427015158,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,6.544219717043399,1495.5467118650774,1.9901442134438758,0.786534294991487,1462.8008351699862,1462.8008351699862,1498.323390373513,0.9762917969299862,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-18.073492145018378,1307.7409797206126,1.8618753013248135,0.7268845900833012,1250.1894725464322,1250.1894725464322,1310.3297396120206,0.9541029519154502,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-27.072280303437118,895.1060428165297,1.4305518474350496,0.49866347328021654,827.8962029132377,827.8962029132377,897.0352581372449,0.9229249300996495,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,197.82558792493003,1871.3517762505019,1.9808368454922274,0.7668475786121395,1983.8142764022693,1983.8142764022693,1874.0994606746062,1.0585426857164613,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,112.59841230063188,1914.2112885247475,2.345959813653156,0.9402141914904293,1941.985102633256,1941.985102633256,1917.497462529891,1.0127706245154853,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,12.380312592587273,1774.7121650233216,2.7956195042578957,1.1643531405907301,1702.9416780634906,1702.9416780634906,1778.6721376681703,0.9574230359823582,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-15.060244043387419,1649.1238827466395,2.717790263434682,1.132219510909191,1549.802876280329,1549.802876280329,1652.9738925209833,0.9375846063223018,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-19.980843565670675,1233.0929957467174,2.353280702685407,0.938989750076594,1128.2936504365418,1128.2936504365418,1236.3852661994795,0.9125744873236802,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,584.3523499896044,1942.6518761140264,3.6007336813428967,1.5421092447160722,2253.5120489648957,2253.5120489648957,1947.7947190400855,1.1569556211115892,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,299.50895211006446,2315.25422289571,4.8437951066537765,2.366659419145876,2343.3386094667803,2343.3386094667803,2322.46467742151,1.0089878361760256,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,58.676225957550045,2802.4739533245006,6.552689983214083,3.74129206950186,2592.8091412699723,2592.8091412699723,2812.7679353772164,0.9217998785677476,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,-6.952260344148764,2957.1137992244144,6.7195864477808405,3.955899310353051,2682.202004573605,2682.202004573605,2967.789284982548,0.9037710386468282,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,8.264195360393192,2658.078289567682,6.504575488348846,3.816967853800141,2398.0290082054307,2398.0290082054307,2668.3998329098313,0.8986767944706521,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,642.8339180035557,1940.454815895428,3.864695789522369,1.6916408700942729,2280.6103379587867,2280.6103379587867,1946.0111525550446,1.1719410420461491,inner_autodiff_at_R_minus_epsilon,1e-6
