功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,223.1770015533738,223.20119857134446,-510.08028977761717,510.0560927596465,510.0560927596332,-1.3301360013429075e-11,-436.28178499124317,234.85324929993763,424.60553724467934,6.0514198933752255
55.0,10.0,454.0679961559857,199.56129049685808,-283.30414177406453,537.8108474331922,537.8108474331773,-1.48929757415317e-11,-398.1117350239808,472.8707309163925,379.30900026357403,6.046507144023963
55.0,50.0,1148.0242410496592,137.461244114082,410.3614596575642,600.201537278013,600.2015372779961,-1.693933882052079e-11,-202.05529638372718,1145.418366385039,204.66117104834734,5.5273732617649785
55.0,100.0,783.3501831197348,201.01652535160025,-49.393976013447514,631.727633781582,631.7276337815707,-1.1254996934439987e-11,-64.65285911538163,836.5069491671736,11.496093067942784,4.695308814113503
55.0,200.0,602.5539567977066,28.77200987111118,-9.150792599603164,582.9327395261986,582.9327395261897,-8.86757334228605e-12,290.60799345638327,653.9879834100805,-342.04202006875704,5.4552709394669705
115.2,1.0,553.0652886679427,103.25724004424553,-262.15602830056633,711.9640769242634,711.9640769242449,-1.8530954548623413e-11,-297.2644762994728,543.2109227795875,307.11884218782797,5.277487236545539
115.2,10.0,574.1585975607438,150.16797853070335,-344.1832035574748,768.1738225875154,768.1738225874966,-1.8758328224066645e-11,-232.4276445013976,572.6285374430107,233.9577046191307,5.374624532315636
115.2,50.0,1246.9081806118322,80.85459433403597,210.50737524621093,955.5462110315852,955.5462110315688,-1.6484591469634324e-11,30.03563632335357,1184.0171739060818,32.85537038239692,5.03001170659536
115.2,100.0,1052.2359787066953,156.01094860616095,-57.083625163748934,953.3086552642832,953.3086552642708,-1.2391865311656147e-11,178.00129500539276,976.9248797973869,-102.69019609608443,3.8356210405198112
115.2,200.0,941.3038868310571,18.92758111658432,-24.98435614823802,947.3606618627108,947.3606618626998,-1.1027623258996755e-11,541.5667433457386,799.2213811329383,-399.48423764761975,4.8072605593487765
364.3,1.0,1178.4126157387304,-326.49650519175384,391.2498769818915,1113.6592439485928,1113.6592439485714,-2.1373125491663814e-11,492.34972084751985,1082.0352161240407,-395.97232123283004,4.811227047052739
364.3,10.0,939.9416385626427,15.890786872099909,-333.88282789001687,1257.9336795805598,1257.9336795805377,-2.205524651799351e-11,928.8381707705092,540.849282291734,-529.7458144996004,4.836864509929285
364.3,50.0,1755.326097009011,-123.19392736859186,-190.1652709368766,2068.6852953144794,2068.6852953144603,-1.9099388737231493e-11,1578.7009456240169,785.3417541806828,-608.7166027956886,5.111372784049536
364.3,100.0,2251.7099651249573,-39.19587765617666,52.64384233484952,2238.262000446284,2238.262000446265,-1.9099388737231493e-11,1739.8475911899118,1101.1607827417045,-589.2984088066586,2.754398330128879
364.3,200.0,2350.813961413008,-34.611665636532734,-139.68729798596996,2525.1129250355107,2525.1129250354984,-1.2278178473934531e-11,1970.8322998859887,1151.8000086198374,-771.8183470928179,4.708761694031125
403.0,1.0,1363.6233444469835,-368.81437181130565,473.49849686780215,1258.939219390487,1258.939219390466,-2.114575181622058e-11,632.1247182658441,1249.3416964385865,-517.8430702574469,4.879637204862206
403.0,10.0,1160.7563072972107,-14.52473600619112,-234.43060233792676,1409.7116456413287,1409.7116456413073,-2.1373125491663814e-11,1147.0211897526588,655.0864722444612,-641.3513546999093,4.931898323475139
403.0,50.0,2027.4052181385923,-157.57949620175145,-136.4284625430846,2321.4131768834286,2321.413176883411,-1.77351466845721e-11,1857.8566481753314,837.1014621984078,-667.5528922351467,5.28083180960283
403.0,100.0,2473.1631034666325,-55.237233852396685,19.17186768009651,2509.2284696389324,2509.228469638915,-1.7280399333685637e-11,2038.3962894554154,1074.0218850891458,-639.255071077929,2.7225164095085574
403.0,200.0,2556.9357918452815,-69.4861181032411,-177.98202891055826,2804.403938859081,2804.403938859069,-1.1823431123048067e-11,2236.4317445806228,1154.7202754457437,-834.2162281810851,5.013192446800815
630.5,1.0,2680.8118158614943,-418.1099027117125,467.55386391298,2631.367854660227,2631.3678546602014,-2.546585164964199e-11,1443.415606479327,2267.406803733362,-1030.0105943511944,5.724598720517406
630.5,10.0,2511.5265763152947,-237.075445869571,87.82183660384817,2660.7801855810176,2660.7801855809944,-2.319211489520967e-11,2486.737038877166,1333.5255773835058,-1308.7360399453773,6.321744695145128
630.5,50.0,4329.589462238509,-226.5744584596464,495.98464556964063,4060.179275128515,4060.179275128496,-1.9099388737231493e-11,3693.3588295242407,1823.3234187347516,-1187.0927860204827,7.600369087589229
630.5,100.0,4463.338073912908,-9.483010387706145,234.52325352743446,4238.297830773179,4238.297830773164,-1.546140993013978e-11,4238.257666855878,1442.561833616971,-1217.4814265599412,3.864706501147168
630.5,200.0,3893.641977288288,-349.0612438929452,-208.62815151672203,4451.331372697956,4451.331372697944,-1.1823431123048067e-11,4151.230899669754,1398.1951934728477,-1655.7841158543133,7.622585045593439
729.0,1.0,2859.8720088023892,-424.0029995289516,-148.26261235591983,3432.1376206872606,3432.1376206872374,-2.319211489520967e-11,1558.7247171157803,2431.8634331211033,-1130.7161414344946,6.769005718759956
729.0,10.0,2563.293219785558,-385.43832234600495,-358.6601975589797,3307.3917396905426,3307.3917396905176,-2.5011104298755527e-11,3030.219487244984,1117.2010653550083,-1584.1273328144346,7.705051737426174
729.0,50.0,5292.631432459228,-29.299355436278347,505.17320886791185,4816.757579027594,4816.757579027573,-2.091837814077735e-11,4854.461133566464,1772.1947035426947,-1334.0244046499315,9.583083837066738
729.0,100.0,5323.2162897909275,33.06441415885138,286.3026560999497,5003.849219532127,5003.849219532113,-1.3642420526593924e-11,5433.941370223893,1571.081608916505,-1681.8066893494702,5.518641597662963
729.0,200.0,4627.2845521403215,-457.3291333402358,-70.57350500622852,5155.187190486786,5155.187190486772,-1.3642420526593924e-11,5031.104292436237,1704.8612882954483,-2108.681028591365,9.244341496145637
