功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,958.9942073634166,88.53356051308562,-12.028863989669958,882.489510840001,882.4895108190727,-2.092826889565913e-8,-187.52292501262878,1121.3499372755587,25.167195100486744,4.027269642048452
55.0,10.0,800.5218146698708,66.98816610424787,-182.59618772854515,916.1298362941681,916.1298363404703,4.6302261580422055e-8,-169.11075236832912,935.5656352041494,34.0669318340505,3.220726013266244
55.0,50.0,867.0076313084228,-12.381189987251641,-46.9721081779453,926.3609294736198,926.3609293155343,-1.5808541320438962e-7,-104.92402198334264,971.8444472852452,0.08720600652017296,1.8801398166428953
55.0,100.0,602.2197787305435,14.640092151518967,-62.920456606366315,650.5001431853908,650.5001429546852,-2.3070560928317718e-7,-32.946162718340474,681.9458670411116,-46.7799255922276,1.5995684796572505
55.0,200.0,99.09261385311157,8.826547978318082,-130.57501459541265,220.84108047020615,220.8410804860085,1.5802356756466907e-8,177.90434318668056,113.85072416249386,-192.66245349606282,2.622622870523287
115.2,1.0,1132.405821667665,31.542515886884985,142.02872017284915,958.8345856079308,958.8345856426043,3.4673576010391116e-8,-118.10301806806302,1238.252979397943,12.255860337784938,3.2406512284646283
115.2,10.0,926.2625512777216,54.735321799895466,-182.6418337043009,1054.169063182127,1054.1690631961092,1.3982116797706112e-8,-54.68885332737307,986.8742341943776,-5.922829589282843,2.60124097346511
115.2,50.0,1250.7141308152513,-8.245866432520202,-19.323630486906723,1278.2836277346782,1278.2836277539818,1.9303570297779515e-8,110.88715489601032,1230.049881906415,-90.222905987174,1.0880289296761703
115.2,100.0,997.408298130036,-27.177974856492938,-36.384001462615515,1060.9702744491444,1060.9702745930192,1.4387478586286306e-7,194.5136905365224,932.7457645318179,-129.85115693830423,0.9259540031744677
115.2,200.0,370.43028551567863,-21.7052249950315,-191.43704488786568,583.5725553985758,583.5725554044544,5.878632691747043e-9,386.72264085798065,241.74594420045491,-258.03829954275693,2.349226808165895
364.3,1.0,2032.3718139062662,22.339689493903492,481.14627216959093,1528.8858522427718,1528.8858522373794,-5.3923940868116915e-9,313.3709566304378,1907.8895925445793,-188.88873526875065,1.0629904513463657
364.3,10.0,1665.5203366054407,-15.622378187709046,-206.86782268925117,1888.0105374824009,1888.01053748107,-1.3308181223692372e-9,613.2754320957407,1390.9675815401633,-338.72267703046316,1.3379001398969876
364.3,50.0,2985.6034277967633,70.9348899255732,23.882543677524154,2890.785994193666,2890.7859941904285,-3.237346390960738e-9,1308.9811153154315,2166.4252826809,-489.80297019956834,1.2566146566294378
364.3,100.0,2864.1944410108813,15.356810142691984,34.659002785328084,2814.178628082861,2814.1786309622926,2.879431576729985e-6,1448.1435270656345,1959.4791810329857,-543.4282670877388,1.788059881985589
364.3,200.0,1722.2480995757596,33.840627065547324,-406.3991984501215,2094.806670960334,2094.8066709541295,-6.2045728554949164e-9,1747.8119132690738,689.179760967189,-714.7435746605032,1.3667969017640758
403.0,1.0,2173.4456535425425,43.977516615456224,470.77238330292926,1658.695753624157,1658.6957536208813,-3.2757725421106443e-9,400.26243148630897,1990.177190471612,-216.9939684153789,1.2817780822312557
403.0,10.0,1808.271948066767,-36.76924449144434,-209.72286175981867,2054.76405431803,2054.764054316134,-1.895841705845669e-9,742.6311039759046,1463.868654308552,-398.22781021768964,1.0256693366656577
403.0,50.0,3251.5922732927456,67.76018137867982,24.91595777334487,3158.9161341407207,3158.916134717203,5.764823072240688e-7,1531.040898875679,2310.1734583886328,-589.6220839715663,1.1506147667674327
403.0,100.0,3123.941790762856,15.296161492032297,30.50845708181123,3078.1371721890123,3078.137173775657,1.5866448848100845e-6,1713.2267064717619,2054.961707947671,-644.2466236565767,1.864498203966832
403.0,200.0,1917.0886285119684,42.4745645695275,-434.3072884228102,2308.921352365251,2308.921352390716,2.5464942154940218e-8,2012.4545224723029,718.2729201550801,-813.6388141154146,1.4105010592095368
630.5,1.0,2905.8106434856795,29.49830524297164,317.0123107852978,2559.30002745741,2559.3000274574397,2.955857780762017e-11,994.3819349570376,2333.737611362713,-422.308902834071,2.012620823604607
630.5,10.0,2506.765439727398,-191.97462712417587,-426.41189507325544,3125.1519619248293,3125.1519619183573,-6.471964297816157e-9,1686.9935407574135,1679.0313702508765,-859.259471280892,1.6141918033435445
630.5,50.0,4924.259786635924,91.62521676562687,-105.21671294252428,4937.851282812821,4937.8512872377205,4.4248990889173e-6,3118.299438290131,2980.6661244451952,-1174.705776099402,1.168723927049598
630.5,100.0,4440.827743746228,-13.806609618532093,-130.27775955012203,4584.9121129148825,4584.912153617849,0.00004070296654390404,3633.355881558544,2138.2748549010703,-1330.802992713386,1.573371994087097
630.5,200.0,2704.9513373867057,74.0762902002466,-676.4085588686808,3307.28360605514,3307.283605071634,-9.83505742624402e-7,3918.4506125690004,235.89583980826046,-1449.395114990555,2.354217420194516
729.0,1.0,3166.391176640056,-49.86559164231119,326.33634381640195,2889.9204244659654,2889.920424466045,7.958078640513122e-11,1364.7347896362967,2421.392622822531,-619.7362358187718,3.0545013888764174
729.0,10.0,2581.609627102687,-245.3272145659662,-639.9348870832073,3466.8717287518607,3466.871728731104,-2.0756488083861768e-8,2310.975959796755,1371.1590581843632,-1100.525390878431,3.915937652836476
729.0,50.0,5537.1249420192935,173.8527404411666,-100.84021274193037,5464.112414320058,5464.112461462924,0.00004714286660600919,4210.062257188361,2826.4787581873525,-1499.4160733564204,2.604082958327581
729.0,100.0,5154.724931863286,-2.9263239463566606,108.76130417011154,5048.88995163953,5048.890064941348,0.00011330181769153569,4822.866811368205,2057.205418344233,-1725.3472978491523,1.5898610364780552
729.0,200.0,2998.6757484495106,79.63602277609516,-743.5365892791683,3662.5763149525837,3662.576313278197,-1.6743865671742242e-6,5061.614928576315,-358.15454882241306,-1704.7846313043915,4.118177628256376
