HF功率数,seed,来源,canonical目录,best合法S_摄氏度,final合法S_摄氏度,best原能源宏均值_瓦,final原能源宏均值_瓦,best吸收功率归一宏均值,final吸收功率归一宏均值,best能源资格,final能源资格
3,0,v2,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3_primary_HF3_seed0_20260916T064515+0800,4.737039126108328,6.1731725967780395,656.5908516086694,883.1757613728139,3.8054594386603164,3.4447697242283892,False,False
3,1,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF3_seed1_录0078_20260916T071500+0800,4.374440359466206,5.4860374627832265,1128.5678939851596,951.2069058942868,4.767882373866157,3.795504187025954,False,False
3,2,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF3_seed2_录0078_20260916T071500+0800,3.8837700905888326,5.446335346869841,780.9952810956491,878.1886391800874,3.1056487210459514,2.7870561273426384,False,False
3,3,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF3_seed3_录0078_20260916T071500+0800,4.193422217331251,4.902148875081443,761.8920945752237,898.3853148708325,3.3779430068180476,4.08340531350467,False,False
3,4,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF3_seed4_录0078_20260916T071500+0800,4.7025599685329835,6.073702493391835,915.5183523884542,967.0234735120747,3.6371338201974606,3.2631397126489836,False,False
6,0,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF6_seed0_录0078_20260916T071500+0800,1.943668167027523,2.0622502941196985,814.1807479629605,906.2990660558884,2.878515034309799,3.2679838008443594,False,False
6,1,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF6_seed1_录0078_20260916T071500+0800,2.0952262361282927,2.2939045192158805,1131.636599942526,1201.115147716849,3.565085802486252,3.9884618107868968,False,False
6,2,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF6_seed2_录0078_20260916T071500+0800,1.9040618833484517,2.4778957886523347,1192.5815062121683,1399.3443660559803,4.775034914366133,4.867206248602212,False,False
6,3,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF6_seed3_录0078_20260916T071500+0800,2.068277967230463,2.653691134956517,862.9899504229138,990.9705850531449,2.609619077435731,2.9021917293843003,False,False
6,4,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF6_seed4_录0078_20260916T071500+0800,2.0043972884359067,2.4267100211802424,1195.8971219861064,1122.6153325646358,4.918457976633265,4.243922111401951,False,False
9,0,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF9_seed0_录0078_20260916T071500+0800,2.134486182938558,2.2109015576623534,1015.911952533456,962.5173814144707,3.4434609712667683,3.3140201850128386,False,False
9,1,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF9_seed1_录0078_20260916T071500+0800,2.1388836493598613,2.268344186128794,1027.50212684829,1067.5526197881388,3.755110755118,4.105361699835837,False,False
9,2,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF9_seed2_录0078_20260916T071500+0800,2.0677321707211442,2.1529888133991713,1348.4267223842694,1278.008048814692,5.350868700808293,3.930471834750085,False,False
9,3,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF9_seed3_录0078_20260916T071500+0800,2.1341918407124725,2.2603366035516443,1001.1604367754311,1004.0963721053328,3.5958803608638195,3.4643839991405403,False,False
9,4,v3,研究记录/任务09_高保真数据效率/正式F3子集训练/正式F3V3_primary_HF9_seed4_录0078_20260916T071500+0800,2.1592474407880977,2.3810716833534684,1178.5447875314624,1184.3687604722074,4.8779674380221625,4.943726867367413,False,False
