功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,33.85334849793512,105.31082490837483,1.142343682045111,0.5054957976308282,98.74523796541581,98.74523796541581,106.95866438805076,0.9232093400789273,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,51.02349257446501,144.82392846738486,1.2904137858426807,0.5667983001403358,155.6378582072628,155.6378582072628,146.68114055336787,1.061062503469123,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,-4.530177708099169,245.75940367188093,1.4876125517791867,0.6448270240768192,201.2948906190677,201.2948906190677,247.89184324773694,0.8120270839968646,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-16.452283150590425,-45.212968204609005,1.4149398307760923,0.5903674718513638,-101.72671897314206,101.72671897314206,43.20766090198155,-2.354367647994496,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-9.505001694553973,-579.1294643870492,0.9202684973258834,0.40162841848020847,-629.3793440863672,629.3793440863672,577.8075674712431,-1.0892542422745106,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,137.45275165218393,229.1285495855039,1.1228767700820201,0.501734078953921,280.09513988945696,280.09513988945696,230.75316043453984,1.213830135032601,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,134.01239343523523,333.55658132007534,1.535889099062072,0.691083033038431,381.6851746901442,381.6851746901442,335.7835534521758,1.1367000282356174,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,-3.3369995452248378,627.6430620156946,1.9893015840890136,0.9142693291430388,539.0988611864351,539.0988611864351,630.5466329289267,0.8549706445695995,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-12.818996191491316,302.37702448817663,1.9761091713938863,0.8928023196622049,204.31616759047463,204.31616759047463,305.24593597923274,0.6693493459135691,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-0.4572219775266948,-296.4383827957038,1.6081663217411921,0.7426404453982398,-382.6555702033578,382.6555702033578,294.08757602856434,-1.3011619714468692,inner_autodiff_at_R_minus_epsilon,1e-6
