功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,45.676580764806396,-69.27331089479456,0.6938604873496743,0.2892391959328109,-64.68040536727577,64.68040536727577,68.29021121151207,-0.9471402155565778,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,55.27573693023848,-19.882566082176826,0.8722975662122284,0.3611693506467278,-5.440137155649474,5.440137155649474,55.27573693023848,-0.0984181750939888,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,-7.805653164608388,181.11201846880803,1.0347690892442611,0.4300490356458371,132.70440850851966,132.70440850851966,182.57683659369815,0.7268414273374485,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-14.981276647053855,-35.87211152144543,0.9412635271652952,0.3713535311971094,-91.60754603070697,91.60754603070697,42.06677492057008,-2.1776698167063935,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-0.1043820444256216,-391.267907580106,0.8308499443476862,0.356351611730372,-432.25186298902366,432.25186298902366,390.08070602402796,-1.108108799829741,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,160.0872178941873,19.5490855850716,0.7112210623518089,0.2963861485918739,92.53313849293578,92.53313849293578,160.0872178941873,0.5780170316539408,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,137.08985838355093,137.85943773105214,1.173944224012799,0.5037551571079694,188.51622329845702,188.51622329845702,139.5371371121729,1.3510111157498537,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,-8.894096466131828,549.9423956515016,1.5588267556520878,0.7021271361987156,455.19848087995365,455.19848087995365,552.2033495433523,0.8243312563322599,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-13.057578070316678,337.9551445158121,1.5025156849590007,0.6694585876761026,238.95876852086374,238.95876852086374,340.1271187884472,0.7025572361652577,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,9.669926916931045,-50.61371419814182,1.5029494070815925,0.6901386053699852,-126.86147146602599,126.86147146602599,88.1107721972668,-1.4397952520720416,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,641.5371603535359,204.27963422853355,0.9592304564184706,0.4266985942059734,568.5677035678998,568.5677035678998,641.5371603535359,0.8862584098083666,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,453.7942417668333,546.7813925871283,2.593937101492418,1.4165191333566558,725.9510705240166,725.9510705240166,550.7918488219774,1.3180134602149,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,4.789374924740672,1723.7442980021247,4.011365974100156,2.575547301736141,1456.4855661379074,1456.4855661379074,1730.3312112779608,0.8417380190826005,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,1.578548646808033,1621.3407046436676,4.209462773044114,2.7778159796145028,1351.2715119783402,1351.2715119783402,1628.3279833963263,0.8298521709120857,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,44.64883712638621,1196.3427188222868,4.616680209626262,2.8247992630454695,969.7980153565505,969.7980153565505,1203.7841982949585,0.805624477153109,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,722.9661189032404,204.39238868380593,1.0032828406595904,0.4525088719239109,620.5795666998164,620.5795666998164,722.9661189032404,0.8583798748982218,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,506.09598331936866,577.1273520052341,2.829082398388909,1.611151844242592,779.4288369674208,779.4288369674208,581.5675862478656,1.3402205614589155,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,9.030805595787639,1853.0160626227116,4.43199981701116,3.00001054668774,1561.2441459823847,1561.2441459823847,1860.4480729864106,0.8391764159675037,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,2.329288882493649,1791.2130501729398,4.664055495772518,3.2489844438535314,1493.2206463952461,1493.2206463952461,1799.1260901125659,0.8299699807598365,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,49.111640686478886,1367.446759546414,5.09714896963167,3.253383761556381,1116.6742003642673,1116.6742003642673,1375.7972922776019,0.8116560532806676,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,1223.431250831719,80.53789726456694,1.3958983714359774,0.714517641583718,823.8413534289522,823.8413534289522,1223.431250831719,0.6733858995909123,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,814.0986102952533,627.79797952249,4.4321690838055625,3.361052432275006,967.4516006534705,967.4516006534705,814.0986102952533,1.1883715171834035,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,50.0,64,482.23821068035335,22.444506263240886,2412.8804494502847,7.251055129398289,7.19397622132102,1967.5317763838912,1967.5317763838912,2427.325480801004,0.8105759989528132,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,100.0,64,482.23821068035335,1.4691833574836428,2626.706398091028,7.665949057869485,8.124693232373374,2161.728013058401,2161.728013058401,2642.497040381271,0.8180626051889532,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,200.0,64,482.23821068035335,78.40653384277367,2221.7041368057876,8.019190074615503,6.942252776450981,1832.833902819274,1832.833902819274,2236.665579656854,0.8194492370649639,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1472.0613410695598,77.35976186761279,1.7921353537899813,1.0074725506524258,994.6447305307861,994.6447305307861,1472.0613410695598,0.6756815784647291,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,939.084066171075,690.4599990734466,5.500280506163209,5.023427938701662,1082.4917933785578,1082.4917933785578,939.084066171075,1.1527102124011097,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,14.277484189552261,2721.2885115214895,8.820270435535292,11.371037515930379,2198.181323351678,2198.181323351678,2741.479819472955,0.8018229088311417,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,100.0,64,557.5759803108289,-4.7877068144030375,2896.568524737456,9.223348500916295,12.941993311817585,2356.3701794249578,2356.3701794249578,2918.7338665501898,0.807326151393885,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,200.0,64,557.5759803108289,100.22830228967584,2591.3330486101804,9.530613019249088,10.139842040735711,2153.655825649012,2153.655825649012,2611.003503670165,0.8248383514697392,inner_autodiff_at_R_minus_epsilon,1e-6
