功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,434.2075402343439,-112.7630939050806,279.8115771238561,267.1590570155684,267.15905701556886,4.547473508864641e-13,32.22245357247667,423.22536167655915,-21.24027501469186,1.238820245858392
55.0,10.0,120.16660190449628,-165.37058294167278,9.666054439475289,275.87113040669374,275.8711304066939,1.7053025658242404e-13,17.232092744728703,74.25959833999131,28.674910819776255,1.0890073778890041
55.0,50.0,38.75501597728518,-97.32110152087563,-196.34761100659546,332.42372850475624,332.42372850475596,-2.8421709430404007e-13,45.406800200941,78.83299839660374,-85.48478262025955,0.6076589401358206
55.0,100.0,496.42116781435845,-199.61122065750806,325.203299758626,370.82908871324054,370.8290887132405,-5.684341886080802e-14,58.71406768868908,432.92719811859934,4.779902007070055,0.45894905315236656
55.0,200.0,-536.9384668581847,-146.50647761804527,-572.7035054444987,182.27151620435922,182.27151620435868,-5.400124791776761e-13,-225.231474891686,-113.7359285411163,-197.9710634253824,1.6841192506977336
115.2,1.0,422.221782061783,-68.2709578484442,192.1610809624296,298.3316589477976,298.3316589477976,0.0,42.61613149306183,408.13997123765597,-28.534320668934736,1.2699400936438678
115.2,10.0,31.762550984515087,-191.59400231602984,-78.89716592157734,302.2537192221223,302.2537192221222,-1.1368683772161603e-13,81.36648398996189,-97.50854072192311,47.904607716476306,0.9307047289402135
115.2,50.0,-2.67381177841618,-95.67582498105605,-354.77429475808253,447.7763079607224,447.77630796072276,3.410605131648481e-13,156.1904499014667,-75.68745390758974,-83.17680777229315,0.38906230194135105
115.2,100.0,443.0751200364695,-148.67581226495594,115.35873588575396,476.3921964156715,476.3921964156716,1.1368683772161603e-13,198.0699192967699,249.09327032020752,-4.088069580507927,0.2578827766072891
115.2,200.0,-653.2440285530867,-135.58627410945863,-849.3250853327331,331.6673308891051,331.66733088910524,1.7053025658242404e-13,-207.93877900271582,-245.46772952440543,-199.83752002596543,1.4303242570406383
364.3,1.0,329.4108804088312,76.79942130894108,-552.8236973252008,805.4351564250909,805.4351564250912,3.410605131648481e-13,100.44076670720776,344.65575786605734,-115.68564416443392,0.8086789919418607
364.3,10.0,84.490927138861,-69.01345829071442,-492.32247446569835,645.8268598952737,645.8268598952766,2.8421709430404007e-12,555.6861681251505,-551.2058873490794,80.01064636278986,0.5039723000945742
364.3,50.0,213.4841274169869,-106.09894685964582,-649.081690393645,968.6647646702777,968.6647646718393,1.5616024029441178e-9,703.924061623197,-445.9277213233563,-44.512212882853746,1.2365020422831208
364.3,100.0,244.4465462529245,-117.81345308985692,-531.8248537749516,894.084853117733,894.0848531186524,9.193854566547088e-10,673.3499157687606,-393.06563181630776,-35.83773769952839,1.393540448432475
364.3,200.0,46.532313170981226,267.326080816132,-1324.1381488088984,1103.3443811637478,1103.3443811637464,-1.3642420526593924e-12,27.822362429909205,93.58812101948348,-74.87817027841146,1.1808947368277245
403.0,1.0,302.56984971244407,104.41772264458805,-749.5697220972565,947.7218491651125,947.7218491651138,1.2505552149377763e-12,98.88774710955863,351.8824681267688,-148.20036552388336,0.9515286801138814
403.0,10.0,83.05551474594398,-57.82238259954988,-575.5309079685467,716.4088053140406,716.4088053140681,2.751221472863108e-11,607.5550135884168,-599.381038617791,74.88153977531812,0.34807502446500393
403.0,50.0,229.18757148535758,-143.66935242575846,-669.0528466113162,1041.9097705224322,1041.9097705255986,3.1664058042224497e-9,798.9158563638632,-536.1365559311914,-33.591728947314195,1.3542715494215827
403.0,100.0,315.92784309847644,-144.41514656490108,-502.9701030175113,963.3130926808888,963.3130926827041,1.8153514247387648e-9,782.3525192004422,-461.23126331128617,-5.193412790679588,1.6365304232172093
403.0,200.0,0.7200525554225692,292.60394616911435,-1596.1261820086072,1304.2422883949155,1304.2422883949132,-2.2737367544323206e-12,95.62179073448692,34.31931356426982,-129.22105174333416,1.067622179332659
630.5,1.0,270.3192448557828,424.1550331763251,-2163.6368401386007,2009.8010518180586,2009.8010518180579,-6.821210263296962e-13,268.76015367240495,297.4726875315248,-295.91359634814694,2.7025782548258803
630.5,10.0,-360.24091791504935,-60.45695715357351,-1461.3408083084148,1161.556847546939,1161.5568475468629,-7.617018127348274e-11,826.2857318585868,-1189.3607018119317,2.8340520382955106,2.5360907223076765
630.5,50.0,733.8668353517072,-148.87822609222212,-541.3884487255352,1424.1335101694644,1424.1335101770653,7.600874596391805e-9,1262.9831597893303,-621.476534863781,92.36021042615789,1.6295444078314745
630.5,100.0,938.925594609436,-251.53755548128083,10.186715623972077,1180.2764344667448,1180.2764344622944,-4.450384949450381e-9,1407.310583732732,-495.9776377643182,27.592648641022038,1.1716155078117367
630.5,200.0,1451.1407919296016,-138.07520649450362,-2030.2236557896963,3619.4396542138015,3619.439654213752,-4.956746124662459e-11,485.9030078878041,784.6334624958095,180.6043215459882,5.628277191658071
