功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,515.4659607562277,-273.78571247199454,394.814416741798,394.4372564864242,394.43725648642516,9.663381206337363e-13,-7.0820366436758375,480.61852133836624,41.929476061537336,1.668561514436817
55.0,10.0,433.79416433761253,-256.4129789380119,205.07344822984874,485.1336950457757,485.13369504577565,-5.684341886080802e-14,-6.076827097311082,412.4871260950665,27.383865339857124,1.2455901199842856
55.0,50.0,644.3720344699715,-131.07440218842794,293.90093395240535,481.54550270599407,481.54550270599407,0.0,109.32493453443294,642.5576882730417,-107.5105883375031,0.7606371353663803
55.0,100.0,37.55405227612877,-84.06750364659399,-71.81700583450578,193.43856175722854,193.4385617572285,-2.842170943040401e-14,38.459823483607565,37.2980505525144,-38.20382175999319,1.402360660818431
55.0,200.0,-322.31651161059517,-208.70482942334743,-44.80846625058501,-68.80321593666272,-68.8032159366629,-1.7053025658242404e-13,-15.93139900445199,-290.65104730213784,-15.73406530400537,4.7679759539376505
115.2,1.0,191.0881451916511,-129.75620684313267,-181.72391129198587,502.5682633267696,502.56826332676974,1.1368683772161603e-13,23.743836624581384,130.09414986643355,37.250158700636185,0.7113473270787836
115.2,10.0,-107.5575735540854,-91.67117500121884,-616.114209887472,600.2278113346056,600.2278113346056,0.0,65.54365588669023,-165.65146150914114,-7.449767931634483,0.34719113382419664
115.2,50.0,259.041928811099,-17.633407476362493,-432.3471333718803,709.0224696593418,709.022469659342,2.2737367544323206e-13,222.26012742006054,187.07485628861065,-150.29305489757218,0.7340080991348827
115.2,100.0,-62.446147363463794,-25.393477350653257,-527.4035527271557,490.3508827143451,490.3508827143462,1.0800249583553523e-12,157.84794874262644,-165.12560743636317,-55.16848866972707,0.9574603469976068
115.2,200.0,-139.38500884964287,-93.22497224626875,-333.07601879408287,286.91598219070875,286.915982190709,2.2737367544323206e-13,52.18344408392015,-146.39773718296613,-45.170715750596905,4.458648016885547
364.3,1.0,-174.5961991050142,94.9126362884607,-1182.3642734785003,912.8554380850254,912.8554380850255,1.1368683772161603e-13,-16.66842878906511,16.48486401588974,-174.41263433183883,1.5221759628905147
364.3,10.0,-364.9107232461279,91.77190893548527,-1392.0785188833825,935.3958867017693,935.3958867017692,-1.1368683772161603e-13,483.4135466141364,-768.5382828538633,-79.78598700640103,1.025105548728277
364.3,50.0,793.2384979400267,-0.6321769776232031,-674.6886353949117,1468.5593103125616,1468.559310312941,3.794866643147543e-10,723.4980512852669,210.11721165090702,-140.37676499614722,1.436296034835948
364.3,100.0,683.4135704059792,-69.19141489640674,-585.8345744834667,1338.4395597858527,1338.439559786074,2.212345862062648e-10,685.0245929571436,23.087222825756555,-24.69824537692088,0.21306545689037648
364.3,200.0,424.95704262799654,-188.067892018845,-692.8145534635013,1305.839488110343,1305.8394881103359,-7.048583938740194e-12,321.2865567307089,238.47864390315965,-134.80815800587195,3.3182235697290707
403.0,1.0,22.564465527395868,125.80385025111593,-1113.9581459877743,1010.7187612640543,1010.7187612640549,6.821210263296962e-13,-29.537416529082826,225.29879575705695,-173.19691370057825,1.717113970432763
403.0,10.0,-165.19867912096265,123.00354442330217,-1291.6259900193932,1003.4237664751283,1003.4237664751204,-7.958078640513122e-12,586.1584527246393,-666.6692468474871,-84.68788499811488,1.1945675014425206
403.0,50.0,879.9780610861878,-35.27525159315701,-641.247861196025,1556.50117387537,1556.5011738756439,2.7398527890909463e-10,811.5007617365557,181.35849435054828,-112.8811950009162,1.4697029846695955
403.0,100.0,716.6170642405602,-61.95674742595702,-640.8292507247368,1419.403062391254,1419.4030623915341,2.801243681460619e-10,779.0667477351388,-78.71408992943054,16.264406434851878,0.1348905136840699
403.0,200.0,451.0769867922143,-239.48153727294687,-740.708372110078,1431.2668961752393,1431.2668961752336,-5.6843418860808015e-12,405.7907232306331,148.1339340589818,-102.84767049740054,3.3086528986439134
630.5,1.0,1027.0649474443653,521.5315504088157,-830.9104236192024,1336.443820654752,1336.443820654754,2.0463630789890885e-12,89.74712133672675,1015.4316537514477,-78.11382764380915,2.287392295647976
630.5,10.0,244.65127764753908,-54.05868294920947,-764.2706408232832,1062.9806014200317,1062.9806014200535,2.1827872842550278e-11,906.4016106241185,-576.8188028844971,-84.93153009208226,1.6752507782936732
630.5,50.0,1306.035879063799,-358.41878498037386,-133.39530960960792,1797.8499736537808,1797.8499736539643,1.8349055608268827e-10,1298.2776203905657,-9.309410408101655,17.06766908133494,2.9850778553152963
630.5,100.0,902.1475311241996,-211.8433337121196,-847.0081722352224,1960.9990370715418,1960.9990370704184,-1.1234533303650096e-9,1409.8884514030378,-508.1140175452495,0.3730972664112642,2.128213195896251
630.5,200.0,1208.1157394735258,-466.9302570004795,-1052.8595287496162,2727.905525223621,2727.9055252236944,7.321432349272072e-11,1039.151426736038,223.79757688624989,-54.833264148762055,8.511669848991005
729.0,1.0,855.5520082678279,826.0403273167849,-1370.8685128830518,1400.3801938340948,1400.3801938340944,-4.547473508864641e-13,328.5510379625161,634.9205731987663,-107.91960289345454,2.8040663490595534
729.0,10.0,-310.3318785978859,-159.71060591312425,-1147.9239368244644,997.3026641397028,997.3026641397623,5.95719029661268e-11,955.2843640112025,-1173.6394701531435,-91.97677245594487,1.66666965459342
729.0,50.0,531.0103968251414,-790.2196904190027,-513.1646630822934,1834.3947503264376,1834.394750326588,1.5052137314341962e-10,1614.8968187635521,-938.2289515518587,-145.65747038655206,2.2755915689995163
729.0,100.0,493.1140889078754,-886.2133349464552,-786.4170995156182,2165.744523369949,2165.744523378505,8.556071406928822e-9,1598.2042414726025,-986.127795915927,-118.96235664880007,2.2392016189776314
729.0,200.0,1134.2816093273748,-254.28976586208273,-2088.9241767170424,3477.4955519065,3477.495551906449,-5.1386450650170445e-11,1067.2696266458156,125.11953259538609,-58.10754991382697,13.423017865881945
