功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,86.15988962053387,-378.7896793497753,0.6918621947499247,0.27180904759009106,-333.7328934074715,333.7328934074715,377.8260081074353,-0.8832978308697429,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,58.539471347398155,-322.0279454644417,0.8988822710957047,0.36015293656882275,-304.2962138299491,304.2962138299491,320.7689102567772,-0.9486462188195184,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,-15.362037652089057,-315.9209204455248,1.0525399583694606,0.4242689369612578,-371.87292412285325,371.87292412285325,314.4441115501941,-1.1826359930530672,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-28.838469016539495,-576.1690714837227,0.8009407652824977,0.30676001018888005,-645.966614645361,645.966614645361,575.0613707082514,-1.123300307669392,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-18.364723535107913,-689.1887946328966,0.1268718909403374,0.025631924795317715,-749.4677892728389,749.4677892728389,689.0362908171609,-1.0877043767665844,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,183.15783274206143,-452.77627179554656,0.7134889638990096,0.2862768127005452,-356.72944547415244,356.72944547415244,451.77650601894703,-0.7896148664693767,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,132.52796619352068,-326.45298012808547,1.1580980027134378,0.4879045364572526,-280.3897835926609,280.3897835926609,324.8069775889148,-0.863250493182232,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,-7.580701009780204,-124.95845330221226,1.5829102374385244,0.6946562638717513,-218.37236000794897,218.37236000794897,122.68088680090199,-1.7800031097129585,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-20.17482849524759,-316.8899099198026,1.4268648211332582,0.6222908568291624,-423.12635493435454,423.12635493435454,314.84075424184016,-1.3439376866990238,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-12.379167661261576,-375.71607629468986,0.8759006510176475,0.38144759717742704,-474.9486679050231,474.9486679050231,374.45872804649474,-1.268360522353884,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,547.2058381145189,-788.8459727494471,1.1589355447244807,0.5380193307796153,-518.5781998242182,518.5781998242182,787.149017873943,-0.6588056239019094,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,412.14895132901665,-399.1597129470298,2.5560392507513345,1.379731515453505,-261.7100109166024,261.7100109166024,412.14895132901665,-0.6349889040665798,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,24.283031970687667,648.2291166610078,4.0918567970016095,2.5358734319703395,400.5048587958732,400.5048587958732,654.8568468899797,0.6115914656736584,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,13.12270040872285,756.2931100176525,4.33708007786595,2.751095696488843,497.8689661359359,497.8689661359359,763.3812857920072,0.6521891162414303,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,11.374824909832219,856.6800906178097,4.201930029603638,2.574255939566619,596.196081432018,596.196081432018,863.4562765869799,0.6904762842058748,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,601.2871179413149,-807.4794478879401,1.2944241901374585,0.6163453328902657,-512.5162930234109,512.5162930234109,805.5686783649123,-0.6362167581585731,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,453.00812958608117,-381.7685873256643,2.8412844385926843,1.6066195945511703,-232.54728630625277,232.54728630625277,453.00812958608117,-0.5133402054367853,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,28.157221429012473,781.4642792549371,4.546310945001991,3.0042634307850276,508.9373424599231,508.9373424599231,789.0148536307241,0.6450288484659082,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,17.179286906716655,922.0075960514721,4.844061703402341,3.284799097110044,639.0810111588877,639.0810111588877,930.1364568519845,0.6870830687809355,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,14.878496715725001,1039.9298740243808,4.751000341335387,3.075346969080993,754.3999854507086,754.3999854507086,1047.7562213347971,0.720014799329595,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,938.4494333136203,-616.5873234853527,2.4752785539293125,1.3506639369605034,-156.55015836119594,156.55015836119594,938.4494333136203,-0.16681789428805427,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,680.9887265668882,-20.386753699782435,4.986501983940531,3.835845523528713,187.18610969422167,187.18610969422167,680.9887265668882,0.2748740212453955,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,50.0,64,482.23821068035335,38.82894831300693,1626.54187726763,7.656492184757852,7.726848448481268,1198.5159555335226,1198.5159555335226,1641.925217900869,0.7299455191179619,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,100.0,64,482.23821068035335,29.826221611579022,1859.596409911789,8.140174815085322,8.607621658571706,1423.9322173166718,1423.9322173166718,1876.3442063854461,0.7588864625535353,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,200.0,64,482.23821068035335,32.654611063159884,2068.317851672441,8.12667786901435,7.617622971902525,1634.4785528961643,1634.4785528961643,2084.062152513358,0.7842753398333153,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1113.6775730127413,-371.65390499422915,3.1504638359484796,1.7879359434110298,189.3860874870427,189.3860874870427,1113.6775730127413,0.17005468375798566,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,779.3137519857697,280.7239634059451,6.153901404863604,5.4178321067654815,514.0334685925151,514.0334685925151,779.3137519857697,0.6595975847759726,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,36.63890513527329,2039.183625221643,9.230556564957158,11.190014086992301,1538.667120698037,1538.667120698037,2059.6041958735927,0.7470693270972886,inner_autodiff_at_R_minus_epsilon,1e-6
