功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,136.94885755331694,61.857596857389304,408.8241541033997,-333.73289340747203,-333.7328934074715,5.115907697472721e-13,-50.80383341380486,526.023478610382,-338.2707876432602,6.211089328519108
55.0,10.0,188.33505630544937,38.40440511599428,454.22686501940484,-304.29621382994975,-304.2962138299491,6.252776074688882e-13,-22.69567839508328,553.2112600247129,-342.1805253241803,6.118993642751889
55.0,50.0,235.80091776977238,-150.0243383313876,757.6981802240132,-371.8729241228532,-371.87292412285325,-5.684341886080802e-14,42.406133507778314,445.0847530176858,-251.6899687556917,4.541177505955943
55.0,100.0,-59.58297545157002,-305.34773512544416,891.7313743192344,-645.9666146453603,-645.966614645361,-6.821210263296962e-13,81.00140368117673,-25.758535310336356,-114.82584382241039,2.9060898066454115
55.0,200.0,-162.56017035205306,-295.9882645885225,882.8958835093085,-749.4677892728391,-749.4677892728389,2.2737367544323206e-13,-26.11228765915345,-132.47078037626696,-3.97710231663266,1.2929430708294944
115.2,1.0,118.14963998896712,153.85045299501118,321.02863246811023,-356.7294454741543,-356.72944547415244,1.8758328224066645e-12,10.132118626850774,436.6620970635005,-328.64457570138416,5.7390583248286475
115.2,10.0,111.04492272843629,134.70334338863745,256.7313629324604,-280.38978359266156,-280.3897835926609,6.821210263296962e-13,38.27551570989874,436.65056992126756,-363.88116290273,5.89508140990614
115.2,50.0,200.93373520650505,-88.57123845433415,507.8773336687886,-218.3723600079494,-218.37236000794897,4.263256414560601e-13,117.34873555889209,347.78317960394736,-264.1981799563344,4.645665232667454
115.2,100.0,49.69863405160038,-246.60736118246365,719.4323501684191,-423.1263549343551,-423.12635493435454,5.684341886080801e-13,170.40709800816742,-11.618730395363897,-109.08973356120316,3.4227181404526164
115.2,200.0,-30.8509732948444,-286.0266388693907,730.1243334795727,-474.94866790502635,-474.9486679050231,3.240074875066057e-12,43.20681613972336,-103.02885022075222,28.97106078618446,1.1109483953464405
364.3,1.0,-190.8111270411106,519.896474584177,-192.12940180106852,-518.578199824219,-518.5781998242182,7.958078640513122e-13,304.43054873910853,-439.43689305672444,-55.8047827234947,6.40657923911391
364.3,10.0,-257.09027364668486,439.28444230277603,-434.6647050328593,-261.7100109166016,-261.7100109166024,-7.958078640513122e-13,371.95482265389137,-282.5101931946681,-346.53490310590814,7.366317174604717
364.3,50.0,128.39775214333616,-58.77217415511291,-213.33493249742526,400.5048587958743,400.5048587958732,-1.1368683772161603e-12,514.8012465134768,-124.03021420578477,-262.3732801643559,6.656840660054286
364.3,100.0,511.73954602182675,-157.06762299506636,170.9382028809573,497.8689661359358,497.8689661359359,1.1368683772161603e-13,649.1624829856853,7.6428557871197995,-145.0657927509783,6.146529247309161
364.3,200.0,355.7633375098075,-274.3709358457488,33.93819192355238,596.1960814320039,596.196081432018,1.4097167877480388e-11,481.2605827741206,-274.16961624733995,148.67237098302684,6.367519758259334
403.0,1.0,-226.18548094156614,540.4863140792124,-254.1555019973673,-512.5162930234112,-512.5162930234109,3.410605131648481e-13,354.5819908383363,-606.0829096570365,25.315437877134016,6.628476350231608
403.0,10.0,-267.5000958906876,447.84245066577387,-482.79526025020914,-232.54728630625232,-232.54728630625277,-4.547473508864641e-13,434.22986890072394,-382.1359631110954,-319.5940016803161,7.672024079136179
403.0,50.0,142.25085565311323,-95.0607566700362,-271.62573013677445,508.9373424599239,508.9373424599231,-7.958078640513122e-13,585.6193920963719,-194.47271497715707,-248.89582146610164,6.934485008682088
403.0,100.0,564.912634782065,-172.3842715328576,98.21589515603489,639.0810111588877,639.0810111588877,0.0,728.2489820778062,-17.44297118226217,-145.89337611347895,6.4587107006958036
403.0,200.0,404.80283062660186,-280.7772601920276,-68.819894632064,754.3999854506935,754.3999854507086,1.5120349416974932e-11,561.0400286763091,-327.2575565443118,171.02035849460452,7.100905514305396
630.5,1.0,213.44815434511725,422.77721972306097,-52.77890701674778,-156.55015836119594,-156.55015836119594,0.0,820.3888896252315,-1135.3275761057503,528.386840825636,8.679913100667477
630.5,10.0,303.07388073196245,221.5679565089324,-105.68018547119158,187.1861096942216,187.18610969422167,5.684341886080802e-14,916.53420073249,-530.4610942796057,-82.99922572092186,9.881418166444291
630.5,50.0,446.02196732830805,-451.6835686014931,-300.81041960372295,1198.515955533524,1198.5159555335226,-1.3642420526593924e-12,1148.5743524856332,-532.6268019755345,-169.92558318179067,8.418771588736263
630.5,100.0,809.6880626461956,-305.447684988284,-308.796469682193,1423.9322173166724,1423.9322173166718,-6.821210263296962e-13,1285.7885793545965,-363.3944856142882,-112.70603109411275,7.78967840651967
630.5,200.0,741.4990170568749,-317.6419741211971,-575.3375617180641,1634.478552896136,1634.4785528961643,2.8194335754960775e-11,994.5410589189378,-586.4347536248911,333.3927117628281,10.758928290894517
729.0,1.0,1001.216610366627,350.4316315357845,461.3988913438028,189.38608748703973,189.3860874870427,2.9558577807620168e-12,1145.4138225949189,-816.3797423068708,672.1825300785789,10.171984582491802
729.0,10.0,1115.5124926150404,60.99293270922044,540.4860913133048,514.0334685925152,514.0334685925151,-1.1368683772161603e-13,1254.495494328847,-133.6819761621727,-5.301025551633856,11.317397979546968
729.0,50.0,875.6453641761699,-616.7828619393426,-46.23889458252529,1538.6671206980377,1538.667120698037,-6.821210263296962e-13,1581.2182392433729,-522.763368741686,-182.80950632551696,9.39797052462393
729.0,100.0,1099.968670143448,-335.0948227501799,-328.0232038249069,1763.0866967185348,1763.0866967185336,-1.1368683772161603e-12,1719.7470534736005,-516.8809956071095,-102.89738772304298,8.470245827691429
729.0,200.0,1009.840255114355,-301.93129672656323,-698.8745464247845,2010.6460982657027,2010.6460982657352,3.2514435588382185e-11,1196.1195223514483,-591.3279166390828,405.04864940198956,12.092479194659404
