功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,23.017325172184826,-108.19690983182171,299.57543310780363,-168.3611981037971,-168.36119810379753,-4.263256414560601e-13,-25.92512608096026,246.09588159370983,-197.15343034056474,3.164107045549656
55.0,10.0,-53.58698059378975,-134.60141315974508,299.38368775816366,-218.36925519220833,-218.3692551922078,5.400124791776761e-13,-0.3375086923769577,134.3609226900482,-187.610394591461,3.011959365583607
55.0,50.0,123.24241588708773,-233.42102418883638,672.2122458587837,-315.5488057828596,-315.5488057828594,1.7053025658242404e-13,66.89727344563862,104.83590988803027,-48.49076744658115,2.735396806841777
55.0,100.0,91.10365983132847,-167.19379122235836,690.8143554101887,-432.5169043565018,-432.5169043565022,-3.979039320256561e-13,141.41581152867224,-82.07710346921614,31.764951771872372,1.4847342332262201
55.0,200.0,-500.5146148931349,-154.89661676241758,133.63915265460952,-479.25715078532676,-479.25715078532534,1.4210854715202004e-12,88.69875263418425,-621.0913978916674,31.87803036434821,3.967795135750123
115.2,1.0,-31.703097055189232,10.720035765339759,20.337203310535216,-62.76033613106421,-62.76033613106429,-8.526512829121202e-14,63.44728850442673,72.63064452001495,-167.7810300796309,2.4901426050824966
115.2,10.0,-176.78960780950115,-40.186930367962134,-56.653382870034704,-79.94929457150431,-79.94929457150427,4.263256414560601e-14,94.10040349959108,-71.17486879328115,-199.71514251581107,2.5084499832325378
115.2,50.0,104.13346514336104,-204.23099602710022,337.4467786102091,-29.08231743974784,-29.082317439748465,-6.252776074688882e-13,186.98507159648963,1.3948807913890278,-84.24648724451762,1.968017257237534
115.2,100.0,177.90289562113878,-117.46330958541012,410.18593666281424,-114.81973145626534,-114.81973145626563,-2.8421709430404007e-13,269.74960495930503,-84.9956573602629,-6.8510519779033645,0.6436245811559047
115.2,200.0,-323.7214780714094,-127.63865683043025,-54.791014332300165,-141.291806908679,-141.29180690867537,3.637978807091713e-12,169.94534763256482,-525.3211739468726,31.654348242898397,3.7650208576124555
364.3,1.0,-86.96232713299361,304.1238237003647,-762.2998257051663,371.21367487180805,371.21367487180964,1.5916157281026244e-12,354.291519075762,-558.7009626605991,117.4471164518435,1.497432727448711
364.3,10.0,-184.25451145674697,187.91792708991727,-797.5570183255425,425.3845797788782,425.38457977888015,1.9326762412674725e-12,538.0688934464823,-608.8833497803688,-113.44005512286049,0.8501068744809572
364.3,50.0,325.8526958655104,-295.4103083783482,-410.3507157718341,1031.6137200156927,1031.613720015692,-6.821210263296962e-13,711.9816987318289,-233.34672328139436,-152.7822795849242,1.8436781135854403
364.3,100.0,548.1279112797502,-190.3161090399467,-341.3387475486577,1079.7827678683545,1079.7827678683534,-1.1368683772161603e-12,808.9896657654106,-109.40030153890804,-151.46145294675236,1.4988669826248042
364.3,200.0,563.4434616098243,-200.39947766688147,-389.73174842386584,1153.5746877005718,1153.5746877005838,1.2050804798491299e-11,592.8676732596066,-92.32100765282138,62.89679600303918,0.9724045566157997
403.0,1.0,-106.87811834043274,297.9816553227416,-844.4696065892081,439.6098329260338,439.6098329260349,1.1368683772161603e-12,371.069081863227,-646.1980129698613,168.25081276620162,1.6829325348851967
