方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,时刻_s,顶部网络入流_W_m2,顶部已知入流差_W_m2,底部网络外流_W_m2,底部固定温边界差_K,界面SiC热流_W_m2,界面Cu热流_W_m2,界面热流差_W_m2,界面温跳_K,界面Rc温跳约束差_K,网络储热率_W_m2,已知入流热预算差_W_m2,已知入流热预算差_W
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,17900.109375,-2099.890625,2830.591552734375,-0.06024169921875,7153.28466796875,5051.9609375,2101.32373046875,0.600799560546875,-0.11452889442443848,327.63685607910156,-16841.771484375,-47.618988037109375
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,17971.55859375,-2028.44140625,2885.500732421875,-0.0587158203125,7194.3388671875,5129.81201171875,2064.52685546875,0.606536865234375,-0.11289697885513306,330.0176010131836,-16784.482421875,-47.45700454711914
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,18186.447265625,-1813.552734375,3053.80419921875,-0.054107666015625,7319.9892578125,5367.9287109375,1952.060546875,0.624114990234375,-0.10788393020629883,337.4409408569336,-16608.75390625,-46.96014404296875
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,18545.880859375,-1454.119140625,3346.3603515625,-0.04632568359375,7537.8916015625,5779.77001953125,1758.12158203125,0.6544189453125,-0.09937018156051636,349.99542236328125,-16303.64453125,-46.097469329833984
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,21318.65234375,1318.65234375,6221.98291015625,0.024658203125,9694.0703125,9633.9853515625,60.0849609375,0.941436767578125,-0.02797025442123413,453.25684356689453,-13324.759765625,-37.674869537353516
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,23433.412109375,3433.412109375,10641.9501953125,0.16033935546875,13383.890625,14538.9482421875,-1155.0576171875,1.381866455078125,0.043477416038513184,548.8223114013672,-8809.2275390625,-24.90750503540039
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,19796.91796875,-203.08203125,14883.6142578125,0.70147705078125,19504.671875,15574.99609375,3929.67578125,2.199310302734375,0.24884319305419922,442.08978271484375,-4674.2958984375,-13.216259956359863
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,20584.171875,584.171875,5177.41650390625,0.036285400390625,7619.6103515625,6319.4443359375,1300.166015625,0.42669677734375,-0.33526426553726196,388.27606201171875,-14434.3076171875,-40.812042236328125
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,20678.982421875,678.982421875,5231.74462890625,0.037567138671875,7672.58349609375,6376.36181640625,1296.2216796875,0.4346923828125,-0.33256596326828003,390.4811782836914,-14377.7744140625,-40.652198791503906
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,20962.013671875,962.013671875,5398.4013671875,0.04144287109375,7833.54052734375,6550.37158203125,1283.1689453125,0.458740234375,-0.3246138095855713,396.5272521972656,-14205.0712890625,-40.16389465332031
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,21428.0234375,1428.0234375,5688.37939453125,0.048126220703125,8108.56201171875,6851.140625,1257.42138671875,0.49957275390625,-0.3112834095954895,406.2552185058594,-13905.365234375,-39.31649398803711
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,24661.607421875,4661.607421875,8508.7978515625,0.11090087890625,10584.357421875,9668.1083984375,916.2490234375,0.847381591796875,-0.21105408668518066,461.04722595214844,-11030.1552734375,-31.187028884887695
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,26624.4609375,6624.4609375,12485.4501953125,0.2095947265625,13999.34375,13351.20703125,648.13671875,1.28558349609375,-0.11435079574584961,443.2237777709961,-7071.326171875,-19.993703842163086
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,23550.03515625,3550.03515625,14627.23046875,0.4951171875,19336.365234375,18699.044921875,637.3203125,1.872650146484375,-0.06098628044128418,292.75516510009766,-5080.0146484375,-14.3634033203125
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,18947.89453125,-1052.10546875,5294.73779296875,0.040283203125,5860.5380859375,4429.9072265625,1430.630859375,0.329620361328125,-0.2564334273338318,974.290901184082,-13730.970703125,-38.82340621948242
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,18960.001953125,-1039.998046875,5478.025390625,0.0462646484375,5943.2919921875,4656.25,1287.0419921875,0.348388671875,-0.24594050645828247,972.1849060058594,-13549.7890625,-38.311126708984375
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,18998.37890625,-1001.62109375,6012.40869140625,0.063140869140625,6203.1591796875,5319.37890625,883.7802734375,0.405853271484375,-0.21446263790130615,965.1527099609375,-13022.4384765625,-36.82007598876953
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,19070.994140625,-929.005859375,6852.9853515625,0.087982177734375,6673.0537109375,6370.8447265625,302.208984375,0.504547119140625,-0.1627582311630249,949.1813888549805,-12197.8330078125,-34.48855972290039
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,20198.802734375,198.802734375,11801.2998046875,0.17767333984375,11333.91796875,12532.9521484375,-1199.0341796875,1.279510498046875,0.14611876010894775,674.6382141113281,-7524.0625,-21.273786544799805
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,21757.578125,1757.578125,15206.2236328125,0.17535400390625,16309.8046875,15973.4296875,336.375,1.895416259765625,0.26443588733673096,319.7389144897461,-4474.037109375,-12.650041580200195
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,20489.375,489.375,15550.1201171875,0.268402099609375,20467.447265625,16907.65234375,3559.794921875,2.162139892578125,0.11539530754089355,48.279838562011726,-4401.599609375,-12.445229530334473
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,19169.640625,-830.359375,7130.6298828125,0.006591796875,7393.2431640625,7467.669921875,-74.4267578125,0.51715087890625,-0.22217339277267456,320.85218811035156,-12548.517578125,-35.480098724365234
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,19213.07421875,-786.92578125,7131.77734375,0.008270263671875,7434.0986328125,7481.720703125,-47.6220703125,0.523773193359375,-0.2196366786956787,322.2541809082031,-12545.96875,-35.47289276123047
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,19339.81640625,-660.18359375,7138.3037109375,0.013275146484375,7557.95947265625,7527.60693359375,30.3525390625,0.5438232421875,-0.21197271347045898,325.77164459228516,-12535.9248046875,-35.44449234008789
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,19538.705078125,-461.294921875,7159.66748046875,0.021575927734375,7768.8447265625,7616.53173828125,152.31298828125,0.57806396484375,-0.19882047176361084,332.3206100463867,-12508.01171875,-35.365570068359375
