方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,双材料厚度加权RMSE_K,SiC厚度加权RMSE_K,Cu厚度加权RMSE_K,非探针附近内部RMSE_K,非探针附近真实单元数,七时七深细网格差_K,仅七时七深差若近模型全域RMSE须限缩结论,七时刻名义余额均值绝对差_W,七时刻名义余额最坏绝对差_W,真CUDA完整单元网络前向_秒
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.9014533793563617,1.0710289559597659,0.28780742334427384,0.944770234309989,240,0.0390133151689156,false,37.704605783735005,47.618988037109375,0.10318256900063716
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.8437818123491341,1.0072280468832984,0.2277700230717919,0.8878284455636899,240,0.0390133151689156,false,32.35553795950754,40.812042236328125,0.047576648998074234
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.6611511083136793,0.7917919521740285,0.15159745985902837,0.6931227143302605,240,0.0390133151689156,false,27.83031804221017,38.82340621948242,0.04660413000965491
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.8881124904380159,1.0599210546791207,0.2418958147013113,0.9320001394578173,240,0.0390133151689156,false,32.43749754769461,35.480098724365234,0.046540604991605505
F1,4,,20000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.8084498120553433,0.9718783088688053,0.13703009538009325,0.850427528189934,240,0.0390133151689156,false,28.286588873182023,39.774383544921875,0.04653497599065304
F2,0,lf_same_physics_coarse,20000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.27526221416231517,0.3176658685667531,0.14461438751490951,0.28199542557512575,240,0.0390133151689156,false,30.3265380859375,47.53813552856445,0.08523505998891778
F3,0,lf_same_physics_coarse,20000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.31910177547080837,0.3799148983316146,0.0952795358253661,0.33237498857368225,240,0.0390133151689156,false,32.345377513340544,49.34022521972656,0.08476198799326085
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.5237495989192368,0.4216030832588978,0.6964192603049305,0.4980103421177079,240,0.0390133151689156,false,19.35492604119437,25.196937561035156,0.08545642398530617
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.7002881601621513,0.7970764654769167,0.4173707040512932,0.723539904709327,240,0.0390133151689156,false,27.97783306666783,31.401630401611328,0.08471663598902524
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.3278980418927092,0.36791055271808426,0.21627070798711334,0.33440674196805825,240,0.0390133151689156,false,1.9687504002026148,8.19182014465332,0.08570965498802252
