方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.4811753391119276
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",1.147415268783137
F1,0,,20000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.46650297421457526
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.456274453730175
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",1.0934388036236191
F1,1,,20000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.33972666270377233
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.370423743457506
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.6567575152885072
F1,2,,20000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.3247955040195689
F1,3,,20000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.4379933426036011
