HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
1,20000,1.0,42,0.06998254358768463,0.007482545915991068,1,
2,35000,1.0,42,0.19437338411808014,0.021475357934832573,2,
3,50000,1.0,42,0.379049688577652,0.043630752712488174,3,
4,65000,1.0,42,0.6224043369293213,0.07397224009037018,4,
5,80000,1.0,42,0.9296830892562866,0.11215010285377502,5,
6,20000,2.0,42,0.06511728465557098,0.005107359029352665,6,
7,35000,2.0,42,0.11794741451740265,0.017866794019937515,7,
8,50000,2.0,42,0.23476728796958923,0.039117299020290375,8,
9,65000,2.0,42,0.4307844340801239,0.06862533092498779,9,
10,80000,2.0,42,0.6933919787406921,0.10501088947057724,10,
11,20000,5.0,42,0.019593391567468643,0.004219506401568651,11,
12,35000,5.0,42,0.04659808799624443,0.014546692371368408,12,
13,50000,5.0,42,0.11211353540420532,0.03100109100341797,13,
14,65000,5.0,42,0.22376254200935364,0.05361735448241234,14,
15,80000,5.0,42,0.3910173773765564,0.08254151046276093,15,
16,20000,10.0,42,0.09799732267856598,0.0023780828341841698,16,
17,35000,10.0,42,0.07730115950107574,0.00768515607342124,17,
18,50000,10.0,42,0.07204325497150421,0.018345829099416733,18,
19,65000,10.0,42,0.11687648296356201,0.035260457545518875,19,
20,80000,10.0,42,0.22761890292167664,0.05859375,20,3.4382574558258057
21,20000,20.0,42,0.12961862981319427,0.0022757297847419977,21,
22,35000,20.0,42,0.0845223143696785,0.0035834515001624823,22,
23,50000,20.0,42,0.05682176351547241,0.00891659501940012,23,
24,65000,20.0,42,0.07708500325679779,0.019905414432287216,24,
25,80000,20.0,42,0.17440558969974518,0.0381556935608387,25,
26,20000,30.0,42,0.07961174100637436,0.003950885497033596,26,
27,35000,30.0,42,0.041914090514183044,0.0030156380962580442,27,
28,50000,30.0,42,0.030517151579260826,0.005615925882011652,28,
29,65000,30.0,42,0.07125212252140045,0.013404857367277145,29,
30,80000,30.0,42,0.17939230799674988,0.02812301367521286,30,
31,20000,50.0,42,0.031224563717842102,0.005264545790851116,31,
32,35000,50.0,42,0.02371031604707241,0.0036861116532236338,32,
33,50000,50.0,42,0.03710127994418144,0.005135208368301392,33,
34,65000,50.0,42,0.09207390993833542,0.01188048068434,34,
35,80000,50.0,42,0.2017315924167633,0.025833718478679657,35,
36,20000,75.0,42,0.017174875363707542,0.004479386378079653,36,
37,35000,75.0,42,0.024319006130099297,0.0035159362014383078,37,
38,50000,75.0,42,0.052767589688301086,0.005457842256873846,38,
39,65000,75.0,42,0.10056934505701065,0.01251492090523243,39,
40,80000,75.0,42,0.18931570649147034,0.026841742917895317,40,2.495399236679077
41,20000,100.0,42,0.018065091222524643,0.003270565066486597,41,
42,35000,100.0,42,0.01800709217786789,0.0032757932785898447,42,
43,50000,100.0,42,0.0383484810590744,0.006432730704545975,43,
44,65000,100.0,42,0.07616085559129715,0.01462302915751934,44,
45,80000,100.0,42,0.1417117416858673,0.02961151674389839,45,
46,20000,125.0,42,0.014569094404578209,0.002789286896586418,46,
47,35000,125.0,42,0.015684403479099274,0.0037798406556248665,47,
48,50000,125.0,42,0.029707912355661392,0.007688887417316437,48,
49,65000,125.0,42,0.05219960957765579,0.01607492007315159,49,
50,80000,125.0,42,0.10838602483272552,0.03064345195889473,50,
51,20000,150.0,42,0.01854325644671917,0.0028118460904806852,51,
52,35000,150.0,42,0.026664922013878822,0.00420541875064373,52,
53,50000,150.0,42,0.03943201154470444,0.007699772249907255,53,
54,65000,150.0,42,0.049146026372909546,0.014801522716879845,54,
55,80000,150.0,42,0.11369247734546661,0.027772847563028336,55,
56,20000,175.0,42,0.014019342139363289,0.0025535202585160732,56,
57,35000,175.0,42,0.019483156502246857,0.003568607149645686,57,
58,50000,175.0,42,0.04359566420316696,0.006235493812710047,58,
59,65000,175.0,42,0.05537234991788864,0.012058810330927372,59,
60,80000,175.0,42,0.12340027093887329,0.023594889789819717,60,2.2691891193389893
61,20000,200.0,42,0.018968842923641205,0.0024616566952317953,61,
62,35000,200.0,42,0.013873904012143612,0.0030653264839202166,62,
63,50000,200.0,42,0.03487379103899002,0.0051766447722911835,63,
64,65000,200.0,42,0.05256699398159981,0.010167893022298813,64,
65,80000,200.0,42,0.09261765331029892,0.020609712228178978,65,
66,20000,1.0,42,3.2359683513641357,0.0028306124731898308,66,
67,35000,1.0,42,3.6697001457214355,0.00317005324177444,67,
68,50000,1.0,42,2.8798468112945557,0.006129642482846975,68,
69,65000,1.0,42,1.5980496406555176,0.01356855221092701,69,
70,80000,1.0,42,0.6142110824584961,0.02684261091053486,70,
71,20000,2.0,42,0.13985230028629303,0.0018627179088070989,71,
72,35000,2.0,42,0.25580742955207825,0.004880295135080814,72,
73,50000,2.0,42,0.5769660472869873,0.010291250422596931,73,
74,65000,2.0,42,0.9182857275009155,0.01876935362815857,74,
75,80000,2.0,42,1.074700951576233,0.03333606943488121,75,
76,20000,5.0,42,0.030934272333979607,0.0011428537545725703,76,
77,35000,5.0,42,0.12708240747451782,0.004515677224844694,77,
78,50000,5.0,42,0.2443644404411316,0.012405711226165295,78,
79,65000,5.0,42,0.3648376762866974,0.026707718148827553,79,
80,80000,5.0,42,0.5063392519950867,0.04910040646791458,80,3.807385206222534
81,20000,10.0,42,0.07238153368234634,0.004429881926625967,81,
82,35000,10.0,42,0.11581779271364212,0.010920616798102856,82,
83,50000,10.0,42,0.20337460935115814,0.022526809945702553,83,
84,65000,10.0,42,0.33743444085121155,0.04033533111214638,84,
85,80000,10.0,42,0.5236228704452515,0.06509149074554443,85,
86,20000,20.0,42,0.12801045179367065,0.006188118364661932,86,
87,35000,20.0,42,0.1836051642894745,0.014256138354539871,87,
88,50000,20.0,42,0.27207151055336,0.027142977342009544,88,
89,65000,20.0,42,0.3996194303035736,0.04568125680088997,89,
90,80000,20.0,42,0.5729147791862488,0.07053316384553909,90,
91,20000,30.0,42,0.11775307357311249,0.005802991334348917,91,
92,35000,30.0,42,0.17328201234340668,0.01390030886977911,92,
93,50000,30.0,42,0.2528049647808075,0.026574214920401573,93,
94,65000,30.0,42,0.36518120765686035,0.044658854603767395,94,
95,80000,30.0,42,0.5196865200996399,0.06890145689249039,95,
96,20000,50.0,42,0.08015961199998856,0.004518412984907627,96,
97,35000,50.0,42,0.12239281833171844,0.011868893168866634,97,
98,50000,50.0,42,0.18526591360569,0.02360992133617401,98,
99,65000,50.0,42,0.27874791622161865,0.04066159576177597,99,
100,80000,50.0,42,0.412659227848053,0.06387822329998016,100,4.069058895111084
101,20000,75.0,42,0.04441453143954277,0.0031524847727268934,101,
102,35000,75.0,42,0.07643823325634003,0.009496551007032394,102,
103,50000,75.0,42,0.12896506488323212,0.020031241700053215,103,
104,65000,75.0,42,0.20939938724040985,0.03576686605811119,104,
105,80000,75.0,42,0.3253600299358368,0.057670027017593384,105,
106,20000,100.0,42,0.02695739082992077,0.002110788831487298,106,
107,35000,100.0,42,0.05798885226249695,0.00748252309858799,107,
108,50000,100.0,42,0.10582323372364044,0.016800522804260254,108,
109,65000,100.0,42,0.17280904948711395,0.031140850856900215,109,
110,80000,100.0,42,0.26585206389427185,0.05159660428762436,110,
111,20000,125.0,42,0.02141457423567772,0.0015108415391296148,111,
112,35000,125.0,42,0.04733587056398392,0.006055828649550676,112,
113,50000,125.0,42,0.08166611194610596,0.01426218543201685,113,
114,65000,125.0,42,0.1277538537979126,0.02726311981678009,114,
115,80000,125.0,42,0.19850631058216095,0.04629227891564369,115,
116,20000,150.0,42,0.014500235207378864,0.0012616573367267847,116,
117,35000,150.0,42,0.030362483114004135,0.005145377945154905,117,
118,50000,150.0,42,0.0522463358938694,0.01240143459290266,118,
119,65000,150.0,42,0.08791462332010269,0.024200014770030975,119,
120,80000,150.0,42,0.15373486280441284,0.04189129173755646,120,3.1377298831939697
121,20000,175.0,42,0.010768133215606213,0.0012462477898225188,121,
122,35000,175.0,42,0.023560862988233566,0.004629551898688078,122,
123,50000,175.0,42,0.04369817674160004,0.011089300736784935,123,
124,65000,175.0,42,0.07844184339046478,0.02179856225848198,124,
125,80000,175.0,42,0.14259129762649536,0.038209252059459686,125,
126,20000,200.0,42,0.012489710003137589,0.0013480926863849163,126,
127,35000,200.0,42,0.02707000821828842,0.004339070059359074,127,
128,50000,200.0,42,0.0479285791516304,0.010113736614584923,128,
129,65000,200.0,42,0.08009932935237885,0.019859004765748978,129,
130,80000,200.0,42,0.13838978111743927,0.03516276180744171,130,
131,20000,1.0,42,0.01032145693898201,0.0014465685235336423,131,
132,35000,1.0,42,0.023329665884375572,0.004138984251767397,132,
133,50000,1.0,42,0.04276063293218613,0.009403872303664684,133,
134,65000,1.0,42,0.07261471450328827,0.018459048122167587,134,
135,80000,1.0,42,0.12522907555103302,0.032980069518089294,135,
136,20000,2.0,42,0.010719066485762596,0.0014789458364248276,136,
137,35000,2.0,42,0.02232225611805916,0.004047379828989506,137,
138,50000,2.0,42,0.03609534725546837,0.009087231941521168,138,
139,65000,2.0,42,0.05415917932987213,0.017803797498345375,139,
140,80000,2.0,42,0.09027785062789917,0.03193429484963417,140,2.785322666168213
141,20000,5.0,42,0.01134105958044529,0.0014836108312010765,141,
142,35000,5.0,42,0.025133229792118073,0.004192768130451441,142,
143,50000,5.0,42,0.039402443915605545,0.009366297163069248,143,
144,65000,5.0,42,0.05301396921277046,0.018153898417949677,144,
145,80000,5.0,42,0.07982594519853592,0.03229640796780586,145,
146,20000,10.0,42,0.011877553537487984,0.0014487364096567035,146,
147,35000,10.0,42,0.027873655781149864,0.004352670628577471,147,
148,50000,10.0,42,0.042781006544828415,0.00972892064601183,148,
149,65000,10.0,42,0.05406195670366287,0.018711861222982407,149,
150,80000,10.0,42,0.07692498713731766,0.03303719311952591,150,
151,20000,20.0,42,0.009627889841794968,0.0013018850004300475,151,
152,35000,20.0,42,0.025118829682469368,0.004266874864697456,152,
153,50000,20.0,42,0.04020845144987106,0.009737738408148289,153,
154,65000,20.0,42,0.05227809399366379,0.018884873017668724,154,
155,80000,20.0,42,0.07620397955179214,0.033407531678676605,155,
156,20000,30.0,42,0.00787798035889864,0.001158852712251246,156,
157,35000,30.0,42,0.022020630538463593,0.004101046361029148,157,
158,50000,30.0,42,0.037642404437065125,0.009580384008586407,158,
159,65000,30.0,42,0.05159429460763931,0.018790142610669136,159,
160,80000,30.0,42,0.0769050121307373,0.03336971253156662,160,2.830414295196533
161,20000,50.0,42,0.008570977486670017,0.0010967656271532178,161,
162,35000,50.0,42,0.022639429196715355,0.003989510703831911,162,
163,50000,50.0,42,0.039292510598897934,0.009412562474608421,163,
164,65000,50.0,42,0.0530756413936615,0.018568113446235657,164,
165,80000,50.0,42,0.07477869093418121,0.033058278262615204,165,
166,20000,75.0,42,0.00869933795183897,0.001082843285985291,166,
167,35000,75.0,42,0.021275555714964867,0.003924281802028418,167,
168,50000,75.0,42,0.03793768584728241,0.009275665506720543,168,
169,65000,75.0,42,0.05179614573717117,0.01834900863468647,169,
170,80000,75.0,42,0.07193437218666077,0.032726749777793884,170,
171,20000,100.0,42,0.007151186000555754,0.001094345934689045,171,
172,35000,100.0,42,0.016522197052836418,0.003906991798430681,172,
173,50000,100.0,42,0.0325082503259182,0.00921639148145914,173,
174,65000,100.0,42,0.04853348061442375,0.018236180767416954,174,
175,80000,100.0,42,0.07239887118339539,0.03251686692237854,175,
176,20000,125.0,42,0.006547745782881975,0.0011293188435956836,176,
177,35000,125.0,42,0.01297470647841692,0.003927997313439846,177,
178,50000,125.0,42,0.027916496619582176,0.00919758714735508,178,
179,65000,125.0,42,0.04650598019361496,0.018134830519557,179,
180,80000,125.0,42,0.0763264000415802,0.03224584087729454,180,2.785198211669922
181,20000,150.0,42,0.00789705291390419,0.0011579579440876842,181,
182,35000,150.0,42,0.012481185607612133,0.003912970423698425,182,
183,50000,150.0,42,0.02620268054306507,0.009077372029423714,183,
184,65000,150.0,42,0.04692944884300232,0.017816763371229172,184,
185,80000,150.0,42,0.08296957612037659,0.031599435955286026,185,
186,20000,175.0,42,0.009660660289227962,0.0011321569327265024,186,
187,35000,175.0,42,0.013933785259723663,0.0037794390227645636,187,
188,50000,175.0,42,0.0273553729057312,0.008739999495446682,188,
189,65000,175.0,42,0.05007639899849892,0.01714036986231804,189,
190,80000,175.0,42,0.09095344692468643,0.03043106384575367,190,
191,20000,200.0,42,0.01025873702019453,0.001038766116835177,191,
192,35000,200.0,42,0.015485124662518501,0.0035234384704381227,192,
193,50000,200.0,42,0.029515421018004417,0.00820615142583847,193,
194,65000,200.0,42,0.05341798812150955,0.016171498224139214,194,
195,80000,200.0,42,0.096281997859478,0.0288810133934021,195,
196,20000,1.0,42,0.01518082246184349,0.0009167768293991685,196,
197,35000,1.0,42,0.03209429979324341,0.003231880720704794,197,
198,50000,1.0,42,0.05694623291492462,0.007639613468199968,198,
199,65000,1.0,42,0.08625437319278717,0.015205501578748226,199,
200,80000,1.0,42,0.12770678102970123,0.027483250945806503,200,2.5322611331939697
201,20000,2.0,42,0.010450311936438084,0.0008690685499459505,201,
202,35000,2.0,42,0.017696190625429153,0.0030396219808608294,202,
203,50000,2.0,42,0.028559885919094086,0.007219812832772732,203,
204,65000,2.0,42,0.04563601315021515,0.014537788927555084,204,
205,80000,2.0,42,0.08176707476377487,0.02657974883913994,205,
206,20000,5.0,42,0.006435349117964506,0.0008647618815302849,206,
207,35000,5.0,42,0.011802361346781254,0.002873091259971261,207,
208,50000,5.0,42,0.02393771894276142,0.006793754640966654,208,
209,65000,5.0,42,0.042032063007354736,0.013769609853625298,209,
210,80000,5.0,42,0.0733722448348999,0.02537941373884678,210,
211,20000,10.0,42,0.0057164570316672325,0.0008280100300908089,211,
212,35000,10.0,42,0.014995700679719448,0.0026827093679457903,212,
213,50000,10.0,42,0.030355235561728477,0.0063515654765069485,213,
214,65000,10.0,42,0.04426068067550659,0.012968512251973152,214,
215,80000,10.0,42,0.06196494400501251,0.02415272779762745,215,
216,20000,20.0,42,0.004774006083607674,0.0007890163105912507,216,
217,35000,20.0,42,0.017660345882177353,0.0025743884034454823,217,
218,50000,20.0,42,0.0356905497610569,0.0061371768824756145,218,
219,65000,20.0,42,0.046703774482011795,0.012636136263608932,219,
220,80000,20.0,42,0.056199632585048676,0.023779576644301414,220,2.35302996635437
221,20000,30.0,42,0.00412810267880559,0.000827845826279372,221,
222,35000,30.0,42,0.017350075766444206,0.0026677818968892097,222,
223,50000,30.0,42,0.03511345386505127,0.006347846705466509,223,
224,65000,30.0,42,0.0451863557100296,0.013112609274685383,224,
225,80000,30.0,42,0.05502106621861458,0.02472359500825405,225,
226,20000,50.0,42,0.003939265850931406,0.000993753899820149,226,
227,35000,50.0,42,0.014253591187298298,0.003021135227754712,227,
228,50000,50.0,42,0.029850874096155167,0.007019507233053446,228,
229,65000,50.0,42,0.04063301533460617,0.014303998090326786,229,
230,80000,50.0,42,0.05470920726656914,0.02658931165933609,230,
231,20000,75.0,42,0.005282768979668617,0.0012464076280593872,231,
232,35000,75.0,42,0.01174033060669899,0.003538078162819147,232,
233,50000,75.0,42,0.025390105322003365,0.00790957361459732,233,
234,65000,75.0,42,0.03824879229068756,0.015681341290473938,234,
235,80000,75.0,42,0.057007476687431335,0.028468716889619827,235,
236,20000,100.0,42,0.007476781029254198,0.0014549006009474397,236,
237,35000,100.0,42,0.010642772540450096,0.003973637241870165,237,
238,50000,100.0,42,0.0220760777592659,0.008626993745565414,238,
239,65000,100.0,42,0.03581218793988228,0.016696196049451828,239,
240,80000,100.0,42,0.05763276666402817,0.029696235433220863,240,2.7220349311828613
241,20000,125.0,42,0.008690103888511658,0.0015391537453979254,241,
242,35000,125.0,42,0.009780743159353733,0.00419611344113946,242,
243,50000,125.0,42,0.01975693553686142,0.008998485282063484,243,
244,65000,125.0,42,0.0345674529671669,0.017148898914456367,244,
245,80000,125.0,42,0.059668347239494324,0.030063144862651825,245,
246,20000,150.0,42,0.009174702689051628,0.0014975601807236671,246,
247,35000,150.0,42,0.01007465273141861,0.004186056088656187,247,
248,50000,150.0,42,0.019736813381314278,0.008971714414656162,248,
249,65000,150.0,42,0.035624582320451736,0.01695414073765278,249,
250,80000,150.0,42,0.06361588835716248,0.02947731502354145,250,
251,20000,175.0,42,0.009033006615936756,0.0013557213824242353,251,
252,35000,175.0,42,0.01073724776506424,0.003961485810577869,252,
253,50000,175.0,42,0.020419713109731674,0.00856028962880373,253,
254,65000,175.0,42,0.03704185038805008,0.016153667122125626,254,
255,80000,175.0,42,0.06750735640525818,0.028056787326931953,255,
256,20000,200.0,42,0.00816015712916851,0.00115953478962183,256,
257,35000,200.0,42,0.011168377473950386,0.0036092237569391727,257,
258,50000,200.0,42,0.021387169137597084,0.007921811193227768,258,
259,65000,200.0,42,0.038643673062324524,0.015008925460278988,259,
260,80000,200.0,42,0.07057909667491913,0.02618875354528427,260,2.5022971630096436
261,20000,1.0,42,0.011202513240277767,0.0009729275479912758,261,
262,35000,1.0,42,0.02949100360274315,0.003259042277932167,262,
263,50000,1.0,42,0.05432216823101044,0.00724360765889287,263,
264,65000,1.0,42,0.07590056955814362,0.01372276060283184,264,
265,80000,1.0,42,0.09955428540706635,0.02409365028142929,265,
266,20000,2.0,42,0.006690391339361668,0.0008702665218152106,266,
267,35000,2.0,42,0.013390330597758293,0.0028014928102493286,267,
268,50000,2.0,42,0.02228923700749874,0.0062401797622442245,268,
269,65000,2.0,42,0.03492050617933273,0.012208323925733566,269,
270,80000,2.0,42,0.0645294114947319,0.022281641140580177,270,
271,20000,5.0,42,0.005253237672150135,0.0009244698449037969,271,
272,35000,5.0,42,0.012010172940790653,0.0026274872943758965,272,
273,50000,5.0,42,0.02533462643623352,0.005784996785223484,273,
274,65000,5.0,42,0.04228862375020981,0.011460990644991398,274,
275,80000,5.0,42,0.06830721348524094,0.02120785601437092,275,
276,20000,10.0,42,0.005527089349925518,0.0009882707381621003,276,
277,35000,10.0,42,0.014009813778102398,0.0025782661978155375,277,
