HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
1,20000,1.0,42,0.06847403943538666,0.0008124671876430511,1,
2,35000,1.0,42,0.20270027220249176,0.002553021302446723,2,
3,50000,1.0,42,0.4003142714500427,0.005270254332572222,3,
4,65000,1.0,42,0.6561551690101624,0.0089421970769763,4,
5,80000,1.0,42,0.9425711035728455,0.013924852944910526,5,
6,20000,2.0,42,0.26791736483573914,0.002898923121392727,6,
7,35000,2.0,42,0.21186475455760956,0.005100015550851822,7,
8,50000,2.0,42,0.20144671201705933,0.007812109775841236,8,
9,65000,2.0,42,0.3119717836380005,0.011213483288884163,9,
10,80000,2.0,42,0.5529145002365112,0.01614329032599926,10,
11,20000,5.0,42,0.2730678915977478,0.0035332906991243362,11,
12,35000,5.0,42,0.18895182013511658,0.0058384789153933525,12,
13,50000,5.0,42,0.16566883027553558,0.008675774559378624,13,
14,65000,5.0,42,0.26435959339141846,0.012208127416670322,14,
15,80000,5.0,42,0.4896678626537323,0.017430657520890236,15,
16,20000,10.0,42,0.07801306247711182,0.00344742089509964,16,
17,35000,10.0,42,0.07280902564525604,0.006145574618130922,17,
18,50000,10.0,42,0.12004587799310684,0.00951313879340887,18,
19,65000,10.0,42,0.24378427863121033,0.0135788694024086,19,
20,80000,10.0,42,0.435720831155777,0.019419018179178238,20,2.6227610111236572
21,20000,20.0,42,0.02116900496184826,0.0038079170044511557,21,
22,35000,20.0,42,0.04872000217437744,0.007207317277789116,22,
23,50000,20.0,42,0.10029453039169312,0.011407393030822277,23,
24,65000,20.0,42,0.18661856651306152,0.016203181818127632,24,
25,80000,20.0,42,0.3130616247653961,0.022746341302990913,25,
26,20000,30.0,42,0.015771206468343735,0.004356798715889454,26,
27,35000,30.0,42,0.04755779728293419,0.008607498370110989,27,
28,50000,30.0,42,0.09377571195363998,0.01364251971244812,28,
29,65000,30.0,42,0.15016160905361176,0.018844055011868477,29,
30,80000,30.0,42,0.23682203888893127,0.025340134277939796,30,
31,20000,50.0,42,0.015523144975304604,0.004205756820738316,31,
32,35000,50.0,42,0.038262270390987396,0.008489951491355896,32,
33,50000,50.0,42,0.07692689448595047,0.013334731571376324,33,
34,65000,50.0,42,0.12773707509040833,0.01808086410164833,34,
35,80000,50.0,42,0.21135127544403076,0.023960232734680176,35,
36,20000,75.0,42,0.03311644494533539,0.003425370901823044,36,
37,35000,75.0,42,0.037616319954395294,0.007259516045451164,37,
38,50000,75.0,42,0.06549951434135437,0.011740120127797127,38,
39,65000,75.0,42,0.11287105083465576,0.01626897230744362,39,
40,80000,75.0,42,0.18573027849197388,0.0220197644084692,40,2.6716182231903076
41,20000,100.0,42,0.021792277693748474,0.002971358597278595,41,
42,35000,100.0,42,0.02820190042257309,0.006637544836848974,42,
43,50000,100.0,42,0.06265415996313095,0.010882288217544556,43,
44,65000,100.0,42,0.09636155515909195,0.014883206225931644,44,
45,80000,100.0,42,0.15087127685546875,0.019730959087610245,45,
46,20000,125.0,42,0.012491164728999138,0.0023572430945932865,46,
47,35000,125.0,42,0.021756861358880997,0.0052032372914254665,47,
48,50000,125.0,42,0.04194957762956619,0.00838438794016838,48,
49,65000,125.0,42,0.07596288621425629,0.011625576764345169,49,
50,80000,125.0,42,0.14096307754516602,0.016229527071118355,50,
51,20000,150.0,42,0.007154042832553387,0.00179761101026088,51,
52,35000,150.0,42,0.02306438237428665,0.004387430381029844,52,
53,50000,150.0,42,0.04755191504955292,0.0075396280735731125,53,
54,65000,150.0,42,0.05729253590106964,0.010723205283284187,54,
55,80000,150.0,42,0.1033272072672844,0.015005595982074738,55,
56,20000,175.0,42,0.005456825252622366,0.0013648475287482142,56,
57,35000,175.0,42,0.014035390689969063,0.0035210088826715946,57,
58,50000,175.0,42,0.02625557780265808,0.006281602196395397,58,
59,65000,175.0,42,0.04619067534804344,0.009404685348272324,59,
60,80000,175.0,42,0.09443081170320511,0.014059534296393394,60,2.0707497596740723
61,20000,200.0,42,0.004352255258709192,0.00114768638741225,61,
62,35000,200.0,42,0.021027473732829094,0.003556628478690982,62,
63,50000,200.0,42,0.047629907727241516,0.006931627169251442,63,
64,65000,200.0,42,0.041299156844615936,0.010365325957536697,64,
65,80000,200.0,42,0.07060286402702332,0.014786513522267342,65,
66,20000,1.0,42,0.10654683411121368,0.0009828857146203518,66,
67,35000,1.0,42,0.35670915246009827,0.0028419059235602617,67,
68,50000,1.0,42,0.4198838174343109,0.00507907010614872,68,
69,65000,1.0,42,0.23111633956432343,0.0074788969941437244,69,
70,80000,1.0,42,0.0941094383597374,0.01082434318959713,70,
71,20000,2.0,42,0.2768374979496002,0.00197593797929585,71,
72,35000,2.0,42,0.3129684031009674,0.0031148081179708242,72,
73,50000,2.0,42,0.3850095272064209,0.004977706354111433,73,
74,65000,2.0,42,0.44554510712623596,0.007422483526170254,74,
75,80000,2.0,42,0.4314920902252197,0.010875415056943893,75,
76,20000,5.0,42,0.20238640904426575,0.0012705681147053838,76,
77,35000,5.0,42,0.12044045329093933,0.0024318064097315073,77,
78,50000,5.0,42,0.061412688344717026,0.004981029778718948,78,
79,65000,5.0,42,0.05107773095369339,0.008981587365269661,79,
80,80000,5.0,42,0.08129145205020905,0.015002050437033176,80,2.141842842102051
81,20000,10.0,42,0.01801743544638157,0.001022671116515994,81,
82,35000,10.0,42,0.024150053039193153,0.0037000991869717836,82,
83,50000,10.0,42,0.10032416135072708,0.007951118052005768,83,
84,65000,10.0,42,0.16350042819976807,0.012970533221960068,84,
85,80000,10.0,42,0.1782931238412857,0.019032595679163933,85,
86,20000,20.0,42,0.007822914980351925,0.0014482202241197228,86,
87,35000,20.0,42,0.03590674325823784,0.004345162305980921,87,
88,50000,20.0,42,0.06035082787275314,0.00801091082394123,88,
89,65000,20.0,42,0.0665825828909874,0.011944531463086605,89,
90,80000,20.0,42,0.09842197597026825,0.016939129680395126,90,
91,20000,30.0,42,0.009818806312978268,0.001356409746222198,91,
92,35000,30.0,42,0.0182193536311388,0.0037604225799441338,92,
93,50000,30.0,42,0.03583276644349098,0.006842396222054958,93,
94,65000,30.0,42,0.07664866745471954,0.010367379523813725,94,
95,80000,30.0,42,0.1551099419593811,0.015092749148607254,95,
96,20000,50.0,42,0.013277851976454258,0.0012554506538435817,96,
97,35000,50.0,42,0.021900078281760216,0.003445564303547144,97,
98,50000,50.0,42,0.03995189070701599,0.006363311782479286,98,
99,65000,50.0,42,0.07661758363246918,0.009818557649850845,99,
100,80000,50.0,42,0.13555748760700226,0.014496967196464539,100,2.074727773666382
101,20000,75.0,42,0.008058133535087109,0.0012422532308846712,101,
102,35000,75.0,42,0.014359747059643269,0.003443941241130233,102,
103,50000,75.0,42,0.02670915424823761,0.006415438838303089,103,
104,65000,75.0,42,0.046540796756744385,0.009921141900122166,104,
105,80000,75.0,42,0.08263406157493591,0.014598514884710312,105,
106,20000,100.0,42,0.006502428557723761,0.001267463550902903,106,
107,35000,100.0,42,0.01837432011961937,0.0035403186921030283,107,
108,50000,100.0,42,0.03233054652810097,0.006556025706231594,108,
109,65000,100.0,42,0.04229287430644035,0.01001367811113596,109,
110,80000,100.0,42,0.06800902634859085,0.01452080998569727,110,
111,20000,125.0,42,0.005830975715070963,0.0012019790010526776,111,
112,35000,125.0,42,0.013716017827391624,0.0034073868300765753,112,
113,50000,125.0,42,0.021750401705503464,0.006329712457954884,113,
114,65000,125.0,42,0.0366097167134285,0.009692325256764889,114,
115,80000,125.0,42,0.07843998074531555,0.014113335870206356,115,
116,20000,150.0,42,0.004671376198530197,0.0011013608891516924,116,
117,35000,150.0,42,0.00968922208994627,0.0033108361531049013,117,
118,50000,150.0,42,0.018414603546261787,0.006359328981488943,118,
119,65000,150.0,42,0.034184180200099945,0.009922723285853863,119,
120,80000,150.0,42,0.06691419333219528,0.014613345265388489,120,2.1054983139038086
121,20000,175.0,42,0.0047311848029494286,0.0011107891332358122,121,
122,35000,175.0,42,0.012053944170475006,0.0035428430419415236,122,
123,50000,175.0,42,0.02487863413989544,0.006953660398721695,123,
124,65000,175.0,42,0.03269083425402641,0.010838107205927372,124,
125,80000,175.0,42,0.05049318075180054,0.015747960656881332,125,
126,20000,200.0,42,0.0053182197734713554,0.0011285709915682673,126,
127,35000,200.0,42,0.01193506084382534,0.003680781926959753,127,
128,50000,200.0,42,0.022137043997645378,0.007202044129371643,128,
129,65000,200.0,42,0.031298521906137466,0.011129166930913925,129,
130,80000,200.0,42,0.05906292796134949,0.016094950959086418,130,
131,20000,1.0,42,0.04778739809989929,0.001108880969695747,131,
132,35000,1.0,42,0.21113696694374084,0.003685586154460907,132,
133,50000,1.0,42,0.35983410477638245,0.007141451351344585,133,
134,65000,1.0,42,0.32901039719581604,0.010730250738561153,134,
135,80000,1.0,42,0.1782345175743103,0.01493928674608469,135,
136,20000,2.0,42,0.01613841950893402,0.0008252651896327734,136,
137,35000,2.0,42,0.017996598035097122,0.0024825686123222113,137,
138,50000,2.0,42,0.042927972972393036,0.004923931788653135,138,
139,65000,2.0,42,0.11003822088241577,0.007984764873981476,139,
140,80000,2.0,42,0.22346796095371246,0.012173722498118877,140,1.828519582748413
141,20000,5.0,42,0.06726022809743881,0.0008726879605092108,141,
142,35000,5.0,42,0.08750591427087784,0.0022534227464348078,142,
143,50000,5.0,42,0.1250717043876648,0.00454982602968812,143,
144,65000,5.0,42,0.1859719604253769,0.007660232950001955,144,
145,80000,5.0,42,0.25057971477508545,0.012022777460515499,145,
146,20000,10.0,42,0.056748829782009125,0.000855478981975466,146,
147,35000,10.0,42,0.05164552479982376,0.0022780171129852533,147,
148,50000,10.0,42,0.04845277592539787,0.00476804468780756,148,
149,65000,10.0,42,0.05676592141389847,0.00820148829370737,149,
150,80000,10.0,42,0.07539643347263336,0.013002438470721245,150,
151,20000,20.0,42,0.01918528601527214,0.0008006381685845554,151,
152,35000,20.0,42,0.012471129186451435,0.0025184715632349253,152,
153,50000,20.0,42,0.03833438456058502,0.005451978649944067,153,
154,65000,20.0,42,0.07263783365488052,0.009271683171391487,154,
155,80000,20.0,42,0.09438711404800415,0.014254124835133553,155,
156,20000,30.0,42,0.006229135673493147,0.0008164862520061433,156,
157,35000,30.0,42,0.026387088000774384,0.0027049642521888018,157,
158,50000,30.0,42,0.05928830802440643,0.00561184249818325,158,
159,65000,30.0,42,0.06880316138267517,0.009148468263447285,159,
160,80000,30.0,42,0.06763079762458801,0.013663604855537415,160,1.9324802160263062
161,20000,50.0,42,0.0063256314024329185,0.0007906456012278795,161,
162,35000,50.0,42,0.011662876233458519,0.0024994718842208385,162,
163,50000,50.0,42,0.021541936323046684,0.005089160520583391,163,
164,65000,50.0,42,0.03794800117611885,0.008328642696142197,164,
165,80000,50.0,42,0.07810410112142563,0.012622237205505371,165,
166,20000,75.0,42,0.011166775599122047,0.0007613871130160987,166,
167,35000,75.0,42,0.015078617259860039,0.0023750928230583668,167,
168,50000,75.0,42,0.0279989056289196,0.004903836641460657,168,
169,65000,75.0,42,0.0558476597070694,0.008171417750418186,169,
170,80000,75.0,42,0.09906410425901413,0.012596448883414268,170,
171,20000,100.0,42,0.009576884098351002,0.0007781941676512361,171,
172,35000,100.0,42,0.011197954416275024,0.0025223877746611834,172,
173,50000,100.0,42,0.019019579514861107,0.005283047910779715,173,
174,65000,100.0,42,0.03306937962770462,0.00884623359888792,174,
175,80000,100.0,42,0.05550212785601616,0.013673833571374416,175,
176,20000,125.0,42,0.004424273036420345,0.0008732791757211089,176,
177,35000,125.0,42,0.011252029798924923,0.0029168177861720324,177,
178,50000,125.0,42,0.026399869471788406,0.006038059946149588,178,
179,65000,125.0,42,0.036283742636442184,0.00988901685923338,179,
180,80000,125.0,42,0.04742180556058884,0.014909382909536362,180,2.0724892616271973
181,20000,150.0,42,0.0040296632796525955,0.0009571167756803334,181,
182,35000,150.0,42,0.01062023639678955,0.0031399165745824575,182,
183,50000,150.0,42,0.019648365676403046,0.006327629089355469,183,
184,65000,150.0,42,0.02812092751264572,0.010152648203074932,184,
185,80000,150.0,42,0.052480291575193405,0.015148069709539413,185,
186,20000,175.0,42,0.0055084372870624065,0.0009717429056763649,186,
187,35000,175.0,42,0.008485188707709312,0.0032391799613833427,187,
188,50000,175.0,42,0.016539964824914932,0.006609732285141945,188,
189,65000,175.0,42,0.030447334051132202,0.010715635493397713,189,
190,80000,175.0,42,0.05641109496355057,0.01613781228661537,190,
191,20000,200.0,42,0.006009477190673351,0.001072932849638164,191,
192,35000,200.0,42,0.009720798581838608,0.0036720754578709602,192,
193,50000,200.0,42,0.021518129855394363,0.007559242658317089,193,
194,65000,200.0,42,0.03224140405654907,0.012186157517135143,194,
195,80000,200.0,42,0.04760288819670677,0.0180087611079216,195,
196,20000,1.0,42,0.027518386021256447,0.0012114051496610045,196,
197,35000,1.0,42,0.08592836558818817,0.003973479848355055,197,
198,50000,1.0,42,0.1338779628276825,0.007802166044712067,198,
199,65000,1.0,42,0.1231648176908493,0.011998660862445831,199,
200,80000,1.0,42,0.08336400985717773,0.01694061979651451,200,2.115809917449951
201,20000,2.0,42,0.004488783422857523,0.0009115235880017281,201,
202,35000,2.0,42,0.011140893213450909,0.0028727480676025152,202,
203,50000,2.0,42,0.020437072962522507,0.005643247626721859,203,
204,65000,2.0,42,0.04519176110625267,0.008978097699582577,204,
205,80000,2.0,42,0.10300510376691818,0.013434206135571003,205,
206,20000,5.0,42,0.016123123466968536,0.000777094392105937,206,
207,35000,5.0,42,0.023098140954971313,0.0023369346745312214,207,
208,50000,5.0,42,0.03947213292121887,0.004805691074579954,208,
209,65000,5.0,42,0.07093507051467896,0.00804667454212904,209,
210,80000,5.0,42,0.1140599176287651,0.012528717517852783,210,
211,20000,10.0,42,0.016508106142282486,0.0007533309399150312,211,
212,35000,10.0,42,0.015234880149364471,0.00228211865760386,212,
213,50000,10.0,42,0.02089066058397293,0.0048326971009373665,213,
214,65000,10.0,42,0.03348427638411522,0.00825228076428175,214,
215,80000,10.0,42,0.051777470856904984,0.012936986982822418,215,
216,20000,20.0,42,0.007296395488083363,0.0007392184343189001,216,
217,35000,20.0,42,0.011586084961891174,0.002399958437308669,217,
218,50000,20.0,42,0.03360769897699356,0.005129317287355661,218,
219,65000,20.0,42,0.05296466127038002,0.008672966621816158,219,
220,80000,20.0,42,0.06172771751880646,0.013347018510103226,220,1.9128135442733765
221,20000,30.0,42,0.004949037916958332,0.0007385143544524908,221,
222,35000,30.0,42,0.013329687528312206,0.0024242193903774023,222,
223,50000,30.0,42,0.030384160578250885,0.005081024952232838,223,
224,65000,30.0,42,0.03941897302865982,0.008460190147161484,224,
225,80000,30.0,42,0.048861484974622726,0.01292045321315527,225,
226,20000,50.0,42,0.00737850833684206,0.0007269399357028306,226,
227,35000,50.0,42,0.009414413012564182,0.0023372548166662455,227,
228,50000,50.0,42,0.01885002851486206,0.004876974504441023,228,
229,65000,50.0,42,0.032979682087898254,0.008163639344274998,229,
230,80000,50.0,42,0.05850047245621681,0.012591191567480564,230,
231,20000,75.0,42,0.011061310768127441,0.0007273543160408735,231,
232,35000,75.0,42,0.011360988020896912,0.002350124530494213,232,
233,50000,75.0,42,0.01911778561770916,0.004940388724207878,233,
234,65000,75.0,42,0.03328772634267807,0.008335060440003872,234,
235,80000,75.0,42,0.05523145943880081,0.012958490289747715,235,
236,20000,100.0,42,0.00826633907854557,0.0007628576131537557,236,
237,35000,100.0,42,0.008567551150918007,0.00254087895154953,237,
238,50000,100.0,42,0.01742425747215748,0.005357347894459963,238,
239,65000,100.0,42,0.029094956815242767,0.009009203873574734,239,
240,80000,100.0,42,0.04421895742416382,0.013935435563325882,240,1.9943383932113647
241,20000,125.0,42,0.004559413529932499,0.0008484793943352997,241,
242,35000,125.0,42,0.008510302752256393,0.0028411163948476315,242,
243,50000,125.0,42,0.019880525767803192,0.005892396904528141,243,
244,65000,125.0,42,0.02942715212702751,0.009733072482049465,244,
245,80000,125.0,42,0.04250776767730713,0.014816965907812119,245,
246,20000,150.0,42,0.004308818373829126,0.0009366175509057939,246,
247,35000,150.0,42,0.007775068283081055,0.003081992967054248,247,
248,50000,150.0,42,0.01615716889500618,0.006288096308708191,248,
249,65000,150.0,42,0.026941541582345963,0.010271445848047733,249,
250,80000,150.0,42,0.04732725769281387,0.015555365011096,250,
