LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
1,20000,512,0.007525648921728134
2,35000,512,0.021647825837135315
3,50000,512,0.03763583302497864
4,65000,512,0.06312878429889679
5,80000,512,0.09987100213766098
6,20000,512,0.00048734736628830433
7,35000,512,0.0024518684949725866
8,50000,512,0.009193763136863708
9,65000,512,0.019321391358971596
10,80000,512,0.034192778170108795
11,20000,512,0.015663135796785355
12,35000,512,0.01080708671361208
13,50000,512,0.005142820067703724
14,65000,512,0.0037163272500038147
15,80000,512,0.012168115004897118
16,20000,512,0.023883841931819916
17,35000,512,0.014455137774348259
18,50000,512,0.005682418588548899
19,65000,512,0.003187366295605898
20,80000,512,0.010036371648311615
21,20000,512,0.00965371634811163
22,35000,512,0.004427165724337101
23,50000,512,0.0020224880427122116
24,65000,512,0.004921995103359222
25,80000,512,0.016149211674928665
26,20000,512,0.0016528579872101545
27,35000,512,0.0007251024362631142
28,50000,512,0.001447681919671595
29,65000,512,0.0050749341025948524
30,80000,512,0.011984407901763916
31,20000,512,0.0004795985296368599
32,35000,512,0.0007226706948131323
33,50000,512,0.0014087525196373463
34,65000,512,0.003193266224116087
35,80000,512,0.005679132416844368
36,20000,512,0.0004230658814776689
37,35000,512,0.0009671620791777968
38,50000,512,0.002230006270110607
39,65000,512,0.003493755590170622
40,80000,512,0.004402162041515112
41,20000,512,0.00020201268489472568
42,35000,512,0.0006855669198557734
43,50000,512,0.0015967846848070621
44,65000,512,0.002170718740671873
45,80000,512,0.0026568160392344
46,20000,512,0.00039109087083488703
47,35000,512,0.0006566572701558471
48,50000,512,0.0009572126436978579
49,65000,512,0.0019303003791719675
50,80000,512,0.0027165417559444904
51,20000,512,0.001139255822636187
52,35000,512,0.0005224755732342601
53,50000,512,0.0008574737585149705
54,65000,512,0.0012019749265164137
55,80000,512,0.0017116020899266005
56,20000,512,0.0008230929961428046
57,35000,512,0.0004190853505861014
58,50000,512,0.0007636623922735453
59,65000,512,0.001459103194065392
60,80000,512,0.001841968041844666
61,20000,512,0.00035951571771875024
62,35000,512,0.000260962697211653
63,50000,512,0.0007546672713942826
64,65000,512,0.0018870173953473568
65,80000,512,0.0017264096532016993
66,20000,512,0.00026107014855369925
67,35000,512,0.00038253283128142357
68,50000,512,0.0006837694672867656
69,65000,512,0.001250733737833798
70,80000,512,0.0021428698673844337
71,20000,512,0.0002026058209594339
72,35000,512,0.0006180419586598873
73,50000,512,0.0008724927320145071
74,65000,512,0.0014360351487994194
75,80000,512,0.0014809980057179928
76,20000,512,0.00015479317517019808
77,35000,512,0.00035688019124791026
78,50000,512,0.0007409484824165702
79,65000,512,0.0014951602788642049
80,80000,512,0.0016678367974236608
81,20000,512,0.00020932548795826733
82,35000,512,0.0003267076099291444
83,50000,512,0.0008439177181571722
84,65000,512,0.001590892905369401
85,80000,512,0.0024003186263144016
86,20000,512,0.0001442457432858646
87,35000,512,0.0003573035937733948
88,50000,512,0.0009249552967958152
89,65000,512,0.0011871128808706999
90,80000,512,0.001606724108569324
91,20000,512,0.00018288761202711612
92,35000,512,0.0004359777376521379
93,50000,512,0.000487209705170244
94,65000,512,0.0012000305578112602
95,80000,512,0.0022011888213455677
96,20000,512,0.00016785958723630756
97,35000,512,0.00038845796370878816
98,50000,512,0.0005717997555620968
99,65000,512,0.002284304704517126
100,80000,512,0.0023756870068609715
101,20000,512,0.0002781079092528671
102,35000,512,0.0004240786365699023
103,50000,512,0.0007997938664630055
104,65000,512,0.00124633451923728
105,80000,512,0.0013163118856027722
106,20000,512,0.00020795752061530948
107,35000,512,0.00035195081727579236
108,50000,512,0.0005403218092396855
109,65000,512,0.0013881931081414223
110,80000,512,0.0012606257805600762
111,20000,512,0.0001672641810728237
112,35000,512,0.00035119816311635077
113,50000,512,0.0003029963409062475
114,65000,512,0.0014632397796958685
115,80000,512,0.0017311342526227236
116,20000,512,0.00020445938571356237
117,35000,512,0.00031271210173144937
118,50000,512,0.0005166434566490352
119,65000,512,0.0011312877759337425
120,80000,512,0.0014119814150035381
121,20000,512,0.0001355708227492869
122,35000,512,0.00010196560469921678
123,50000,512,0.00044714281102642417
124,65000,512,0.0017873222241178155
125,80000,512,0.0017980507109314203
126,20000,512,0.000170507759321481
127,35000,512,0.0005737283499911427
128,50000,512,0.0005602313904091716
129,65000,512,0.0011258849408477545
130,80000,512,0.002885321853682399
131,20000,512,0.00014800584176555276
132,35000,512,0.00019171650637872517
133,50000,512,0.0004974413313902915
134,65000,512,0.0013996305642649531
135,80000,512,0.0012992224656045437
136,20000,512,0.00011376375914551318
137,35000,512,0.0003367142053321004
138,50000,512,0.0005040669348090887
139,65000,512,0.0007084509707055986
140,80000,512,0.0015300677623599768
141,20000,512,0.00022665021242573857
142,35000,512,0.00036152274697087705
143,50000,512,0.0004242808499839157
144,65000,512,0.0012307427823543549
145,80000,512,0.0007683903095312417
146,20000,512,0.00017813204613048583
147,35000,512,0.00032997620292007923
148,50000,512,0.0005071110790595412
149,65000,512,0.0008738493197597563
150,80000,512,0.001868266612291336
151,20000,512,0.00017454518820159137
152,35000,512,0.000295197416562587
153,50000,512,0.0005552829243242741
154,65000,512,0.0010650221956893802
155,80000,512,0.0017665893537923694
156,20000,512,9.626506653148681e-05
157,35000,512,0.0004252112121321261
158,50000,512,0.0005384489195421338
