LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
1,20000,512,0.011280453763902187
2,35000,512,0.032080866396427155
3,50000,512,0.052609384059906006
4,65000,512,0.09134331345558167
5,80000,512,0.14085188508033752
6,20000,512,0.0012046133633702993
7,35000,512,0.004787481855601072
8,50000,512,0.015198688954114914
9,65000,512,0.0313890241086483
10,80000,512,0.060661498457193375
11,20000,512,0.02002803236246109
12,35000,512,0.012514609843492508
13,50000,512,0.00783572904765606
14,65000,512,0.0066706836223602295
15,80000,512,0.020552147179841995
16,20000,512,0.03329141438007355
17,35000,512,0.0215188879519701
18,50000,512,0.010307181626558304
19,65000,512,0.004795185290277004
20,80000,512,0.014494930393993855
21,20000,512,0.01684744656085968
22,35000,512,0.009060103446245193
23,50000,512,0.004335823468863964
24,65000,512,0.004803516436368227
25,80000,512,0.020041925832629204
26,20000,512,0.004624271299690008
27,35000,512,0.001652170205488801
28,50000,512,0.0015541657339781523
29,65000,512,0.006289975252002478
30,80000,512,0.018051691353321075
31,20000,512,0.001287057064473629
32,35000,512,0.000815925479400903
33,50000,512,0.0012770486064255238
34,65000,512,0.00393437035381794
35,80000,512,0.010483397170901299
36,20000,512,0.0006993010174483061
37,35000,512,0.0017038770020008087
38,50000,512,0.0016352222301065922
39,65000,512,0.001881784643046558
40,80000,512,0.0055946167558431625
41,20000,512,0.0004920125938951969
42,35000,512,0.0017449813894927502
43,50000,512,0.002667884575203061
44,65000,512,0.002988650929182768
45,80000,512,0.002914662240073085
46,20000,512,0.00028261839179322124
47,35000,512,0.0010390940587967634
48,50000,512,0.0016201039543375373
49,65000,512,0.0018365279538556933
50,80000,512,0.0034964096266776323
51,20000,512,0.0012205163948237896
52,35000,512,0.0007896691677160561
53,50000,512,0.0018669812707230449
54,65000,512,0.0011151940561830997
55,80000,512,0.004837869666516781
56,20000,512,0.0019167539430782199
57,35000,512,0.0005281245103105903
58,50000,512,0.0019756071269512177
59,65000,512,0.0017581593710929155
60,80000,512,0.004968926310539246
61,20000,512,0.001363938208669424
62,35000,512,0.0007328163483180106
63,50000,512,0.0019384582992643118
64,65000,512,0.0013100521173328161
65,80000,512,0.0042104097083210945
66,20000,512,0.0010245869634673
67,35000,512,0.0008166940533556044
68,50000,512,0.001232476206496358
69,65000,512,0.0031737289391458035
70,80000,512,0.002356403274461627
71,20000,512,0.0008614296093583107
72,35000,512,0.00036403685226105154
73,50000,512,0.0007748189382255077
74,65000,512,0.002204541116952896
75,80000,512,0.0033435174264013767
76,20000,512,0.0005370342405512929
77,35000,512,0.0008843861287459731
78,50000,512,0.0017854690086096525
79,65000,512,0.002409670501947403
80,80000,512,0.003774042474105954
81,20000,512,0.00039240060141310096
82,35000,512,0.0004141186363995075
83,50000,512,0.0018530741799622774
84,65000,512,0.002714494476094842
85,80000,512,0.0029980535618960857
86,20000,512,0.0003841305442620069
87,35000,512,0.00046643574023619294
88,50000,512,0.00117357331328094
89,65000,512,0.0025174040347337723
90,80000,512,0.0033360084053128958
91,20000,512,0.0003903839096892625
92,35000,512,0.0007044508820399642
93,50000,512,0.0012225331738591194
94,65000,512,0.0010713672963902354
95,80000,512,0.0034506474621593952
96,20000,512,0.0005004576523788273
97,35000,512,0.0005253289127722383
98,50000,512,0.0016814194386824965
99,65000,512,0.001235480885952711
100,80000,512,0.004783184267580509
101,20000,512,0.0004149902379140258
102,35000,512,0.00048264520592056215
103,50000,512,0.0008200133452191949
104,65000,512,0.0017394027672708035
105,80000,512,0.0036876616068184376
106,20000,512,0.00046469655353575945
107,35000,512,0.0008498442475683987
108,50000,512,0.0011459934758022428
109,65000,512,0.0022700896952301264
110,80000,512,0.0035681379958987236
111,20000,512,0.0003920671297237277
112,35000,512,0.0005111463833600283
113,50000,512,0.001413176883943379
114,65000,512,0.0021306779235601425
115,80000,512,0.003468998707830906
116,20000,512,0.00045542826410382986
117,35000,512,0.0005127727054059505
118,50000,512,0.0011689154198393226
119,65000,512,0.0007514856406487525
120,80000,512,0.002630445174872875
121,20000,512,0.00040076381992548704
122,35000,512,0.0007203766144812107
123,50000,512,0.0017353654839098454
124,65000,512,0.0024931631051003933
125,80000,512,0.003793188603594899
126,20000,512,0.0003833766677416861
127,35000,512,0.001047650002874434
128,50000,512,0.0012546958168968558
129,65000,512,0.0019270807970315218
130,80000,512,0.003328691003844142
131,20000,512,0.0004972422029823065
132,35000,512,0.0007247964385896921
133,50000,512,0.0010824173223227262
134,65000,512,0.0022275815717875957
135,80000,512,0.002806261647492647
136,20000,512,0.00038237517583183944
137,35000,512,0.0006163818761706352
138,50000,512,0.0011569737689569592
139,65000,512,0.002244583796709776
140,80000,512,0.003513020696118474
141,20000,512,0.0003391739446669817
142,35000,512,0.0002492768981028348
143,50000,512,0.00159584847278893
144,65000,512,0.0015466996701434255
145,80000,512,0.0035236391704529524
146,20000,512,0.0003825852181762457
147,35000,512,0.0004456911701709032
148,50000,512,0.0018296402413398027
149,65000,512,0.001360905240289867
150,80000,512,0.002503033960238099
151,20000,512,0.0003139829495921731
152,35000,512,0.00031128322007134557
153,50000,512,0.0005844876868650317
154,65000,512,0.0015705123078078032
155,80000,512,0.003031965810805559
156,20000,512,0.0002186329656979069
157,35000,512,0.0004467583494260907
158,50000,512,0.0013199920067563653
159,65000,512,0.0011247877264395356
160,80000,512,0.0032019028440117836
161,20000,512,0.00031721143750473857
162,35000,512,0.0004165371065028012
163,50000,512,0.0008666595676913857
164,65000,512,0.0019062593346461654
165,80000,512,0.0026404904201626778
166,20000,512,0.0003459082217887044
167,35000,512,0.0004073100280947983
168,50000,512,0.0011945911683142185
169,65000,512,0.0016612944891676307
170,80000,512,0.004061221145093441
171,20000,512,0.00035691558150574565
172,35000,512,0.0005973426159471273
173,50000,512,0.0009993721032515168
174,65000,512,0.0010508995037525892
175,80000,512,0.003803262487053871
176,20000,512,0.0002397935459157452
177,35000,512,0.0003636915353126824
178,50000,512,0.0010112012969329953
179,65000,512,0.0005621054442599416
180,80000,512,0.002724262187257409
181,20000,512,0.0001904337841551751
182,35000,512,0.0005625664489343762
183,50000,512,0.001012796419672668
184,65000,512,0.0017612628871574998
185,80000,512,0.00506793987005949
186,20000,512,0.0002360801590839401
187,35000,512,0.0006004482856951654
188,50000,512,0.0016386571805924177
189,65000,512,0.0018660270143300295
190,80000,512,0.0018553308909758925
191,20000,512,0.00027713808231055737
192,35000,512,0.0006826239987276495
193,50000,512,0.0008437293581664562
194,65000,512,0.0014232359826564789
195,80000,512,0.004696838557720184
196,20000,512,0.0002260805486002937
197,35000,512,0.00022811125381849706
198,50000,512,0.0017420747317373753
199,65000,512,0.0018005113815888762
200,80000,512,0.002568477764725685
201,20000,512,0.00024660263443365693
202,35000,512,0.000532174133695662
203,50000,512,0.0010561546077951789
204,65000,512,0.0029046719428151846
205,80000,512,0.002798635745421052
206,20000,512,0.00018479723075870425
207,35000,512,0.00042443565325811505
208,50000,512,0.0008411759044975042
209,65000,512,0.0021508620120584965
210,80000,512,0.002115698764100671
211,20000,512,0.0001953441242221743
212,35000,512,0.0005553922383114696
213,50000,512,0.0007081846706569195
214,65000,512,0.0017556818202137947
215,80000,512,0.002764166332781315
216,20000,512,0.00013251765631139278
217,35000,512,0.00040670589078217745
218,50000,512,0.0006487883510999382
219,65000,512,0.0010448989924043417
220,80000,512,0.0032505507115274668
221,20000,512,0.0001310079824179411
222,35000,512,0.0008725813240744174
223,50000,512,0.0005996847758069634
224,65000,512,0.00208582472987473
225,80000,512,0.004406129941344261
226,20000,512,0.00021958237630315125
227,35000,512,0.00043438212014734745
228,50000,512,0.000976633164100349
229,65000,512,0.002145487582311034
230,80000,512,0.004373818635940552
231,20000,512,0.00020391662837937474
232,35000,512,0.0003221332444809377
233,50000,512,0.001241769758053124
234,65000,512,0.0012591856066137552
235,80000,512,0.002673852490261197
236,20000,512,0.00016929824778344482
237,35000,512,0.0002077188401017338
238,50000,512,0.0008578085689805448
239,65000,512,0.002550321165472269
240,80000,512,0.0031257630325853825
241,20000,512,0.0002023522974923253
242,35000,512,0.00039984710747376084
243,50000,512,0.0007998397340998054
244,65000,512,0.0010014558210968971
245,80000,512,0.0019988161511719227
246,20000,512,0.00015844676818232983
247,35000,512,0.0004056794277857989
248,50000,512,0.0011599382851272821
249,65000,512,0.0007490291609428823
250,80000,512,0.00222966680303216
251,20000,512,0.00014225058839656413
252,35000,512,0.0009385537123307586
253,50000,512,0.0006680242950096726
254,65000,512,0.0011214795522391796
255,80000,512,0.002318076090887189
256,20000,512,0.00020608904014807194
257,35000,512,0.0004650205955840647
258,50000,512,0.0007096811896190047
259,65000,512,0.001311984844505787
260,80000,512,0.002110887784510851
261,20000,512,0.00016638885426800698
262,35000,512,0.0005777825135737658
263,50000,512,0.0012627008836716413
264,65000,512,0.0012807047460228205
265,80000,512,0.0027951437514275312
266,20000,512,0.00020435386977624148
267,35000,512,0.00039677441236563027
