HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
1,20000,1.0,42,0.10721498727798462,0.0007413004641421139,1,
2,35000,1.0,42,0.2139175534248352,0.0020889004226773977,2,
3,50000,1.0,42,0.3612423837184906,0.004185371100902557,3,
4,65000,1.0,42,0.557548999786377,0.006974527146667242,4,
5,80000,1.0,42,0.7959415912628174,0.0105740362778306,5,
6,20000,2.0,42,0.2725398540496826,0.002458458999171853,6,
7,35000,2.0,42,0.2646767795085907,0.0040005785413086414,7,
8,50000,2.0,42,0.25390341877937317,0.005663965363055468,8,
9,65000,2.0,42,0.33523064851760864,0.00775406789034605,9,
10,80000,2.0,42,0.5534580945968628,0.011123775504529476,10,
11,20000,5.0,42,0.1461343765258789,0.0022524758242070675,11,
12,35000,5.0,42,0.12494537979364395,0.003588674357160926,12,
13,50000,5.0,42,0.16543743014335632,0.005343366879969835,13,
14,65000,5.0,42,0.3008057475090027,0.007650312501937151,14,
15,80000,5.0,42,0.5251089334487915,0.011219598352909088,15,
16,20000,10.0,42,0.024225661531090736,0.0015240334905683994,16,
17,35000,10.0,42,0.059474460780620575,0.003119483357295394,17,
18,50000,10.0,42,0.13700562715530396,0.005300937686115503,18,
19,65000,10.0,42,0.26215827465057373,0.008021368645131588,19,
20,80000,10.0,42,0.4274674355983734,0.012040416710078716,20,1.9694408178329468
21,20000,20.0,42,0.013536561280488968,0.0015561481704935431,21,
22,35000,20.0,42,0.04690809175372124,0.0036157267168164253,22,
23,50000,20.0,42,0.10512927919626236,0.006431734189391136,23,
24,65000,20.0,42,0.190641850233078,0.009737178683280945,24,
25,80000,20.0,42,0.31156110763549805,0.01445178221911192,25,
26,20000,30.0,42,0.015149930492043495,0.001955965766683221,26,
27,35000,30.0,42,0.04657725617289543,0.0045732962898910046,27,
28,50000,30.0,42,0.09646259248256683,0.007906462997198105,28,
29,65000,30.0,42,0.1582961082458496,0.011386962607502937,29,
30,80000,30.0,42,0.25123047828674316,0.01603575237095356,30,
31,20000,50.0,42,0.022436169907450676,0.0017760907066985965,31,
32,35000,50.0,42,0.0400843620300293,0.004229782614856958,32,
33,50000,50.0,42,0.07496339082717896,0.007483276072889566,33,
34,65000,50.0,42,0.13216498494148254,0.011172342114150524,34,
35,80000,50.0,42,0.21560218930244446,0.016404924914240837,35,
36,20000,75.0,42,0.03142371028661728,0.0019221847178414464,36,
37,35000,75.0,42,0.036305125802755356,0.004993014968931675,37,
38,50000,75.0,42,0.06293268501758575,0.009244379587471485,38,
39,65000,75.0,42,0.10513672977685928,0.013711796142160892,39,
40,80000,75.0,42,0.16696441173553467,0.01914622262120247,40,2.4607603549957275
41,20000,100.0,42,0.023504536598920822,0.0023098832461982965,41,
42,35000,100.0,42,0.032513152807950974,0.005418972112238407,42,
43,50000,100.0,42,0.04852329194545746,0.009166990406811237,43,
44,65000,100.0,42,0.07733144611120224,0.012854374945163727,44,
45,80000,100.0,42,0.1375097930431366,0.01781223900616169,45,
46,20000,125.0,42,0.02059740573167801,0.0020771147683262825,46,
47,35000,125.0,42,0.023602966219186783,0.005147084593772888,47,
48,50000,125.0,42,0.03639207035303116,0.009112926200032234,48,
49,65000,125.0,42,0.05590912699699402,0.013067670166492462,49,
50,80000,125.0,42,0.10110253095626831,0.018013911321759224,50,
