种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,实测点数,实际时刻数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称
0,best,validation,115.2,Top,1919,19,1.5823713012272005,1.16396970684296,-0.696866924530395,3.365655517578124,5.654998779296875,2.4676964821384333,2.2286098494139606,2.2243125164117457,3.67841796875,4.28936767578125,-2.01812744140625,,顶部,观测最佳
0,best,validation,403.0,Top,2424,24,2.8847617781314545,2.42090501915435,-1.9318663874838242,5.345846557617187,9.512298583984375,5.013208533985319,4.235298287625245,-4.071234787449928,8.404049682617186,9.817779541015625,-3.324462890625,,顶部,观测最佳
0,best,validation,630.5,Top,2929,29,6.115038519236195,3.964938496665795,0.615998266334906,13.714123535156247,26.3240966796875,10.550597607960041,9.281810996602767,-5.914013009906712,15.249505615234375,16.624114990234375,-2.38592529296875,,顶部,观测最佳
0,best,validation,115.2,Hot,100,100,0.8765411152872447,0.7503677368164062,0.25061004638671874,1.5297332763671874,1.597930908203125,1.5435094495529247,1.2976058959960937,-1.294952697753906,2.208760070800781,2.225372314453125,-0.3555908203125,,热环,观测最佳
0,best,validation,403.0,Hot,126,126,2.314199112114332,2.204176887633308,2.204176887633308,3.6822662353515625,4.077667236328125,1.1479429899352438,0.9404977465432786,0.9058980790395584,2.3839874267578125,2.779388427734375,4.077667236328125,,热环,观测最佳
0,best,validation,630.5,Hot,150,150,1.4611049536433143,1.2188909912109376,0.6745656331380209,2.4257019042968726,3.45428466796875,1.3742757775491354,1.2024827067057293,-0.4569956461588542,2.170120239257812,2.37554931640625,3.45428466796875,,热环,观测最佳
0,best,validation,115.2,Cold,100,100,1.59557713023151,1.4222116088867187,1.4222116088867187,2.4894653320312496,2.57830810546875,1.2153810482975953,0.9981246948242188,-0.9767141723632813,1.7850265502929688,1.798431396484375,1.11279296875,,冷环,观测最佳
0,best,validation,403.0,Cold,126,126,2.5420530123271057,2.493959457155258,2.493959457155258,3.21588134765625,3.225189208984375,1.5857490027389154,1.5074482266865077,1.5074482266865077,2.2293701171875,2.238677978515625,3.206024169921875,,冷环,观测最佳
0,best,validation,630.5,Cold,150,150,0.6899855935493151,0.5652113850911459,-0.057823282877604174,1.3520019531249994,1.510009765625,0.6945829566176336,0.5682004801432292,-0.09853373209635417,1.3112915039062494,1.46929931640625,0.504150390625,,冷环,观测最佳
0,final,validation,115.2,Top,1919,19,5.197119176219166,4.961866417547387,-4.961866417547387,8.837167358398437,10.77728271484375,4.933701875313856,4.753132639731387,4.753132639731387,6.466876220703124,7.5985107421875,-6.171295166015625,,顶部,训练末
0,final,validation,403.0,Top,2424,24,2.990984679708217,2.4098239915830737,-2.1754069879224462,5.788409423828124,11.49615478515625,3.3817599942685734,2.933742790320195,-2.067484900619945,5.7999755859375,6.590423583984375,-1.87548828125,,顶部,训练末
0,final,validation,630.5,Top,2929,29,6.382651222761786,4.73722620154946,-0.17836144182548574,12.366430664062499,31.51165771484375,7.124137354938228,6.020720303843177,-4.143361392332417,12.49134521484375,16.736846923828125,2.28033447265625,,顶部,训练末
0,final,validation,115.2,Hot,100,100,3.8795082111723427,3.758072204589844,-3.758072204589844,4.620391845703125,4.6290283203125,2.4107837044900533,2.210068054199219,-2.210068054199219,3.0723876953125,3.081024169921875,-4.401336669921875,,热环,训练末
0,final,validation,403.0,Hot,126,126,1.6137791784259354,1.5876920185391865,-1.5876920185391865,1.9694747924804688,1.98040771484375,0.41884766278789975,0.362027607266865,-0.3031766376798114,0.6849594116210938,0.695892333984375,-1.49615478515625,,热环,训练末
0,final,validation,630.5,Hot,150,150,2.591487265934,2.4414617919921877,-2.4414617919921877,3.7516662597656247,3.791351318359375,1.9724090451415326,1.7730914306640626,-1.7706854248046877,3.0808898925781247,3.120574951171875,-0.490325927734375,,热环,训练末
0,final,validation,115.2,Cold,100,100,3.2482075876792207,3.1938027954101558,-3.1938027954101558,3.7869216918945314,3.792724609375,1.5984023611986664,1.4847268676757812,-1.4847268676757812,2.0778457641601564,2.083648681640625,-3.673492431640625,,冷环,训练末
0,final,validation,403.0,Cold,126,126,1.7859865394197414,1.7746310763888886,-1.7746310763888886,1.9663162231445312,1.97235107421875,0.5093038388615738,0.46792941623263884,-0.46792941623263884,0.6596145629882812,0.6656494140625,-1.611968994140625,,冷环,训练末
0,final,validation,630.5,Cold,150,150,2.4095122302280383,2.3265425618489584,-2.3265425618489584,2.95281982421875,2.960784912109375,1.2274674371931438,1.095941162109375,-1.0553328450520834,1.681610107421875,1.6895751953125,-2.515869140625,,冷环,训练末
1,best,validation,115.2,Top,1919,19,1.6958691818105631,1.0973091383909668,-0.1778831462055025,4.363629150390625,6.944061279296875,5.586052453869941,5.3520029295602765,5.3520029295602765,7.151089477539061,8.969390869140625,-0.078826904296875,,顶部,观测最佳
1,best,validation,403.0,Top,2424,24,2.07937169907346,1.4683946754086579,0.1253333825124806,4.0532089233398425,13.82061767578125,5.293036028493652,4.332609224556049,1.827801888010986,9.976171874999999,12.38275146484375,1.74884033203125,,顶部,观测最佳
1,best,validation,630.5,Top,2929,29,4.95142063848764,3.687376485502723,0.3188854037915535,10.009374999999999,25.1170654296875,11.288111033042277,10.054183766617115,-3.6253008845950836,16.208880615234374,23.434814453125,1.6474609375,,顶部,观测最佳
1,best,validation,115.2,Hot,100,100,1.0861365733161301,0.9019702148437501,0.8271313476562501,1.7097671508789063,1.73468017578125,1.4047607822776544,1.215650634765625,1.215650634765625,2.098286437988281,2.123199462890625,0.83795166015625,,热环,观测最佳
1,best,validation,403.0,Hot,126,126,2.981356944452119,2.9586305164155506,2.9586305164155506,3.434814453125,3.662933349609375,1.2292994783188598,1.1731080554780506,1.1731080554780506,1.6492919921875,1.877410888671875,3.662933349609375,,热环,观测最佳
1,best,validation,630.5,Hot,150,150,1.7559688734431687,1.616937255859375,1.616937255859375,2.69560546875,3.7667236328125,0.754448543075922,0.6460481770833333,-0.3166259765625,1.4102569580078124,1.833160400390625,3.7667236328125,,热环,观测最佳
1,best,validation,115.2,Cold,100,100,1.0826149022148606,0.990616455078125,0.36017272949218754,1.57698974609375,1.602294921875,1.186200852447175,0.8846649169921875,-0.6039385986328125,2.3608749389648436,2.477325439453125,0.82763671875,,冷环,观测最佳
1,best,validation,403.0,Cold,126,126,2.5340712407736246,2.5003645155164924,2.5003645155164924,3.2731170654296875,3.38140869140625,1.567162357705774,1.512052747938368,1.512052747938368,2.2848052978515625,2.393096923828125,3.38140869140625,,冷环,观测最佳
1,best,validation,630.5,Cold,150,150,3.027241774312006,2.986509602864584,2.986509602864584,4.210092163085936,4.500885009765625,1.1396019743192243,1.0265181477864584,1.0265181477864584,2.2501007080078117,2.5408935546875,2.929931640625,,冷环,观测最佳
1,final,validation,115.2,Top,1919,19,4.9529075031122565,4.371271241761049,-4.3109502509088795,7.493115234375,8.43707275390625,2.8265330063621517,2.5192067363474626,2.5192067363474626,4.994577026367187,6.591705322265625,-7.856964111328125,,顶部,训练末
1,final,validation,403.0,Top,2424,24,2.396372418562979,1.6946331344477061,-0.5339513819124457,5.910311889648436,9.4427490234375,7.07023384505804,6.7224052955005895,-6.711623424541259,8.988092041015625,9.345458984375,-0.7503662109375,,顶部,训练末
1,final,validation,630.5,Top,2929,29,6.449600713763706,4.597999367474746,-0.40895289819198855,13.845336914062498,25.5250244140625,13.959000180688792,12.998812926884597,-12.915672303723237,18.643518066406248,23.355377197265625,0.27691650390625,,顶部,训练末
1,final,validation,115.2,Hot,100,100,0.6571837849958115,0.6028799438476563,-0.5151107788085938,0.93853759765625,0.982269287109375,0.5521161243599839,0.5145095825195313,-0.37186126708984385,0.7952880859375,0.839019775390625,-0.898468017578125,,热环,训练末
1,final,validation,403.0,Hot,126,126,0.521561857429358,0.46737210712735605,-0.09465026855468749,0.8979949951171875,1.094757080078125,0.725756945555187,0.6261996314639137,-0.5134735107421875,1.056732177734375,1.06298828125,-0.100921630859375,,热环,训练末
1,final,validation,630.5,Hot,150,150,1.0104382383753303,0.7980562337239585,0.43034138997395843,1.8533340454101557,2.38323974609375,2.055680900719213,1.844717203776042,-1.8412040201822921,3.587504577636718,3.721343994140625,1.1697998046875,,热环,训练末
1,final,validation,115.2,Cold,100,100,1.2206765421719528,0.9949710083007813,-0.9461984252929688,2.0584335327148438,2.109954833984375,1.5410008563305797,1.3346633911132815,-1.334137878417969,2.4463729858398438,2.497894287109375,-1.173797607421875,,冷环,训练末
