种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,时间窗原标识,下界_秒,上界_秒,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,时间窗中文名称
0,best,validation,115.2,Top,time_0_30_s,0.0,30.0,True,True,606,2.0429244971388574,1.5346948604772588,-1.4675483325920482,4.3345184326171875,5.654998779296875,1.7282505622868451,1.4536311083500928,1.4536311083500928,3.0659637451171875,3.697906494140625,-4.12078857421875,,顶部,观测最佳,"[0,30]秒"
0,best,validation,115.2,Top,time_30_100_s,30.0,100.0,False,True,1313,1.3165466703563031,0.9928657897809763,-0.3411678131173244,2.6890441894531225,4.4859619140625,2.742540829160221,2.586292345289592,2.580011627824817,3.708746337890625,4.28936767578125,-2.01812744140625,,顶部,观测最佳,"(30,100]秒"
0,best,validation,115.2,Top,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,顶部,观测最佳,"(100,200]秒"
0,best,validation,403.0,Top,time_0_30_s,0.0,30.0,True,True,606,2.266812709606405,1.8995892615994998,-0.12340528028632947,4.004600524902344,4.686767578125,3.464687682675278,2.5105334492799862,-2.2642381624026657,6.71044921875,8.22119140625,-0.26416015625,,顶部,观测最佳,"[0,30]秒"
0,best,validation,403.0,Top,time_30_100_s,30.0,100.0,False,True,1414,3.2288278826976375,2.8445701659455245,-2.779917970597659,5.535046386718748,7.832275390625,5.737757986957837,5.091377923872097,-4.919487712154192,8.851539611816406,9.817779541015625,-3.40032958984375,,顶部,观测最佳,"(30,100]秒"
0,best,validation,403.0,Top,time_100_200_s,100.0,200.0,False,True,404,2.3947422229381607,1.720050675654829,-1.676377669619038,5.448989868164058,9.512298583984375,4.190576962098009,3.826166969623374,-3.812844650598329,6.350247192382812,6.899139404296875,-3.324462890625,,顶部,观测最佳,"(100,200]秒"
0,best,validation,630.5,Top,time_0_30_s,0.0,30.0,True,True,606,10.431594120827981,9.282834070246912,8.144297191958401,16.692306518554688,18.013427734375,6.1847528791874895,4.3149078363872295,2.4555875414966017,13.506431579589844,14.71636962890625,11.6610107421875,,顶部,观测最佳,"[0,30]秒"
0,best,validation,630.5,Top,time_30_100_s,30.0,100.0,False,True,1414,3.1680624017191112,2.3291843701221815,-0.660467902776525,6.5241394042968714,11.7242431640625,11.527840625219188,10.792756737720559,-7.32670126780906,15.648339843749998,16.624114990234375,-2.10064697265625,,顶部,观测最佳,"(30,100]秒"
0,best,validation,630.5,Top,time_100_200_s,100.0,200.0,False,True,909,5.686197438086567,2.964181112287183,-2.4172538196089577,14.57298583984374,26.3240966796875,11.245520867018874,10.242719811122445,-9.296231839394464,15.125671386718748,16.183074951171875,-2.38592529296875,,顶部,观测最佳,"(100,200]秒"
0,best,validation,115.2,Hot,time_0_30_s,0.0,30.0,True,True,30,1.3789513669274094,1.364326985677083,1.364326985677083,1.5820632934570311,1.597930908203125,0.2701206187059954,0.19007975260416665,-0.18123575846354167,0.5828811645507811,0.62030029296875,0.925262451171875,,热环,观测最佳,"[0,30]秒"
0,best,validation,115.2,Hot,time_30_100_s,30.0,100.0,False,True,70,0.5316715756981067,0.48724234444754466,-0.22669721330915182,0.7549331665039061,0.876983642578125,1.8363519256022405,1.7722599574497766,-1.7722599574497766,2.213702392578125,2.225372314453125,-0.3555908203125,,热环,观测最佳,"(30,100]秒"
0,best,validation,115.2,Hot,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,热环,观测最佳,"(100,200]秒"
0,best,validation,403.0,Hot,time_0_30_s,0.0,30.0,True,True,30,1.5524630372069275,1.4834330240885416,1.4834330240885416,2.4134704589843747,2.454986572265625,0.4938117338143899,0.3304728190104167,0.18515421549479166,1.1151916503906247,1.156707763671875,2.454986572265625,,热环,观测最佳,"[0,30]秒"
0,best,validation,403.0,Hot,time_30_100_s,30.0,100.0,False,True,70,2.109740475095982,2.1001752580915176,2.1001752580915176,2.48876953125,2.58203125,0.8266236587925443,0.8018964494977676,0.8018964494977676,1.19049072265625,1.28375244140625,2.58203125,,热环,观测最佳,"(30,100]秒"
0,best,validation,403.0,Hot,time_100_200_s,100.0,200.0,False,True,26,3.345034341145256,3.315808809720553,3.315808809720553,4.001716613769531,4.077667236328125,2.0652103975787472,2.017530001126803,2.017530001126803,2.7034378051757812,2.779388427734375,4.077667236328125,,热环,观测最佳,"(100,200]秒"
0,best,validation,630.5,Hot,time_0_30_s,0.0,30.0,True,True,30,1.1167919788023104,0.9779876708984374,0.18258158365885413,1.9273803710937496,2.056732177734375,1.4541151095972547,1.2131072998046872,-0.9489796956380209,2.3624755859375,2.37554931640625,2.056732177734375,,热环,观测最佳,"[0,30]秒"
0,best,validation,630.5,Hot,time_30_100_s,30.0,100.0,False,True,70,1.5277828142574041,1.321857125418527,0.8581041608537945,2.3185791015625,2.3504638671875,1.2932735102416937,1.1509857177734375,-0.27345711844308035,2.135328674316406,2.149810791015625,0.024078369140625,,热环,观测最佳,"(30,100]秒"
0,best,validation,630.5,Hot,time_100_200_s,100.0,200.0,False,True,50,1.5454384503358265,1.2192803955078126,0.7128021240234376,3.114346313476562,3.45428466796875,1.433754639361073,1.2682037353515625,-0.41875915527343754,2.133164978027344,2.322723388671875,3.45428466796875,,热环,观测最佳,"(100,200]秒"
0,best,validation,115.2,Cold,time_0_30_s,0.0,30.0,True,True,30,2.368728856886545,2.364450073242187,2.364450073242187,2.5719070434570312,2.57830810546875,0.14642685216412255,0.10584411621093752,-0.0344757080078125,0.3134445190429686,0.373931884765625,2.02581787109375,,冷环,观测最佳,"[0,30]秒"
0,best,validation,115.2,Cold,time_30_100_s,30.0,100.0,False,True,70,1.1100858778128766,1.0183951241629465,1.0183951241629465,1.835577392578125,1.9664306640625,1.4494919531884038,1.3805306570870535,-1.3805306570870535,1.7876113891601562,1.798431396484375,1.11279296875,,冷环,观测最佳,"(30,100]秒"
0,best,validation,115.2,Cold,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,冷环,观测最佳,"(100,200]秒"
0,best,validation,403.0,Cold,time_0_30_s,0.0,30.0,True,True,30,2.3216837819552367,2.2502400716145834,2.2502400716145834,2.7376434326171877,2.779296875,1.3869555823593476,1.2637288411458332,1.2637288411458332,1.7511322021484375,1.79278564453125,2.38702392578125,,冷环,观测最佳,"[0,30]秒"
0,best,validation,403.0,Cold,time_30_100_s,30.0,100.0,False,True,70,2.368271024516003,2.350657435825892,2.350657435825892,2.9097366333007812,2.990203857421875,1.394278356193199,1.364146205357143,1.364146205357143,1.9232254028320312,2.003692626953125,2.990203857421875,,冷环,观测最佳,"(30,100]秒"
