功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,-889.025706567906,-384.89669976859756,-895.7998427640142,391.67083596470576,391.67083596470565,-1.1368683772161603e-13,9.30550858167948,-711.1653651636365,-187.16584998594905,3.426424151812398
55.0,10.0,-704.3585405095116,-140.67264104484346,-816.4969370634682,252.81103759880003,252.81103759880017,1.4210854715202004e-13,17.094914013918824,-642.9399179454631,-78.51353657796736,2.5652940707923904
55.0,50.0,487.75582256648033,101.88577895804366,-282.8357663148235,668.7058099232602,668.70580992326,-2.2737367544323206e-13,89.8833194908141,261.15454508885307,136.71795798681322,0.7838918702546493
55.0,100.0,508.6084805339636,0.6308826537553216,-2.658394059126863,510.6359919393351,510.6359919393356,5.115907697472721e-13,78.08138623702531,328.41617591435147,102.11091838258682,0.5126397182602886
55.0,200.0,427.20659414978206,287.9199206615192,-181.7773611833876,321.06403467165046,321.0640346716505,5.684341886080802e-14,-14.997907498664715,469.64796107377856,-27.4434594253318,2.0896155916237262
115.2,1.0,-778.5140396172326,-316.00627875195977,-1033.9632928257038,571.455531960431,571.4555319604314,3.410605131648481e-13,15.684524544848713,-606.7478366116595,-187.45072755042173,1.8725698585573127
115.2,10.0,-626.7101925498117,7.571477946716868,-1108.6925706080253,474.41090011149674,474.4109001114963,-4.547473508864641e-13,93.58618065152638,-679.2777948687082,-41.01857833262995,0.7755801239669609
115.2,50.0,317.55678288940123,79.71833692179882,-703.5418085003406,941.380254467943,941.3802544679431,1.1368683772161603e-13,159.59373648140573,69.3730501548186,88.58999625317693,1.6757261635758596
115.2,100.0,-34.566721574377524,-72.90293605528291,-572.8402349120938,611.1764493929992,611.1764493929992,0.0,141.10904049385888,-199.61717314676002,23.941411078523615,1.2151366396875005
115.2,200.0,-234.56956286282184,17.11163591321457,-565.4239322071784,313.74273343114197,313.74273343114186,-1.1368683772161603e-13,73.26092395142301,-88.975901020139,-218.85458579410584,1.9662370759284613
