功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,74.60252108282918,194.67464575311814,0.5345803387006498,0.21961494122919437,227.96458719530708,227.96458719530708,195.42884103304797,1.1664838515659883,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,4.453596293146177,323.74239607201054,0.6790504501936826,0.2739464144633865,287.08221430924374,287.08221430924374,324.69539293666764,0.8841585700146956,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,7.051913968713049,509.2319412100338,0.8326582251799077,0.34215578535520685,475.3918942687119,475.3918942687119,510.4067552205689,0.9313981239595358,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-2.6632486174061936,406.9217096238561,0.7966407328860136,0.3164428883899654,363.30476970715586,363.30476970715586,408.0347932451321,0.8903769377551485,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-3.3696276998220087,71.54699847397606,0.6714639670286281,0.2789417198824421,27.061001540495038,27.061001540495038,72.49740416088713,0.3732685584223255,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,121.37803965268812,102.57551294522668,0.5674886350596716,0.23021930590372175,136.6404883416114,136.6404883416114,121.37803965268812,1.1257430811421518,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,88.73573213240618,318.976283458561,0.9673484162262947,0.4041975397358328,320.97278934966255,320.97278934966255,320.3478294145231,1.0019508792560936,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,12.646398076400022,692.3803738778405,1.4216382252133741,0.6318197569249986,618.9694577391122,618.9694577391122,694.4338318599789,0.8913296405523011,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-2.2372761727735844,631.3740153649799,1.415458961639439,0.6253488435423745,543.0667748001213,543.0667748001213,633.4148231701616,0.8573635395555479,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-4.077835613577928,125.2280430266452,1.2594884476890442,0.5517605176976184,34.850684181187134,34.850684181187134,127.03929199203186,0.27432996228736095,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,538.0384843740677,-290.8629892667172,1.1203346572606274,0.5141605486732277,-29.82502975150976,29.82502975150976,538.0384843740677,-0.05543289303219081,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,389.28901642550085,288.91539875932386,2.541103188639262,1.3933167409130955,403.50381504958295,403.50381504958295,389.28901642550085,1.0365147692955843,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,39.165200156429016,1396.293796497824,4.25572969663623,2.7175709399324615,1163.7972772260275,1163.7972772260275,1403.2670971343928,0.8293483682490769,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,-1.6103036907301789,1332.060180909023,4.428888797737942,2.956505707575025,1059.2002516588116,1059.2002516588116,1339.445575414336,0.7907751319654515,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,9.731181691870061,564.3283864171253,4.152565752930577,2.5287178129245325,302.10583161005644,302.10583161005644,571.0096699829805,0.529073056887217,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,636.6417353939721,-330.2780994509551,1.2312985114921895,0.5773762403842727,-0.06242190492002919,0.06242190492002919,636.6417353939721,-0.00009804871633400021,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,441.0740258755455,304.8069502692811,2.8424033748841406,1.6407021590638673,442.1293490789612,442.1293490789612,441.0740258755455,1.0023926215136356,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,42.04879491545962,1550.955143737027,4.733295354153803,3.2270176121767458,1292.7295190190036,1292.7295190190036,1558.9154567033574,0.8292492793372785,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,-2.8518909550731566,1498.0151864799775,4.918504867329241,3.5300257452665393,1195.3770935376865,1195.3770935376865,1506.4637170925732,0.7934987613539913,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,10.293305996668877,735.1723002992023,4.616230026359629,2.9828723470566034,444.829976069474,444.829976069474,742.7714026726186,0.5988787054387119,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,1302.7778901437907,-444.01125878434505,1.6098222669907378,0.8523521995488883,378.9905951456319,378.9905951456319,1302.7778901437907,0.29090960018042816,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,776.2739260888864,251.70064633483136,4.514716633960008,3.6351236044877693,553.8862019818122,553.8862019818122,776.2739260888864,0.7135190083898169,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,50.0,64,482.23821068035335,60.019428771025204,1916.0702766574523,7.569525644163368,7.8842824989945175,1509.3053028912818,1509.3053028912818,1931.5240848006101,0.7814064110140705,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,100.0,64,482.23821068035335,-4.215206259557092,2183.8065202509038,7.906831780397265,9.05414810070316,1714.3140831920934,1714.3140831920934,2200.767500132004,0.7789619226425633,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,200.0,64,482.23821068035335,34.534082530421166,1725.0380320547843,7.605023129047652,7.129353404194243,1292.0682804380938,1292.0682804380938,1739.772408588026,0.7426651176096749,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1629.2922707539906,-243.87578786016286,1.7446378022848656,0.9971878138336798,830.5823281991175,830.5823281991175,1629.2922707539906,0.5097810522446947,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,913.2818518714143,340.37076173108085,5.271139731062637,5.029375309571085,706.3771483323001,706.3771483323001,913.2818518714143,0.7734492335360175,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,65.11324515485191,1856.6507778999667,8.873716623639686,11.514874941284658,1384.576634308914,1384.576634308914,1877.039369464891,0.7376385689255047,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,100.0,64,557.5759803108289,4.261970949102978,2238.7202811562224,9.218209909345335,13.10967456028243,1707.7341562641243,1707.7341562641243,2261.0481656258503,0.755284289041861,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,200.0,64,557.5759803108289,50.652139501786536,2204.3474904463674,9.230853222909548,10.158337359004818,1716.812840219239,1716.812840219239,2223.7366810282815,0.7720396281026245,inner_autodiff_at_R_minus_epsilon,1e-6
