功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,137.122653357508,-204.46373177432903,133.29873440107326,208.28765073076377,208.28765073076423,4.547473508864641e-13,18.801573582790404,71.60710829468621,46.713971480031375,1.6107058280302908
55.0,10.0,151.5912410707347,-120.23659991647114,-51.82688086496728,323.6547218521731,323.65472185217345,3.410605131648481e-13,47.34719659818547,119.15033105668718,-14.906286584137955,1.5644745066156815
55.0,50.0,446.13503258946804,29.619359201021354,-20.323759180632976,436.8394325690797,436.83943256907975,5.684341886080802e-14,143.07916936927717,330.65903262135026,-27.603169401159384,1.748354697758316
55.0,100.0,369.89976799158916,-67.21845540562865,108.2924446383455,328.8257787588723,328.82577875887216,-1.1368683772161603e-13,82.78222441180829,255.46020600176493,31.657337578015905,1.2447471324957746
55.0,200.0,562.2104757250377,79.90896591105175,335.89679112958544,146.40471868440048,146.40471868440008,-3.979039320256561e-13,159.37312624106937,482.826075716756,-79.98872623278771,2.399638133791484
115.2,1.0,-125.50936869635501,-148.1606194432791,-80.39570976249881,103.0469605094229,103.04696050942376,8.526512829121202e-13,27.759992470345715,-181.48639289336177,28.21703172666104,1.7740579033327322
115.2,10.0,-115.13613922059203,-64.66895550235131,-386.5989743362413,336.1317906180006,336.1317906180004,-1.7053025658242404e-13,126.61643337556342,-165.2374202224787,-76.51515237367674,1.4925604927663585
115.2,50.0,233.76152696118362,1.2853442776465158,-316.7355573534496,549.2117400369866,549.2117400369868,2.2737367544323206e-13,231.48260548263966,78.09990836681497,-75.82098688827104,1.1571148640261413
115.2,100.0,247.73937585963463,-91.33810116506072,-143.5387435930353,482.6162206177306,482.61622061773096,3.410605131648481e-13,158.95454924528804,85.05028456332577,3.7345420510208314,0.7507090469146647
115.2,200.0,162.44023351456525,43.94251504041716,-60.03247903030086,178.53019750444895,178.53019750444867,-2.8421709430404007e-13,235.15710511119985,30.926685195503268,-103.64355679213787,2.7746436803054735
364.3,1.0,-948.0148325713807,93.58483816954293,-892.7930104135346,-148.806660327389,-148.80666032739134,-2.3305801732931286e-12,-50.337527299333054,-728.0169354525308,-169.6603698195169,0.7717590285097344
364.3,10.0,-666.6079477628117,47.25891512351632,-1065.248122766494,351.3812598801659,351.3812598801689,3.0127011996228248e-12,402.54437034506134,-898.3018480680818,-170.85047003979125,0.644616179169418
364.3,50.0,403.60302316631044,-182.89496427862446,-397.1419511661609,983.6399386110958,983.6399386110687,-2.7057467377744615e-11,673.2984453146315,-255.80339376944278,-13.89202837887828,0.48308329824169505
364.3,100.0,577.1502732717744,-166.7354157949137,-189.21968840908744,933.1053774757755,933.1053774758545,7.901235221652314e-11,625.2054257106238,-44.22491171650749,-3.830240722341969,0.6597900112424782
364.3,200.0,-8.677060616132621,-223.31428763216968,-370.3191342032753,584.9563612193124,584.9563612193119,-4.547473508864641e-13,590.6104515476591,-557.0386394575414,-42.24887270625027,5.140171294301183
403.0,1.0,-1000.2288917496767,113.22540101260688,-974.8744989614459,-138.5797938008377,-138.57979380083873,-1.0231815394945443e-12,-27.059334898928704,-778.1997855522528,-194.96977129849523,0.7097118267831775
403.0,10.0,-639.2071684655588,47.31668739939835,-1054.9994817080847,368.47562584312755,368.47562584320076,7.321432349272072e-11,463.39209691763483,-951.2522093299212,-151.34705605327235,0.7469427501243331
403.0,50.0,512.4418893402034,-244.5937152450033,-310.90316661519705,1067.9387712004036,1067.9387712006637,2.601154847070575e-10,749.3580267037551,-265.9367166583419,29.020579294790238,0.5923183915731443
403.0,100.0,739.4249041539235,-186.81435909579477,-97.54031436549121,1023.7795776152095,1023.7795776155084,2.9888269637012854e-10,730.5954287888195,-20.25001481104229,29.07949017614638,0.9175336564953227
403.0,200.0,20.64307087694121,-247.15337092297545,-472.35343702166017,740.1498788215769,740.1498788215765,-3.410605131648481e-13,653.0153056587337,-588.5051978364459,-43.867036945346655,4.87434577062578
630.5,1.0,-1229.7188482126073,204.1337414932749,-1749.2384463846797,315.3858566787975,315.3858566788077,1.0231815394945443e-11,351.10454935182486,-1316.4681902916723,-264.3552072727599,1.484288983586282
630.5,10.0,-617.2803472719207,-81.72385958920586,-1069.711323902582,534.1548362198672,534.1548362231524,3.2852085496415384e-9,807.7133713980256,-1422.1572498383794,-2.836468831567011,1.0169872364456864
630.5,50.0,480.43540901140784,-588.1868803816897,-195.89590027046506,1264.5181896635627,1264.5181896718364,8.273673302028328e-9,1228.8999649011794,-716.6062085649464,-31.858347324825075,0.8348405767092686
630.5,100.0,960.9840692929176,-305.13642831638845,-193.827401242346,1459.947898851652,1459.947898851472,-1.800799509510398e-10,1215.8217699668444,-56.69669629480751,-198.14100437911924,2.1321787437749435
630.5,200.0,413.5623884568805,-632.8252195393113,-604.7542476210324,1651.1418556172243,1651.141855617211,-1.3415046851150692e-11,1018.4720201568988,-640.009040617759,35.099408917740675,3.8587854048212193
729.0,1.0,-650.080510305557,370.58868074430677,-1860.4354849047922,839.7662938549284,839.766293854908,-2.0463630789890885e-11,719.9417113206221,-1096.5921084829029,-273.43011314327623,2.5187901082674102
