time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,26.23553,26.65628
4,26.55502,26.59189
6,27.00595,26.5838
8,27.78909,26.76395
10,28.72742,27.24164
12,29.41217,28.00336
14,29.78345,28.80109
16,30.03534,29.32089
18,30.32962,29.49002
20,30.71613,29.44418
22,31.15063,29.34613
24,31.55692,29.31039
26,31.88596,29.3959
28,32.13123,29.61063
30,32.31204,29.92038
32,32.45361,30.26834
34,32.57681,30.59985
36,32.69507,30.87955
38,32.81519,31.09409
40,32.93906,31.24588
42,33.0657,31.34506
44,33.19257,31.40405
46,33.31693,31.43472
48,33.43613,31.44717
50,33.54825,31.44983
52,33.65195,31.44928
54,33.74661,31.45074
56,33.83191,31.45816
58,33.90811,31.47427
60,33.97562,31.50089
62,34.0351,31.5387
64,34.08731,31.58771
66,34.13306,31.647
68,34.17325,31.71515
70,34.20874,31.79025
72,34.24042,31.87015
74,34.26913,31.95255
76,34.29572,32.03528
78,34.32083,32.1163
80,34.34525,32.19388
82,34.36951,32.26669
84,34.3942,32.33365
86,34.41983,32.39401
88,34.44684,32.44742
90,34.47565,32.49374
92,34.50659,32.53311
94,34.5401,32.5658
96,34.5766,32.59225
98,34.61642,32.61304
100,34.65997,32.62881
102,34.70776,32.64029
104,34.76025,32.64816
106,34.81793,32.65317
108,34.88129,32.65604
110,34.95084,32.65747
112,35.02716,32.65811
114,35.11069,32.65851
116,35.202,32.65918
118,35.30142,32.66055
120,35.40939,32.66299
122,35.52628,32.66675
124,35.65231,32.67203
126,35.7876,32.67896
128,35.93231,32.68759
130,36.0864,32.69803
132,36.24982,32.7103
134,36.42239,32.72443
136,36.60397,32.74048
138,36.79428,32.75854
140,36.99304,32.77878
142,37.20001,32.80139
144,37.41492,32.82663
146,37.63745,32.85486
148,37.86746,32.88647
150,38.10471,32.92197
152,38.34909,32.96191
154,38.60046,33.00696
156,38.85867,33.0578
158,39.12375,33.1152
160,39.39554,33.18002
162,39.67416,33.25311
164,39.9595,33.33533
166,40.25168,33.42758
168,40.55072,33.53079
170,40.85669,33.64578
172,41.16977,33.77328
174,41.49002,33.914
176,41.8176,34.0683
178,42.15265,34.23642
180,42.49524,34.41827
182,42.84543,34.6134
184,43.20303,34.82092
186,43.56781,35.03955
188,43.93918,35.26767
190,44.31631,35.5032
192,44.69821,35.7439
194,45.08347,35.98737
196,45.47043,36.23123
198,45.85739,36.47327
200,46.24249,36.71152
