time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.1282,25.57144
4,25.52542,25.82266
6,26.00861,26.08105
8,26.68976,26.42355
10,27.47922,26.90869
12,28.13718,27.51929
14,28.60532,28.10995
16,28.98593,28.51224
18,29.37405,28.69476
20,29.80371,28.7355
22,30.25314,28.72513
24,30.67795,28.72906
26,31.0466,28.78439
28,31.35242,28.9014
30,31.60504,29.06714
32,31.81918,29.25467
34,32.0079,29.43616
36,32.18054,29.59256
38,32.34293,29.71619
40,32.49811,29.80789
42,32.6474,29.87311
44,32.79114,29.91876
46,32.92929,29.95184
48,33.06168,29.97842
50,33.18826,30.00369
52,33.30911,30.03183
54,33.42438,30.06613
56,33.53436,30.10907
58,33.63925,30.16235
60,33.73935,30.2269
62,33.83487,30.30298
64,33.92596,30.39005
66,34.0127,30.48709
68,34.09518,30.59256
70,34.17337,30.70444
72,34.24731,30.82059
74,34.31696,30.93872
76,34.38217,31.05652
78,34.44296,31.17184
80,34.49918,31.28278
82,34.55075,31.38763
84,34.5976,31.48502
86,34.63968,31.57382
88,34.67703,31.65323
90,34.70972,31.72272
92,34.73788,31.78189
94,34.76184,31.83066
96,34.78201,31.86914
98,34.79898,31.89764
100,34.81348,31.9166
102,34.82645,31.92664
104,34.83902,31.92859
106,34.85248,31.9234
108,34.86829,31.91217
110,34.88803,31.89612
112,34.91354,31.87659
114,34.94666,31.85504
116,34.98923,31.83298
118,35.04324,31.81198
120,35.1106,31.79364
122,35.19318,31.77957
124,35.29263,31.7713
126,35.41055,31.77036
128,35.54837,31.7782
130,35.70728,31.7962
132,35.88815,31.82556
134,36.09183,31.86746
136,36.31873,31.92291
138,36.56931,31.99286
140,36.84366,32.07809
142,37.14185,32.17935
144,37.46381,32.29721
146,37.80942,32.43225
148,38.17853,32.58493
150,38.57095,32.75565
152,38.98642,32.94467
154,39.42477,33.15225
156,39.88577,33.37851
158,40.36908,33.62332
160,40.87436,33.88654
162,41.40106,34.1676
164,41.94858,34.46588
166,42.51593,34.78015
168,43.10196,35.10904
170,43.70517,35.45059
172,44.32361,35.80249
174,44.95508,36.16208
176,45.59683,36.52618
178,46.24591,36.89151
180,46.89893,37.25455
182,47.5524,37.61166
184,48.20267,37.95947
186,48.84601,38.29471
188,49.47897,38.61453
190,50.09814,38.91644
192,50.70059,39.19861
194,51.28366,39.45956
196,51.84518,39.69846
198,52.38342,39.91492
200,52.89706,40.10895
