time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,27.40381,27.51392
4,27.89389,27.64047
6,28.37006,27.7514
8,28.95737,27.91943
10,29.67883,28.24829
12,30.52634,28.80093
14,31.26938,29.43243
16,31.69156,30.05844
18,31.91296,30.67056
20,32.08719,31.05209
22,32.2872,31.19763
24,32.53177,31.2233
26,32.81702,31.20938
28,33.13019,31.1908
30,33.45444,31.17899
32,33.77167,31.17645
34,34.06631,31.18323
36,34.32816,31.19971
38,34.55316,31.22684
40,34.74246,31.26562
42,34.90045,31.31638
44,35.03287,31.37863
46,35.14569,31.45117
48,35.24411,31.53226
50,35.33258,31.62006
52,35.4144,31.71271
54,35.492,31.80853
56,35.56693,31.90604
58,35.64005,32.00388
60,35.71176,32.10077
62,35.7821,32.19559
64,35.85086,32.28732
66,35.91757,32.375
68,35.98187,32.45779
70,36.04333,32.53488
72,36.10159,32.60568
74,36.15634,32.66986
76,36.20746,32.72711
78,36.25494,32.77744
80,36.29892,32.82104
82,36.33963,32.85831
84,36.37747,32.88977
86,36.41284,32.91608
88,36.44635,32.93799
90,36.47852,32.95636
92,36.50998,32.97192
94,36.54132,32.9855
96,36.57309,32.9978
98,36.60583,33.00949
100,36.64008,33.02109
102,36.67618,33.0332
104,36.71463,33.04617
106,36.75571,33.06039
108,36.79971,33.0762
110,36.84686,33.09387
112,36.89731,33.11362
114,36.95111,33.13562
116,37.0083,33.16003
118,37.0687,33.18701
120,37.13217,33.21655
122,37.19839,33.24872
124,37.26694,33.28351
126,37.33731,33.3208
128,37.40887,33.36041
130,37.48093,33.40216
132,37.55273,33.44574
134,37.62347,33.49078
136,37.69232,33.53687
138,37.75839,33.58353
140,37.82092,33.63019
142,37.87912,33.6763
144,37.9324,33.72122
146,37.9801,33.7645
148,38.02182,33.80545
150,38.05722,33.84366
152,38.08603,33.87872
154,38.10818,33.91016
156,38.12369,33.93781
158,38.13248,33.96143
160,38.13486,33.98096
162,38.13089,33.99637
164,38.12091,34.00772
166,38.10513,34.01514
168,38.0838,34.01877
170,38.05725,34.01886
172,38.02576,34.01559
174,37.98959,34.00931
176,37.9491,34.00012
178,37.90442,33.98843
180,37.85587,33.97437
182,37.80368,33.95825
184,37.74805,33.94025
186,37.68921,33.92047
188,37.62735,33.8992
190,37.56262,33.87643
192,37.49524,33.85233
194,37.42532,33.82693
196,37.35309,33.80023
198,37.27866,33.77225
200,37.20218,33.74295
