time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,26.63605,26.12936
4,27.28345,26.341
6,27.9227,26.6301
8,28.64499,27.07559
10,29.44125,27.7218
12,30.18637,28.51233
14,30.76056,29.25995
16,31.18814,29.78571
18,31.55493,30.09027
20,31.91107,30.27579
22,32.26541,30.42303
24,32.60635,30.56998
26,32.91846,30.72711
28,33.19095,30.892
30,33.42099,31.05679
32,33.61246,31.2131
34,33.7728,31.35452
36,33.91043,31.47751
38,34.03275,31.58151
40,34.14514,31.66788
42,34.25128,31.73923
44,34.35324,31.79858
46,34.45187,31.84879
48,34.54749,31.89252
50,34.63992,31.93198
52,34.72876,31.96893
54,34.81363,32.00485
56,34.89407,32.04089
58,34.96979,32.07785
60,35.04044,32.11633
62,35.10574,32.15677
64,35.16562,32.19928
66,35.21997,32.24399
68,35.26877,32.29071
70,35.31207,32.33923
72,35.35004,32.38928
74,35.38284,32.4404
76,35.41071,32.49222
78,35.43393,32.54425
80,35.45288,32.59598
82,35.46786,32.647
84,35.47934,32.69687
86,35.4877,32.74512
88,35.49341,32.79144
90,35.49695,32.83542
92,35.49881,32.87683
94,35.49954,32.91534
96,35.49963,32.95087
98,35.49976,32.98312
100,35.50049,33.01212
102,35.50247,33.03763
104,35.50641,33.05969
106,35.51303,33.07834
108,35.52313,33.09357
110,35.53754,33.10541
112,35.5571,33.11404
114,35.58279,33.11957
116,35.6156,33.12222
118,35.65652,33.12219
120,35.70667,33.11969
122,35.76709,33.11508
124,35.83896,33.10864
126,35.9234,33.10077
128,36.02148,33.09186
130,36.13425,33.08234
132,36.26257,33.07272
134,36.40735,33.06354
136,36.56915,33.05539
138,36.74844,33.04889
140,36.94543,33.04474
142,37.16003,33.04364
144,37.39191,33.04648
146,37.64053,33.05411
148,37.90509,33.0675
150,38.18457,33.08774
152,38.47784,33.11588
154,38.78384,33.15317
156,39.10138,33.20084
158,39.42953,33.2601
160,39.7674,33.33228
162,40.11441,33.41843
164,40.47031,33.5195
166,40.83484,33.63605
168,41.20804,33.76834
170,41.59003,33.91586
172,41.98074,34.07779
174,42.38016,34.2525
176,42.78793,34.4379
178,43.2037,34.6315
180,43.62698,34.83066
182,44.05713,35.03284
184,44.49387,35.23569
186,44.93695,35.43747
188,45.38657,35.6369
190,45.84293,35.83347
192,46.30643,36.02722
194,46.77719,36.21875
196,47.25491,36.40912
198,47.73871,36.5997
200,48.22665,36.79205
